ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-68,-72,91,6.7,100,250,,,,,,0
40,-68,-73,91,6.7,100,250,,,,,,3
80,-68,-72,91,7.2,100,250,,,,,,6
120,-68,-72,91,7.5,100,250,,,,,,8
160,-68,-71,92,7.4,100,250,,,,,,11
200,-67,-72,92,7,100,250,,,,,,14
240,-67,-71,91,7.2,100,250,,,,,,17
280,-68,-71,92,7,100,250,,,,,,20
320,-67,-71,92,7.4,100,250,,,,,,22
360,-68,-71,92,7.4,100,250,,,,,,25
400,-68,-71,92,7.2,100,250,,,,,,28
440,-68,-72,92,7.1,100,250,,,,,,31
480,-67,-71,92,7.1,100,250,,,,,,34
520,-66,-71,92,7.2,100,250,,,,,,36
560,-66,-71,91,7.8,100,250,,,,,,39
600,-67,-72,93,7.6,100,250,,,,,,42
640,-67,-70,92,7.3,100,250,,,,,,45
680,-66,-70,92,7.9,100,250,,,,,,48
720,-67,-71,92,8,100,250,,,,,,50
760,-69,-74,88,7.2,100,250,,,,,,53
800,-76,-78,75,6.5,100,250,,,,,,56
840,-84,-85,60,6.2,100,250,,,,,,59
880,-92,-92,43,5.1,100,250,,,,,,62
920,-100,-100,27,4.5,100,250,,,,,,64
960,-106,-104,17,4.3,100,250,,,,,,67
1000,-107,-106,13,3.6,100,250,,,,,,70
1040,-107,-104,18,4.3,100,250,,,,,,73
1080,-100,-100,27,4.8,100,250,,,,,,76
1120,-93,-92,44,5.5,100,250,,,,,,78
1160,-83,-85,61,6.3,100,250,,,,,,81
1200,-75,-78,76,7.2,100,250,,,,,,84
1240,-69,-72,87,7.4,100,250,,,,,,87
1280,-66,-70,92,8,100,250,,,,,,90
1320,-66,-70,92,7.8,100,250,,,,,,92
1360,-66,-69,92,8,100,250,,,,,,95
1400,-67,-70,92,8.3,100,250,,,,,,98
1440,-66,-70,93,8.3,100,250,,,,,,101
1480,-67,-70,92,7.9,100,250,,,,,,104
1520,-66,-70,92,8.3,100,250,,,,,,106
