ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-70,-73,90,6.9,100,250,,,,,,0
40,-70,-74,91,7,100,250,,,,,,2
80,-70,-75,90,7.3,100,250,,,,,,5
120,-70,-73,91,7,100,250,,,,,,7
160,-69,-74,90,6.9,100,250,,,,,,10
200,-70,-74,91,7,100,250,,,,,,12
240,-70,-73,90,7.4,100,250,,,,,,14
280,-69,-74,91,6.9,100,250,,,,,,17
320,-69,-73,91,7.3,100,250,,,,,,19
360,-69,-73,90,7.4,100,250,,,,,,22
400,-68,-73,91,7.2,100,250,,,,,,24
440,-68,-74,91,7.2,100,250,,,,,,26
480,-69,-73,91,7.2,100,250,,,,,,29
520,-69,-74,91,7.8,100,250,,,,,,31
560,-69,-72,90,7.3,100,250,,,,,,34
600,-69,-72,91,7.8,100,250,,,,,,36
640,-69,-73,91,7.5,100,250,,,,,,38
680,-68,-73,91,7.3,100,250,,,,,,41
720,-69,-72,91,7.6,100,250,,,,,,43
760,-69,-72,91,7.6,100,250,,,,,,46
800,-68,-72,91,7.4,100,250,,,,,,48
840,-68,-72,92,7.5,100,250,,,,,,50
880,-69,-72,91,7.7,100,250,,,,,,53
920,-69,-72,91,7.6,100,250,,,,,,55
960,-68,-72,92,7.6,100,250,,,,,,58
1000,-67,-72,91,7.6,100,250,,,,,,60
1040,-68,-72,91,8.2,100,250,,,,,,62
1080,-68,-72,92,7.7,100,250,,,,,,65
1120,-69,-72,91,7.8,100,250,,,,,,67
1160,-68,-73,92,7.6,100,250,,,,,,70
1200,-68,-73,92,7.6,100,250,,,,,,72
1240,-68,-72,91,8.1,100,250,,,,,,74
1280,-69,-72,91,8.1,100,250,,,,,,77
1320,-69,-71,91,8.3,100,250,,,,,,79
1360,-67,-73,91,8,100,250,,,,,,82
1400,-68,-72,91,8.4,100,250,,,,,,84
1440,-68,-71,92,7.7,100,250,,,,,,86
1480,-69,-72,91,7.7,100,250,,,,,,89
1520,-68,-72,91,8,100,250,,,,,,91
1560,-67,-73,91,8.1,100,250,,,,,,94
1600,-69,-72,92,7.9,100,250,,,,,,96
1640,-69,-71,91,8.2,100,250,,,,,,98
1680,-68,-71,92,8,100,250,,,,,,101
1720,-68,-73,91,7.9,100,250,,,,,,103
1760,-69,-71,91,7.7,100,250,,,,,,106
1800,-69,-72,91,8,100,250,,,,,,108
1840,-68,-72,91,7.6,100,250,,,,,,110
1880,-68,-72,92,8.1,100,250,,,,,,113
1920,-69,-72,91,8,100,250,,,,,,115
1960,-69,-72,91,7.8,100,250,,,,,,118
2000,-69,-71,91,8.1,100,250,,,,,,120
2040,-68,-73,91,7.5,100,250,,,,,,122
2080,-70,-73,88,7.4,100,250,,,,,,125
2120,-72,-74,85,7.4,100,250,,,,,,127
2160,-74,-76,80,7.2,100,250,,,,,,130
2200,-77,-79,74,6.6,100,250,,,,,,132
2240,-81,-81,68,7,100,250,,,,,,134
2280,-83,-85,63,6.4,100,250,,,,,,137
2320,-88,-88,55,5.6,100,250,,,,,,139
2360,-90,-91,48,5.3,100,250,,,,,,142
2400,-95,-94,40,4.8,100,250,,,,,,144
2440,-98,-96,33,4.6,100,250,,,,,,146
2480,-101,-99,28,4.2,100,250,,,,,,149
2520,-104,-102,22,4.1,100,250,,,,,,151
2560,-106,-103,18,3.6,100,250,,,,,,154
2600,-107,-104,15,3.7,100,250,,,,,,156
2640,-109,-106,14,3.2,100,250,,,,,,158
2680,-109,-105,14,3.1,100,250,,,,,,161
2720,-108,-104,14,3.4,100,250,,,,,,163
2760,-107,-104,17,3.8,100,250,,,,,,166
2800,-105,-103,21,4.1,100,250,,,,,,168
2840,-103,-100,26,4.1,100,250,,,,,,170
2880,-99,-97,30,4.6,100,250,,,,,,173
2920,-97,-95,38,4.5,100,250,,,,,,175
2960,-93,-93,44,5.1,100,250,,,,,,178
3000,-91,-89,51,4.9,100,250,,,,,,180
3040,-87,-87,58,5.6,100,250,,,,,,182
3080,-83,-85,65,5.5,100,250,,,,,,185
3120,-80,-82,71,6,100,250,,,,,,187
3160,-77,-80,77,6.1,100,250,,,,,,190
3200,-75,-77,82,6.2,100,250,,,,,,192
3240,-73,-76,86,7.1,100,250,,,,,,194
3280,-73,-75,87,6.5,100,250,,,,,,197
3320,-72,-75,89,7.2,100,250,,,,,,199
3360,-72,-75,89,6.5,100,250,,,,,,202
3400,-71,-74,88,7.1,100,250,,,,,,204
3440,-72,-75,89,6.7,100,250,,,,,,206
3480,-71,-75,88,6.8,100,250,,,,,,209
3520,-71,-75,88,6.5,100,250,,,,,,211
3560,-73,-74,89,6.7,100,250,,,,,,214
3600,-72,-75,88,6.7,100,250,,,,,,216
3640,-72,-75,88,6.7,100,250,,,,,,218
3680,-72,-76,88,6.2,100,250,,,,,,221
3720,-72,-75,89,6.2,100,250,,,,,,223
3760,-72,-75,89,6.5,100,250,,,,,,226
3800,-71,-76,89,6.2,100,250,,,,,,228
3840,-71,-75,88,6.3,100,250,,,,,,230
3880,-72,-75,89,6.4,100,250,,,,,,233
3920,-72,-76,89,6.5,100,250,,,,,,235
3960,-72,-76,88,6.1,100,250,,,,,,238
