ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-66,-71,92,7,100,250,,,,,,0
40,-66,-69,91,7.2,100,250,,,,,,3
80,-66,-69,92,7,100,250,,,,,,5
120,-65,-70,93,7.5,100,250,,,,,,8
160,-66,-70,92,7,100,250,,,,,,10
200,-65,-69,92,7,100,250,,,,,,13
240,-66,-70,93,7.5,100,250,,,,,,16
280,-65,-70,93,7.6,100,250,,,,,,18
320,-66,-70,92,7.6,100,250,,,,,,21
360,-65,-70,93,7.3,100,250,,,,,,23
400,-65,-70,93,7.6,100,250,,,,,,26
440,-65,-69,93,7.7,100,250,,,,,,29
480,-65,-69,93,7.6,100,250,,,,,,31
520,-66,-68,93,7.3,100,250,,,,,,34
560,-65,-69,93,7.9,100,250,,,,,,36
600,-65,-68,92,7.8,100,250,,,,,,39
640,-65,-69,93,7.2,100,250,,,,,,42
680,-65,-69,93,7.9,100,250,,,,,,44
720,-65,-69,93,7.4,100,250,,,,,,47
760,-65,-68,93,7.3,100,250,,,,,,49
800,-64,-68,93,7.8,100,250,,,,,,52
840,-64,-69,93,8.1,100,250,,,,,,55
880,-65,-68,94,7.7,100,250,,,,,,57
920,-65,-69,93,7.5,100,250,,,,,,60
960,-64,-69,94,7.7,100,250,,,,,,62
1000,-63,-69,93,7.6,100,250,,,,,,65
1040,-64,-68,94,8.2,100,250,,,,,,68
1080,-65,-68,94,8,100,250,,,,,,70
1120,-64,-68,94,8.1,100,250,,,,,,73
1160,-65,-68,94,8.3,100,250,,,,,,75
1200,-64,-68,94,8.2,100,250,,,,,,78
1240,-64,-69,93,7.9,100,250,,,,,,81
1280,-63,-68,93,8.2,100,250,,,,,,83
1320,-64,-68,93,7.8,100,250,,,,,,86
1360,-64,-67,94,8,100,250,,,,,,88
1400,-64,-68,93,7.6,100,250,,,,,,91
1440,-63,-68,93,7.7,100,250,,,,,,94
1480,-64,-68,94,8.4,100,250,,,,,,96
1520,-63,-67,93,8.3,100,250,,,,,,99
1560,-64,-67,94,8.3,100,250,,,,,,101
1600,-63,-68,94,8.3,100,250,,,,,,104
1640,-64,-68,94,8.3,100,250,,,,,,107
1680,-64,-67,93,8.1,100,250,,,,,,109
1720,-64,-69,93,8.2,100,250,,,,,,112
1760,-65,-69,94,8.2,100,250,,,,,,114
1800,-65,-67,93,8.2,100,250,,,,,,117
1840,-64,-69,93,7.8,100,250,,,,,,120
1880,-65,-68,92,7.7,100,250,,,,,,122
1920,-66,-69,91,7.8,100,250,,,,,,125
1960,-67,-69,89,8,100,250,,,,,,127
2000,-69,-71,86,7.3,100,250,,,,,,130
2040,-72,-73,80,6.8,100,250,,,,,,133
2080,-74,-74,76,7,100,250,,,,,,135
2120,-75,-76,70,6.2,100,250,,,,,,138
2160,-79,-78,65,5.5,100,250,,,,,,140
2200,-81,-80,59,5.6,100,250,,,,,,143
2240,-83,-83,54,4.9,100,250,,,,,,146
2280,-86,-85,49,4.6,100,250,,,,,,148
2320,-88,-87,45,4,100,250,,,,,,151
2360,-90,-87,42,3.7,100,250,,,,,,153
2400,-90,-88,40,4,100,250,,,,,,156
2440,-92,-89,38,4,100,250,,,,,,159
2480,-92,-89,38,3.5,100,250,,,,,,161
2520,-91,-88,39,3.7,100,250,,,,,,164
2560,-91,-88,41,3.5,100,250,,,,,,166
2600,-89,-87,44,4,100,250,,,,,,169
2640,-88,-85,48,4,100,250,,,,,,172
2680,-85,-83,53,4.3,100,250,,,,,,174
2720,-82,-82,58,5,100,250,,,,,,177
2760,-80,-80,63,5.1,100,250,,,,,,179
2800,-78,-77,68,5.3,100,250,,,,,,182
2840,-75,-75,74,6.3,100,250,,,,,,185
2880,-74,-73,79,6.2,100,250,,,,,,187
2920,-71,-72,83,6.3,100,250,,,,,,190
2960,-69,-72,87,7,100,250,,,,,,192
3000,-68,-70,89,6.7,100,250,,,,,,195
3040,-67,-70,91,7.3,100,250,,,,,,198
3080,-68,-69,91,7.3,100,250,,,,,,200
3120,-68,-69,91,7,100,250,,,,,,203
