ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-65,-68,93,6.8,100,250,,,,,,0
40,-63,-68,93,6.8,100,250,,,,,,3
80,-64,-68,93,6.9,100,250,,,,,,5
120,-64,-68,93,7.2,100,250,,,,,,8
160,-64,-68,93,7.5,100,250,,,,,,11
200,-64,-67,93,7,100,250,,,,,,14
240,-63,-67,93,7.3,100,250,,,,,,16
280,-64,-67,94,6.9,100,250,,,,,,19
320,-64,-68,94,7,100,250,,,,,,22
360,-62,-67,94,7.4,100,250,,,,,,24
400,-64,-67,93,7.6,100,250,,,,,,27
440,-63,-67,93,7.6,100,250,,,,,,30
480,-63,-67,94,7.6,100,250,,,,,,32
520,-63,-67,93,7.5,100,250,,,,,,35
560,-62,-68,94,7.5,100,250,,,,,,38
600,-62,-66,94,7.7,100,250,,,,,,40
640,-62,-68,94,7.8,100,250,,,,,,43
680,-62,-67,94,7.6,100,250,,,,,,46
720,-63,-66,95,7.8,100,250,,,,,,49
760,-62,-67,95,7.9,100,250,,,,,,51
800,-63,-66,94,7.8,100,250,,,,,,54
840,-63,-67,94,7.6,100,250,,,,,,57
880,-62,-66,94,7.7,100,250,,,,,,59
920,-62,-66,94,7.7,100,250,,,,,,62
960,-62,-67,95,7.5,100,250,,,,,,65
1000,-61,-66,95,7.6,100,250,,,,,,68
1040,-62,-67,94,8.2,100,250,,,,,,70
1080,-63,-67,94,7.5,100,250,,,,,,73
1120,-62,-66,95,7.5,100,250,,,,,,76
1160,-61,-66,95,7.8,100,250,,,,,,78
1200,-62,-66,94,7.8,100,250,,,,,,81
1240,-62,-66,94,8.3,100,250,,,,,,84
1280,-62,-67,94,8.1,100,250,,,,,,86
1320,-62,-66,95,8.1,100,250,,,,,,89
1360,-62,-66,95,8,100,250,,,,,,92
1400,-61,-66,94,8.3,100,250,,,,,,94
1440,-63,-67,94,8.4,100,250,,,,,,97
1480,-62,-65,94,7.8,100,250,,,,,,100
1520,-63,-67,94,7.8,100,250,,,,,,103
1560,-63,-66,94,7.9,100,250,,,,,,105
1600,-62,-66,95,7.6,100,250,,,,,,108
1640,-61,-66,95,8.1,100,250,,,,,,111
1680,-62,-65,94,7.9,100,250,,,,,,113
1720,-63,-67,95,7.7,100,250,,,,,,116
1760,-63,-66,94,7.9,100,250,,,,,,119
1800,-63,-66,95,7.8,100,250,,,,,,122
1840,-63,-65,94,8.2,100,250,,,,,,124
1880,-63,-66,94,7.7,100,250,,,,,,127
1920,-62,-67,94,8,100,250,,,,,,130
1960,-62,-67,94,8.2,100,250,,,,,,132
2000,-62,-66,94,7.6,100,250,,,,,,135
2040,-62,-66,94,8.2,100,250,,,,,,138
2080,-63,-66,94,7.5,100,250,,,,,,140
2120,-63,-66,93,7.6,100,250,,,,,,143
2160,-64,-66,93,7.9,100,250,,,,,,146
2200,-63,-66,93,7.6,100,250,,,,,,148
2240,-63,-66,93,7.6,100,250,,,,,,151
2280,-64,-66,94,8,100,250,,,,,,154
2320,-64,-66,93,7.5,100,250,,,,,,157
2360,-64,-66,93,7.7,100,250,,,,,,159
2400,-63,-67,93,7.7,100,250,,,,,,162
2440,-63,-67,93,7.9,100,250,,,,,,165
2480,-64,-67,93,7.4,100,250,,,,,,167
2520,-65,-67,92,7.6,100,250,,,,,,170
2560,-65,-67,93,7.5,100,250,,,,,,173
2600,-64,-67,93,7.6,100,250,,,,,,176
2640,-65,-67,93,7.2,100,250,,,,,,178
2680,-65,-66,93,7.8,100,250,,,,,,181
2720,-64,-67,93,7.2,100,250,,,,,,184
2760,-64,-67,92,7.3,100,250,,,,,,186
2800,-65,-67,93,7.5,100,250,,,,,,189
2840,-64,-67,93,7.4,100,250,,,,,,192
2880,-65,-67,92,7.3,100,250,,,,,,194
2920,-65,-67,93,7.5,100,250,,,,,,197
2960,-65,-67,92,7.5,100,250,,,,,,200
3000,-66,-68,92,6.9,100,250,,,,,,202
3040,-67,-69,90,6.9,100,250,,,,,,205
3080,-69,-70,87,6.7,100,250,,,,,,208
3120,-70,-71,82,6.3,100,250,,,,,,211
3160,-73,-74,76,5.8,100,250,,,,,,213
3200,-76,-77,70,5.7,100,250,,,,,,216
3240,-79,-80,63,4.8,100,250,,,,,,219
3280,-83,-82,58,4.8,100,250,,,,,,221
3320,-86,-84,50,4.5,100,250,,,,,,224
3360,-89,-87,44,3.6,100,250,,,,,,227
3400,-91,-89,38,3.1,100,250,,,,,,230
3440,-94,-91,35,2.7,100,250,,,,,,232
3480,-96,-93,32,3,100,250,,,,,,235
