ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-67,-71,92,7.4,100,250,,,,,,0
40,-68,-71,92,7.3,100,250,,,,,,2
80,-67,-71,92,6.7,100,250,,,,,,5
120,-66,-70,92,7,100,250,,,,,,8
160,-66,-70,93,7.2,100,250,,,,,,10
200,-66,-70,92,7,100,250,,,,,,12
240,-67,-71,92,7.2,100,250,,,,,,15
280,-66,-70,93,7,100,250,,,,,,18
320,-66,-70,93,7.1,100,250,,,,,,20
360,-66,-70,92,7.5,100,250,,,,,,22
400,-66,-71,93,7.6,100,250,,,,,,25
440,-66,-70,93,7.4,100,250,,,,,,28
480,-66,-70,92,7.5,100,250,,,,,,30
520,-66,-70,93,7.7,100,250,,,,,,32
560,-66,-70,93,7.2,100,250,,,,,,35
600,-66,-71,93,7.6,100,250,,,,,,38
640,-66,-70,93,7.5,100,250,,,,,,40
680,-65,-70,93,7.3,100,250,,,,,,42
720,-66,-70,93,7.4,100,250,,,,,,45
760,-66,-70,94,7.7,100,250,,,,,,48
800,-65,-70,93,7.8,100,250,,,,,,50
840,-66,-70,94,7.9,100,250,,,,,,52
880,-66,-69,93,7.6,100,250,,,,,,55
920,-66,-69,93,7.9,100,250,,,,,,58
960,-64,-69,94,8,100,250,,,,,,60
1000,-64,-70,93,7.7,100,250,,,,,,62
1040,-66,-70,93,8.1,100,250,,,,,,65
1080,-66,-69,93,7.8,100,250,,,,,,68
1120,-65,-69,93,7.8,100,250,,,,,,70
1160,-65,-69,94,8,100,250,,,,,,72
1200,-65,-70,94,8.2,100,250,,,,,,75
1240,-65,-70,93,7.8,100,250,,,,,,78
1280,-64,-68,94,8,100,250,,,,,,80
1320,-65,-70,94,8.3,100,250,,,,,,82
1360,-65,-69,94,8,100,250,,,,,,85
1400,-66,-70,93,8.2,100,250,,,,,,88
1440,-66,-69,94,8.2,100,250,,,,,,90
1480,-65,-68,94,7.9,100,250,,,,,,92
1520,-65,-69,94,8,100,250,,,,,,95
1560,-65,-69,94,8.3,100,250,,,,,,98
1600,-65,-69,93,7.8,100,250,,,,,,100
1640,-65,-69,92,7.9,100,250,,,,,,102
1680,-66,-69,92,7.7,100,250,,,,,,105
1720,-66,-70,91,7.9,100,250,,,,,,108
1760,-67,-70,89,7.4,100,250,,,,,,110
1800,-69,-72,87,7.8,100,250,,,,,,112
1840,-70,-72,85,7.2,100,250,,,,,,115
1880,-71,-73,82,6.9,100,250,,,,,,118
1920,-73,-74,78,7,100,250,,,,,,120
1960,-74,-76,75,6.8,100,250,,,,,,122
2000,-75,-77,71,6.6,100,250,,,,,,125
2040,-77,-79,68,6.2,100,250,,,,,,128
2080,-79,-79,63,5.6,100,250,,,,,,130
2120,-81,-81,59,6,100,250,,,,,,132
2160,-84,-83,56,5,100,250,,,,,,135
2200,-85,-84,52,5.2,100,250,,,,,,138
2240,-87,-85,49,4.5,100,250,,,,,,140
2280,-88,-86,46,4.9,100,250,,,,,,142
2320,-89,-87,43,4.2,100,250,,,,,,145
2360,-92,-88,40,4.4,100,250,,,,,,148
2400,-91,-89,39,3.8,100,250,,,,,,150
2440,-93,-91,37,4,100,250,,,,,,152
2480,-93,-91,35,3.3,100,250,,,,,,155
2520,-94,-91,34,3.6,100,250,,,,,,158
2560,-94,-91,34,3.6,100,250,,,,,,160
2600,-94,-90,34,3.7,100,250,,,,,,162
2640,-94,-91,35,3.2,100,250,,,,,,165
2680,-94,-91,36,3.7,100,250,,,,,,168
2720,-92,-91,37,4,100,250,,,,,,170
2760,-92,-90,40,3.7,100,250,,,,,,172
