ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-80,-81,90,4.3,500,250,,,,,,0
40,-79,-82,90,4.2,500,250,,,,,,1
80,-80,-80,90,4.4,500,250,,,,,,3
120,-80,-81,90,5,500,250,,,,,,4
160,-79,-81,90,4.8,500,250,,,,,,5
200,-79,-81,90,4.8,500,250,,,,,,6
240,-78,-81,90,4.9,500,250,,,,,,8
280,-79,-81,90,4.6,500,250,,,,,,9
320,-78,-82,91,4.8,500,250,,,,,,10
360,-79,-81,90,4.7,500,250,,,,,,12
400,-79,-80,91,5.1,500,250,,,,,,13
440,-79,-82,90,4.9,500,250,,,,,,14
480,-78,-81,90,5.2,500,250,,,,,,16
520,-78,-81,90,5.3,500,250,,,,,,17
560,-79,-81,90,5.1,500,250,,,,,,18
600,-78,-81,91,5.1,500,250,,,,,,20
640,-78,-81,90,4.9,500,250,,,,,,21
680,-78,-81,90,5.4,500,250,,,,,,22
720,-79,-81,91,5.5,500,250,,,,,,23
760,-78,-82,90,5.1,500,250,,,,,,25
800,-78,-82,90,5.3,500,250,,,,,,26
840,-78,-81,91,5.1,500,250,,,,,,27
880,-79,-81,91,5.3,500,250,,,,,,29
920,-78,-81,91,5.4,500,250,,,,,,30
960,-78,-82,91,5,500,250,,,,,,31
1000,-78,-81,91,5.3,500,250,,,,,,32
1040,-78,-82,91,5.3,500,250,,,,,,34
1080,-78,-81,91,5.5,500,250,,,,,,35
1120,-78,-82,91,5.3,500,250,,,,,,36
1160,-77,-83,91,5.7,500,250,,,,,,38
1200,-78,-82,90,5.8,500,250,,,,,,39
1240,-78,-83,90,5.7,500,250,,,,,,40
1280,-78,-81,91,5.7,500,250,,,,,,42
1320,-78,-82,91,5.6,500,250,,,,,,43
1360,-78,-83,91,5.8,500,250,,,,,,44
1400,-79,-83,91,5.6,500,250,,,,,,46
1440,-79,-83,91,5.3,500,250,,,,,,47
1480,-78,-83,91,5.5,500,250,,,,,,48
1520,-78,-83,90,5.3,500,250,,,,,,49
1560,-78,-84,91,5.2,500,250,,,,,,51
1600,-79,-83,90,5.4,500,250,,,,,,52
1640,-78,-83,90,5.3,500,250,,,,,,53
1680,-80,-83,90,5.6,500,250,,,,,,55
1720,-80,-83,90,5.6,500,250,,,,,,56
1760,-79,-84,90,5.6,500,250,,,,,,57
1800,-79,-83,90,5.4,500,250,,,,,,58
1840,-80,-85,90,5.8,500,250,,,,,,60
1880,-80,-85,90,5.5,500,250,,,,,,61
1920,-81,-83,90,5.5,500,250,,,,,,62
1960,-81,-85,90,5.3,500,250,,,,,,64
2000,-80,-85,90,5.5,500,250,,,,,,65
2040,-81,-84,90,5.2,500,250,,,,,,66
2080,-81,-85,90,5.1,500,250,,,,,,68
2120,-80,-84,90,5.5,500,250,,,,,,69
2160,-80,-85,90,5.5,500,250,,,,,,70
2200,-81,-85,90,5.3,500,250,,,,,,72
2240,-81,-84,90,5.2,500,250,,,,,,73
2280,-81,-85,90,5.3,500,250,,,,,,74
2320,-82,-85,90,5.5,500,250,,,,,,75
2360,-81,-85,90,5.4,500,250,,,,,,77
2400,-82,-85,90,5.1,500,250,,,,,,78
2440,-81,-85,90,5.3,500,250,,,,,,79
2480,-81,-86,90,5,500,250,,,,,,81
2520,-82,-86,90,4.8,500,250,,,,,,82
2560,-82,-85,90,4.8,500,250,,,,,,83
2600,-83,-86,90,5.1,500,250,,,,,,84
2640,-83,-85,90,5.3,500,250,,,,,,86
2680,-83,-86,90,4.6,500,250,,,,,,87
2720,-84,-86,90,5,500,250,,,,,,88
2760,-82,-87,90,5.1,500,250,,,,,,90
2800,-83,-87,90,4.8,500,250,,,,,,91
2840,-83,-86,90,5,500,250,,,,,,92
2880,-84,-87,90,5,500,250,,,,,,94
