ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-80,-83,90,4,250,150,,,,,,0
40,-81,-83,90,4,250,150,,,,,,1
80,-81,-82,90,4,250,150,,,,,,2
120,-80,-82,90,4,250,150,,,,,,4
160,-80,-83,90,3.8,250,150,,,,,,5
200,-80,-82,90,4.3,250,150,,,,,,6
240,-80,-82,90,3.9,250,150,,,,,,7
280,-79,-82,90,4,250,150,,,,,,8
320,-79,-82,90,4.1,250,150,,,,,,10
360,-80,-82,90,4.1,250,150,,,,,,11
400,-79,-82,90,4.6,250,150,,,,,,12
440,-79,-83,90,4.6,250,150,,,,,,13
480,-79,-81,90,4.8,250,150,,,,,,14
520,-79,-81,90,4.7,250,150,,,,,,16
560,-79,-83,90,4.2,250,150,,,,,,17
600,-79,-83,90,4.7,250,150,,,,,,18
640,-80,-81,90,4.6,250,150,,,,,,19
680,-78,-82,91,4.5,250,150,,,,,,20
720,-80,-83,90,4.6,250,150,,,,,,22
760,-79,-83,90,4.8,250,150,,,,,,23
800,-80,-82,90,4.8,250,150,,,,,,24
840,-80,-82,90,5.1,250,150,,,,,,25
880,-79,-82,90,4.9,250,150,,,,,,26
920,-79,-83,90,4.7,250,150,,,,,,28
960,-79,-82,90,4.7,250,150,,,,,,29
1000,-79,-83,90,4.7,250,150,,,,,,30
1040,-79,-83,91,4.8,250,150,,,,,,31
1080,-79,-82,90,4.7,250,150,,,,,,32
1120,-79,-83,90,4.6,250,150,,,,,,34
1160,-80,-82,90,5,250,150,,,,,,35
1200,-78,-83,90,4.9,250,150,,,,,,36
1240,-79,-83,90,4.9,250,150,,,,,,37
1280,-79,-84,90,5.3,250,150,,,,,,38
1320,-80,-84,90,4.8,250,150,,,,,,40
1360,-80,-83,90,5.3,250,150,,,,,,41
1400,-79,-83,90,5.2,250,150,,,,,,42
1440,-80,-84,90,4.9,250,150,,,,,,43
1480,-79,-83,90,4.8,250,150,,,,,,44
1520,-80,-84,90,5.3,250,150,,,,,,46
1560,-80,-83,90,5.1,250,150,,,,,,47
1600,-80,-84,90,4.7,250,150,,,,,,48
1640,-80,-84,90,5,250,150,,,,,,49
1680,-80,-84,90,5.2,250,150,,,,,,50
1720,-80,-85,90,4.8,250,150,,,,,,52
1760,-81,-85,90,4.7,250,150,,,,,,53
1800,-81,-85,90,5.3,250,150,,,,,,54
1840,-81,-85,90,4.9,250,150,,,,,,55
1880,-81,-85,90,5.1,250,150,,,,,,56
1920,-81,-85,90,4.9,250,150,,,,,,58
1960,-81,-86,90,4.9,250,150,,,,,,59
2000,-81,-86,90,5.2,250,150,,,,,,60
2040,-82,-86,90,5,250,150,,,,,,61
2080,-82,-86,90,4.5,250,150,,,,,,62
2120,-81,-86,90,5.1,250,150,,,,,,64
2160,-81,-85,90,4.7,250,150,,,,,,65
2200,-83,-86,90,4.5,250,150,,,,,,66
2240,-83,-86,90,4.9,250,150,,,,,,67
2280,-82,-86,90,4.7,250,150,,,,,,68
2320,-82,-86,90,5,250,150,,,,,,70
2360,-83,-86,90,4.6,250,150,,,,,,71
2400,-83,-87,90,4.7,250,150,,,,,,72
