ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-79,-81,90,4.6,250,250,,,,,,0
40,-78,-80,90,4.7,250,250,,,,,,2
80,-79,-80,90,4.9,250,250,,,,,,3
120,-78,-80,90,5,250,250,,,,,,5
160,-78,-81,90,4.4,250,250,,,,,,6
200,-78,-79,90,4.8,250,250,,,,,,8
240,-77,-79,91,4.5,250,250,,,,,,10
280,-78,-79,90,4.5,250,250,,,,,,11
320,-78,-79,90,4.9,250,250,,,,,,13
360,-78,-79,90,4.6,250,250,,,,,,14
400,-77,-80,91,4.8,250,250,,,,,,16
440,-78,-80,90,4.8,250,250,,,,,,18
480,-77,-80,91,4.9,250,250,,,,,,19
520,-77,-80,90,4.7,250,250,,,,,,21
560,-78,-80,91,5.2,250,250,,,,,,22
600,-77,-81,90,5.2,250,250,,,,,,24
640,-77,-81,91,4.8,250,250,,,,,,26
680,-78,-81,91,5.4,250,250,,,,,,27
720,-78,-81,91,5,250,250,,,,,,29
760,-77,-81,92,5,250,250,,,,,,30
800,-77,-80,91,5,250,250,,,,,,32
840,-76,-81,91,5.4,250,250,,,,,,34
880,-77,-80,91,5.4,250,250,,,,,,35
920,-78,-80,91,5.1,250,250,,,,,,37
960,-78,-81,91,5.3,250,250,,,,,,38
1000,-77,-80,90,5.2,250,250,,,,,,40
1040,-77,-81,91,5.4,250,250,,,,,,42
1080,-78,-81,91,5.4,250,250,,,,,,43
1120,-77,-81,91,5.4,250,250,,,,,,45
1160,-77,-81,91,5.4,250,250,,,,,,46
1200,-78,-81,91,5.2,250,250,,,,,,48
1240,-77,-82,91,5.3,250,250,,,,,,50
1280,-78,-81,91,5.1,250,250,,,,,,51
1320,-77,-81,91,5.5,250,250,,,,,,53
1360,-77,-82,91,5.8,250,250,,,,,,54
1400,-77,-81,91,5.8,250,250,,,,,,56
1440,-77,-82,91,5.4,250,250,,,,,,58
1480,-78,-82,90,5.2,250,250,,,,,,59
1520,-77,-81,90,5.3,250,250,,,,,,61
1560,-78,-82,90,5.7,250,250,,,,,,62
1600,-78,-82,90,5.5,250,250,,,,,,64
1640,-78,-82,90,5.5,250,250,,,,,,66
1680,-78,-82,90,5.8,250,250,,,,,,67
1720,-78,-83,90,5.5,250,250,,,,,,69
1760,-79,-83,90,5.7,250,250,,,,,,70
1800,-79,-83,90,5.2,250,250,,,,,,72
1840,-78,-82,90,5.6,250,250,,,,,,74
1880,-78,-83,90,5.3,250,250,,,,,,75
1920,-79,-84,90,5.4,250,250,,,,,,77
1960,-80,-83,90,5.1,250,250,,,,,,78
2000,-80,-83,90,5.5,250,250,,,,,,80
2040,-80,-83,90,5.6,250,250,,,,,,82
2080,-80,-83,90,5.7,250,250,,,,,,83
2120,-79,-84,90,5,250,250,,,,,,85
2160,-80,-83,90,5,250,250,,,,,,86
2200,-79,-83,90,5.5,250,250,,,,,,88
2240,-80,-84,90,5.1,250,250,,,,,,90
2280,-81,-85,90,5.1,250,250,,,,,,91
2320,-80,-85,90,5.4,250,250,,,,,,93
2360,-80,-85,90,5,250,250,,,,,,94
2400,-80,-84,90,4.9,250,250,,,,,,96
2440,-80,-84,90,5.1,250,250,,,,,,98
2480,-81,-85,90,5.1,250,250,,,,,,99
2520,-81,-86,90,4.9,250,250,,,,,,101
2560,-81,-84,90,5.2,250,250,,,,,,102
2600,-82,-85,90,4.9,250,250,,,,,,104
2640,-82,-85,90,4.7,250,250,,,,,,106
2680,-82,-85,90,4.9,250,250,,,,,,107
2720,-81,-85,90,4.6,250,250,,,,,,109
2760,-82,-86,90,4.7,250,250,,,,,,110
2800,-82,-86,90,4.5,250,250,,,,,,112
2840,-82,-85,90,4.7,250,250,,,,,,114
2880,-82,-85,90,5.1,250,250,,,,,,115
2920,-82,-85,90,4.4,250,250,,,,,,117
2960,-82,-86,90,4.8,250,250,,,,,,118
3000,-83,-86,90,4.6,250,250,,,,,,120
3040,-83,-86,90,4.7,250,250,,,,,,122
3080,-83,-85,90,4.7,250,250,,,,,,123
3120,-83,-87,90,4.3,250,250,,,,,,125
3160,-82,-87,90,4.3,250,250,,,,,,126
3200,-82,-87,90,4.1,250,250,,,,,,128
3240,-83,-85,90,4.7,250,250,,,,,,130
3280,-83,-86,90,4.6,250,250,,,,,,131
3320,-83,-86,90,4.4,250,250,,,,,,133
3360,-84,-85,90,4.5,250,250,,,,,,134
3400,-82,-87,90,4,250,250,,,,,,136
3440,-83,-86,90,4.1,250,250,,,,,,138
