ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-76,-78,91,5.8,250,250,,,,,,0
40,-76,-78,91,5.6,250,250,,,,,,2
80,-76,-78,91,5.2,250,250,,,,,,3
120,-75,-79,92,5.7,250,250,,,,,,5
160,-76,-78,93,5.5,250,250,,,,,,7
200,-76,-78,93,5.8,250,250,,,,,,8
240,-75,-79,92,5.8,250,250,,,,,,10
280,-74,-78,92,5.7,250,250,,,,,,12
320,-74,-78,93,5.9,250,250,,,,,,14
360,-74,-77,93,5.8,250,250,,,,,,15
400,-75,-78,92,6.1,250,250,,,,,,17
440,-75,-79,93,5.7,250,250,,,,,,19
480,-74,-78,93,6.2,250,250,,,,,,20
520,-75,-78,93,5.8,250,250,,,,,,22
560,-74,-77,92,5.8,250,250,,,,,,24
600,-75,-78,93,5.9,250,250,,,,,,26
640,-73,-79,92,6.4,250,250,,,,,,27
680,-74,-79,93,6.2,250,250,,,,,,29
720,-75,-79,92,6.1,250,250,,,,,,31
760,-75,-79,93,5.9,250,250,,,,,,32
800,-73,-78,94,6.2,250,250,,,,,,34
840,-74,-78,94,6.4,250,250,,,,,,36
880,-74,-79,93,6.3,250,250,,,,,,37
920,-74,-79,93,6.6,250,250,,,,,,39
960,-74,-79,93,6.5,250,250,,,,,,41
1000,-74,-78,93,6.3,250,250,,,,,,42
1040,-75,-79,94,6.2,250,250,,,,,,44
1080,-74,-79,93,6.1,250,250,,,,,,46
1120,-74,-79,93,6.5,250,250,,,,,,48
1160,-74,-79,93,6.2,250,250,,,,,,49
1200,-75,-80,93,6.4,250,250,,,,,,51
1240,-74,-79,93,6.3,250,250,,,,,,53
1280,-74,-79,92,6.6,250,250,,,,,,54
1320,-75,-79,93,6.8,250,250,,,,,,56
1360,-75,-80,93,6.8,250,250,,,,,,58
1400,-75,-79,93,6.5,250,250,,,,,,60
1440,-74,-79,93,6.8,250,250,,,,,,61
1480,-74,-80,92,6.7,250,250,,,,,,63
1520,-74,-79,92,6.6,250,250,,,,,,65
1560,-75,-80,92,6.6,250,250,,,,,,66
1600,-88,-91,61,6.6,250,250,,,,,,68
1640,-101,-103,31,6.8,250,250,,,,,,70
1680,-114,-114,0,6.5,250,250,,,,,,71
1720,-112,-112,0,6.2,250,250,,,,,,73
1760,-113,-110,0,6.4,250,250,,,,,,75
1800,-113,-111,0,6.8,250,250,,,,,,76
1840,-116,-114,0,6.4,250,250,,,,,,78
1880,-116,-112,0,6.5,250,250,,,,,,80
1920,-112,-113,0,6.5,250,250,,,,,,82
1960,-112,-111,0,6.1,250,250,,,,,,83
2000,-116,-112,0,6.2,250,250,,,,,,85
2040,-115,-111,0,6.7,250,250,,,,,,87
2080,-116,-111,0,6.2,250,250,,,,,,88
2120,-113,-112,0,6.3,250,250,,,,,,90
2160,-115,-114,0,6.1,250,250,,,,,,92
2200,-116,-113,0,6.6,250,250,,,,,,94
2240,-115,-111,0,6.1,250,250,,,,,,95
2280,-101,-103,31,6.5,250,250,,,,,,97
2320,-88,-91,61,5.9,250,250,,,,,,99
2360,-75,-80,92,6,250,250,,,,,,100
2400,-78,-82,90,5.9,250,250,,,,,,102
2440,-78,-82,90,6.2,250,250,,,,,,104
2480,-79,-84,90,5.9,250,250,,,,,,105
2520,-79,-84,90,5.8,250,250,,,,,,107
2560,-78,-82,90,5.9,250,250,,,,,,109
2600,-78,-82,90,6.1,250,250,,,,,,110
2640,-79,-83,90,6.2,250,250,,,,,,112
2680,-79,-83,90,6.1,250,250,,,,,,114
2720,-78,-84,90,5.7,250,250,,,,,,116
2760,-78,-83,90,6.2,250,250,,,,,,117
2800,-80,-84,90,5.5,250,250,,,,,,119
2840,-78,-83,90,5.8,250,250,,,,,,121
2880,-79,-84,90,5.5,250,250,,,,,,122
2920,-79,-84,90,5.9,250,250,,,,,,124
