ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-78,-81,90,4.9,250,250,,,,,,0
40,-78,-80,90,4.9,250,250,,,,,,2
80,-78,-80,90,5.3,250,250,,,,,,3
120,-78,-81,91,5.2,250,250,,,,,,4
160,-78,-79,91,5.4,250,250,,,,,,6
200,-78,-81,91,5.3,250,250,,,,,,8
240,-77,-80,91,5.5,250,250,,,,,,9
280,-78,-80,91,5.1,250,250,,,,,,10
320,-77,-80,92,5.5,250,250,,,,,,12
360,-76,-80,92,5.2,250,250,,,,,,14
400,-77,-81,91,5.3,250,250,,,,,,15
440,-76,-80,92,5.1,250,250,,,,,,16
480,-76,-80,92,5.4,250,250,,,,,,18
520,-77,-81,92,5.4,250,250,,,,,,20
560,-76,-80,92,5.4,250,250,,,,,,21
600,-77,-81,92,5.6,250,250,,,,,,22
640,-76,-80,92,5.8,250,250,,,,,,24
680,-76,-80,91,5.7,250,250,,,,,,26
720,-77,-80,92,5.8,250,250,,,,,,27
760,-77,-81,91,6,250,250,,,,,,28
800,-76,-81,92,5.4,250,250,,,,,,30
840,-77,-81,93,5.5,250,250,,,,,,32
880,-75,-80,93,5.8,250,250,,,,,,33
920,-76,-80,92,5.8,250,250,,,,,,34
960,-76,-80,92,5.6,250,250,,,,,,36
1000,-76,-81,92,5.7,250,250,,,,,,38
1040,-76,-80,91,5.8,250,250,,,,,,39
1080,-76,-81,92,6.2,250,250,,,,,,40
1120,-77,-81,91,6.1,250,250,,,,,,42
1160,-76,-81,92,6.1,250,250,,,,,,44
1200,-76,-82,92,6.1,250,250,,,,,,45
1240,-77,-81,91,6.1,250,250,,,,,,46
1280,-76,-81,92,6.2,250,250,,,,,,48
1320,-77,-81,91,6.3,250,250,,,,,,50
1360,-76,-81,92,6.3,250,250,,,,,,51
1400,-77,-82,92,6.2,250,250,,,,,,52
1440,-76,-82,91,5.8,250,250,,,,,,54
1480,-77,-82,92,5.9,250,250,,,,,,56
1520,-77,-83,91,6.1,250,250,,,,,,57
1560,-76,-81,91,5.9,250,250,,,,,,58
1600,-78,-82,91,6.2,250,250,,,,,,60
1640,-78,-82,91,5.9,250,250,,,,,,62
1680,-77,-82,91,6.2,250,250,,,,,,63
1720,-77,-83,91,6.3,250,250,,,,,,64
1760,-78,-82,91,5.9,250,250,,,,,,66
1800,-78,-82,91,6.1,250,250,,,,,,68
1840,-78,-83,91,5.8,250,250,,,,,,69
1880,-77,-84,90,5.7,250,250,,,,,,70
1920,-77,-83,91,5.9,250,250,,,,,,72
1960,-78,-83,90,6.2,250,250,,,,,,74
2000,-79,-83,90,5.7,250,250,,,,,,75
2040,-79,-83,90,5.8,250,250,,,,,,76
2080,-78,-84,90,5.6,250,250,,,,,,78
2120,-78,-83,90,6,250,250,,,,,,80
2160,-79,-84,90,5.8,250,250,,,,,,81
2200,-79,-84,90,5.6,250,250,,,,,,82
2240,-79,-84,90,6.1,250,250,,,,,,84
2280,-79,-85,90,5.8,250,250,,,,,,86
2320,-80,-84,90,6,250,250,,,,,,87
2360,-80,-85,90,5.7,250,250,,,,,,88
2400,-79,-84,90,6,250,250,,,,,,90
2440,-80,-85,90,5.5,250,250,,,,,,92
2480,-80,-85,90,5.5,250,250,,,,,,93
2520,-80,-84,90,5.3,250,250,,,,,,94
2560,-81,-84,90,5.9,250,250,,,,,,96
2600,-80,-84,90,5.5,250,250,,,,,,98
2640,-81,-85,90,5.8,250,250,,,,,,99
2680,-81,-85,90,5.2,250,250,,,,,,100
2720,-81,-86,90,5.6,250,250,,,,,,102
2760,-81,-86,90,5.2,250,250,,,,,,104
2800,-81,-85,90,5.4,250,250,,,,,,105
2840,-80,-85,90,5,250,250,,,,,,106
2880,-81,-85,90,5,250,250,,,,,,108
2920,-82,-85,90,5.4,250,250,,,,,,110
2960,-81,-85,90,5.5,250,250,,,,,,111
3000,-82,-86,90,5.1,250,250,,,,,,112
3040,-82,-86,90,5,250,250,,,,,,114
3080,-82,-86,90,5,250,250,,,,,,116
3120,-81,-87,90,4.7,250,250,,,,,,117
3160,-82,-86,90,4.9,250,250,,,,,,118
3200,-82,-86,90,4.8,250,250,,,,,,120
3240,-82,-86,90,4.9,250,250,,,,,,122
3280,-82,-86,90,5.2,250,250,,,,,,123
3320,-83,-86,90,4.7,250,250,,,,,,124
3360,-82,-85,90,4.6,250,250,,,,,,126
3400,-82,-86,90,4.7,250,250,,,,,,128
3440,-81,-86,90,4.8,250,250,,,,,,129
3480,-82,-86,90,4.4,250,250,,,,,,130
3520,-83,-87,90,4.9,250,250,,,,,,132
3560,-82,-85,90,4.5,250,250,,,,,,134
3600,-83,-86,90,4.5,250,250,,,,,,135
3640,-81,-86,90,4.2,250,250,,,,,,136
3680,-82,-86,90,4.2,250,250,,,,,,138
3720,-81,-86,90,4.2,250,250,,,,,,140
3760,-82,-86,90,4.7,250,250,,,,,,141
3800,-82,-85,90,4.7,250,250,,,,,,142
3840,-81,-85,90,4.5,250,250,,,,,,144
3880,-82,-85,90,4.5,250,250,,,,,,146
3920,-81,-85,90,4.3,250,250,,,,,,147
3960,-82,-86,90,4,250,250,,,,,,148
4000,-81,-86,90,4.3,250,250,,,,,,150
4040,-82,-85,90,4.1,250,250,,,,,,152
4080,-81,-85,90,4.3,250,250,,,,,,153
4120,-81,-86,90,4.2,250,250,,,,,,154
4160,-81,-85,90,4,250,250,,,,,,156
4200,-81,-84,90,4,250,250,,,,,,158
4240,-81,-85,91,4.1,250,250,,,,,,159
4280,-80,-85,91,4.4,250,250,,,,,,160
4320,-81,-84,91,3.9,250,250,,,,,,162
4360,-80,-84,91,4,250,250,,,,,,164
4400,-80,-84,91,4.1,250,250,,,,,,165
4440,-80,-84,92,4.1,250,250,,,,,,166
4480,-81,-84,92,3.9,250,250,,,,,,168
4520,-80,-85,91,3.8,250,250,,,,,,170
4560,-80,-84,92,4,250,250,,,,,,171
4600,-80,-83,92,3.7,250,250,,,,,,172
4640,-79,-84,92,4.1,250,250,,,,,,174
4680,-79,-83,92,3.8,250,250,,,,,,176
4720,-79,-83,92,4,250,250,,,,,,177
4760,-79,-83,91,4.1,250,250,,,,,,178
4800,-79,-84,92,3.7,250,250,,,,,,180
4840,-78,-82,92,4.3,250,250,,,,,,182
4880,-78,-83,92,4.1,250,250,,,,,,183
4920,-77,-82,93,4.1,250,250,,,,,,184
4960,-77,-83,93,3.9,250,250,,,,,,186
5000,-77,-82,92,3.8,250,250,,,,,,188
5040,-78,-82,92,4.3,250,250,,,,,,189
5080,-78,-83,93,4,250,250,,,,,,190
5120,-78,-83,91,3.9,250,250,,,,,,192
5160,-77,-81,93,4.3,250,250,,,,,,194
5200,-77,-82,93,3.8,250,250,,,,,,195
5240,-78,-81,92,4,250,250,,,,,,196
5280,-77,-81,92,4.3,250,250,,,,,,198
5320,-77,-82,92,4,250,250,,,,,,200
5360,-77,-81,92,4,250,250,,,,,,201
