ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-77,-79,90,5.2,250,250,,,,,,0
40,-77,-79,91,5.3,250,250,,,,,,1
80,-77,-80,90,5.1,250,250,,,,,,3
120,-76,-80,91,5.2,250,250,,,,,,4
160,-77,-79,91,5.1,250,250,,,,,,6
200,-76,-79,91,5.3,250,250,,,,,,7
240,-77,-80,92,5.1,250,250,,,,,,8
280,-76,-80,91,4.9,250,250,,,,,,10
320,-76,-79,91,5.6,250,250,,,,,,11
360,-76,-80,92,5.1,250,250,,,,,,13
400,-76,-78,91,5.6,250,250,,,,,,14
440,-75,-80,92,5.7,250,250,,,,,,15
480,-75,-78,91,5.8,250,250,,,,,,17
520,-76,-79,91,5.5,250,250,,,,,,18
560,-76,-79,91,5.5,250,250,,,,,,20
600,-76,-78,92,5.8,250,250,,,,,,21
640,-75,-79,92,5.8,250,250,,,,,,22
680,-76,-79,92,5.7,250,250,,,,,,24
720,-76,-79,92,6,250,250,,,,,,25
760,-76,-78,93,5.9,250,250,,,,,,27
800,-75,-79,92,5.8,250,250,,,,,,28
840,-74,-79,93,5.8,250,250,,,,,,29
880,-75,-79,91,5.9,250,250,,,,,,31
920,-75,-79,92,5.5,250,250,,,,,,32
960,-76,-79,92,5.9,250,250,,,,,,34
1000,-75,-79,92,5.7,250,250,,,,,,35
1040,-75,-80,92,5.9,250,250,,,,,,36
1080,-75,-80,92,6.1,250,250,,,,,,38
1120,-74,-80,91,6.1,250,250,,,,,,39
1160,-75,-79,92,5.8,250,250,,,,,,41
1200,-75,-81,91,6.2,250,250,,,,,,42
1240,-75,-80,92,5.6,250,250,,,,,,43
1280,-75,-80,92,5.7,250,250,,,,,,45
1320,-75,-81,92,6.3,250,250,,,,,,46
1360,-75,-80,91,6.3,250,250,,,,,,48
1400,-75,-80,92,6.3,250,250,,,,,,49
1440,-76,-80,91,6,250,250,,,,,,50
1480,-75,-80,91,5.7,250,250,,,,,,52
1520,-76,-81,92,6,250,250,,,,,,53
1560,-76,-81,92,5.7,250,250,,,,,,55
1600,-77,-81,92,6.2,250,250,,,,,,56
1640,-76,-82,91,6.1,250,250,,,,,,57
1680,-77,-81,90,5.7,250,250,,,,,,59
1720,-76,-82,91,6.2,250,250,,,,,,60
1760,-77,-81,91,6,250,250,,,,,,62
1800,-77,-82,90,5.9,250,250,,,,,,63
1840,-76,-82,90,6.3,250,250,,,,,,64
1880,-77,-82,90,6.1,250,250,,,,,,66
1920,-78,-82,91,5.9,250,250,,,,,,67
1960,-77,-82,90,6.1,250,250,,,,,,69
2000,-77,-83,90,5.8,250,250,,,,,,70
2040,-78,-82,90,6.2,250,250,,,,,,71
2080,-77,-82,90,6.2,250,250,,,,,,73
2120,-78,-83,90,5.6,250,250,,,,,,74
2160,-77,-82,90,6.1,250,250,,,,,,76
2200,-78,-84,90,5.9,250,250,,,,,,77
2240,-78,-84,90,6,250,250,,,,,,78
2280,-78,-83,90,5.5,250,250,,,,,,80
2320,-78,-84,90,5.9,250,250,,,,,,81
2360,-79,-83,90,6,250,250,,,,,,83
2400,-79,-84,90,5.8,250,250,,,,,,84
2440,-79,-84,90,6,250,250,,,,,,85
2480,-79,-84,90,5.7,250,250,,,,,,87
2520,-80,-84,90,5.4,250,250,,,,,,88
2560,-80,-84,90,5.7,250,250,,,,,,90
2600,-79,-83,90,5.4,250,250,,,,,,91
2640,-80,-85,90,5.2,250,250,,,,,,92
2680,-80,-84,90,5.5,250,250,,,,,,94
2720,-80,-85,90,5.3,250,250,,,,,,95
2760,-79,-84,90,5.5,250,250,,,,,,97
2800,-80,-84,90,5.1,250,250,,,,,,98
2840,-81,-84,90,5.3,250,250,,,,,,99
2880,-81,-84,90,5.1,250,250,,,,,,101
2920,-80,-85,90,5.4,250,250,,,,,,102
2960,-80,-85,90,5.3,250,250,,,,,,104
3000,-80,-85,90,5.1,250,250,,,,,,105
3040,-81,-85,90,5.2,250,250,,,,,,106
3080,-80,-85,90,5,250,250,,,,,,108
3120,-80,-85,90,4.8,250,250,,,,,,109
3160,-81,-85,90,4.7,250,250,,,,,,111
3200,-81,-85,90,4.9,250,250,,,,,,112
3240,-81,-85,90,5.1,250,250,,,,,,113
3280,-80,-85,90,4.7,250,250,,,,,,115
3320,-81,-85,90,5,250,250,,,,,,116
3360,-80,-85,90,4.8,250,250,,,,,,118
3400,-80,-85,90,5.1,250,250,,,,,,119
3440,-82,-85,90,4.9,250,250,,,,,,120
3480,-80,-85,90,4.5,250,250,,,,,,122
3520,-80,-84,90,4.7,250,250,,,,,,123
3560,-80,-85,90,4.3,250,250,,,,,,125
3600,-82,-85,90,4.4,250,250,,,,,,126
3640,-81,-84,90,4.3,250,250,,,,,,127
3680,-81,-85,90,4.2,250,250,,,,,,129
3720,-80,-84,90,4.6,250,250,,,,,,130
