ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-91,-92,71,0.5,500,250,,,,,,0
40,-92,-92,70,1.5,500,250,,,,,,1
80,-92,-92,70,1.2,500,250,,,,,,2
120,-93,-91,72,1,500,250,,,,,,3
160,-91,-91,72,1.2,500,250,,,,,,4
200,-91,-92,71,1.5,500,250,,,,,,6
240,-91,-92,72,1.6,500,250,,,,,,7
280,-91,-92,71,1.2,500,250,,,,,,8
320,-91,-92,73,0.9,500,250,,,,,,9
360,-91,-92,71,1.3,500,250,,,,,,10
400,-91,-91,73,1.4,500,250,,,,,,11
440,-90,-91,72,2.1,500,250,,,,,,12
480,-89,-92,72,1.5,500,250,,,,,,13
520,-90,-91,72,1.8,500,250,,,,,,14
560,-91,-91,73,2.3,500,250,,,,,,15
600,-89,-92,72,1.7,500,250,,,,,,16
640,-90,-91,73,1.9,500,250,,,,,,18
680,-89,-90,72,1.7,500,250,,,,,,19
720,-90,-90,73,1.7,500,250,,,,,,20
760,-90,-92,72,2.3,500,250,,,,,,21
800,-90,-90,72,1.5,500,250,,,,,,22
840,-90,-91,72,2.1,500,250,,,,,,23
880,-90,-90,72,2.2,500,250,,,,,,24
920,-90,-92,72,2.5,500,250,,,,,,25
960,-89,-90,73,2.7,500,250,,,,,,26
1000,-89,-90,74,2.2,500,250,,,,,,28
1040,-90,-90,73,2.1,500,250,,,,,,29
1080,-90,-92,73,2.1,500,250,,,,,,30
1120,-90,-91,74,1.8,500,250,,,,,,31
1160,-89,-91,72,1.9,500,250,,,,,,32
1200,-90,-92,73,2.1,500,250,,,,,,33
1240,-89,-92,73,2,500,250,,,,,,34
1280,-90,-92,74,2.7,500,250,,,,,,35
1320,-89,-92,72,2.2,500,250,,,,,,36
1360,-89,-91,73,3,500,250,,,,,,37
1400,-90,-92,73,2.6,500,250,,,,,,38
1440,-88,-91,72,2,500,250,,,,,,40
1480,-90,-91,72,2.6,500,250,,,,,,41
1520,-90,-92,72,3,500,250,,,,,,42
1560,-90,-92,71,2.9,500,250,,,,,,43
1600,-88,-93,72,3,500,250,,,,,,44
1640,-89,-91,72,2,500,250,,,,,,45
1680,-90,-91,73,2.5,500,250,,,,,,46
1720,-90,-92,72,2.3,500,250,,,,,,47
1760,-89,-93,72,1.9,500,250,,,,,,48
1800,-89,-92,72,2.1,500,250,,,,,,50
1840,-90,-93,72,2.7,500,250,,,,,,51
1880,-89,-92,71,1.9,500,250,,,,,,52
1920,-90,-94,72,2.5,500,250,,,,,,53
1960,-89,-92,71,2.6,500,250,,,,,,54
2000,-89,-92,70,2.9,500,250,,,,,,55
2040,-91,-94,71,1.8,500,250,,,,,,56
2080,-91,-94,70,1.9,500,250,,,,,,57
2120,-90,-93,71,2.3,500,250,,,,,,58
2160,-91,-94,71,2.8,500,250,,,,,,59
2200,-90,-94,70,2.4,500,250,,,,,,61
2240,-92,-94,69,2.5,500,250,,,,,,62
2280,-92,-94,70,2.4,500,250,,,,,,63
2320,-91,-93,70,2.7,500,250,,,,,,64
2360,-92,-94,70,2.6,500,250,,,,,,65
2400,-91,-95,70,2.3,500,250,,,,,,66
2440,-93,-95,70,1.6,500,250,,,,,,67
2480,-93,-95,70,1.6,500,250,,,,,,68
2520,-91,-94,70,1.4,500,250,,,,,,69
2560,-93,-94,69,1.5,500,250,,,,,,70
2600,-93,-95,70,1.9,500,250,,,,,,72
2640,-93,-95,68,2.2,500,250,,,,,,73
2680,-94,-96,68,2.1,500,250,,,,,,74
2720,-93,-94,67,1.5,500,250,,,,,,75
2760,-93,-96,68,1.4,500,250,,,,,,76
2800,-93,-95,67,1.2,500,250,,,,,,77
2840,-94,-95,69,1.7,500,250,,,,,,78
2880,-94,-96,68,1.3,500,250,,,,,,79
2920,-94,-97,67,1.2,500,250,,,,,,80
2960,-95,-95,68,0.8,500,250,,,,,,81
3000,-93,-95,69,1.2,500,250,,,,,,82
3040,-95,-96,67,0.6,500,250,,,,,,84
3080,-94,-97,67,0.6,500,250,,,,,,85
3120,-94,-95,68,0.5,500,250,,,,,,86
3160,-94,-97,67,0.9,500,250,,,,,,87
3200,-94,-97,68,0.9,500,250,,,,,,88
3240,-94,-97,67,1.4,500,250,,,,,,89
3280,-94,-97,68,0.4,500,250,,,,,,90
3320,-93,-97,67,0.3,500,250,,,,,,91
3360,-96,-96,66,0.8,500,250,,,,,,92
3400,-94,-98,68,1,500,250,,,,,,94
3440,-95,-97,67,1,500,250,,,,,,95
3480,-94,-97,67,0,500,250,,,,,,96
3520,-95,-97,66,0.4,500,250,,,,,,97
3560,-94,-97,68,0.6,500,250,,,,,,98
3600,-96,-96,67,0.8,500,250,,,,,,99
3640,-94,-97,68,0.8,500,250,,,,,,100
3680,-95,-98,68,0,500,250,,,,,,101
3720,-96,-98,68,-0.3,500,250,,,,,,102
3760,-96,-98,66,-0.4,500,250,,,,,,103
3800,-96,-98,68,-0.5,500,250,,,,,,105
3840,-94,-97,66,0.3,500,250,,,,,,106
3880,-95,-97,67,0.4,500,250,,,,,,107
3920,-95,-96,68,-0.3,500,250,,,,,,108
3960,-95,-96,67,0,500,250,,,,,,109
4000,-94,-98,68,0.2,500,250,,,,,,110
4040,-96,-96,67,0.4,500,250,,,,,,111
4080,-96,-98,68,-0.4,500,250,,,,,,112
4120,-95,-98,68,-0.4,500,250,,,,,,113
4160,-94,-96,69,0.1,500,250,,,,,,114
4200,-93,-98,68,-0.4,500,250,,,,,,116
4240,-95,-96,69,-0.1,500,250,,,,,,117
4280,-94,-96,69,-0.1,500,250,,,,,,118
4320,-95,-98,69,-0.3,500,250,,,,,,119
4360,-93,-98,68,-0.7,500,250,,,,,,120
4400,-93,-97,69,-0.3,500,250,,,,,,121
4440,-95,-97,68,-0.9,500,250,,,,,,122
4480,-93,-96,69,-0.4,500,250,,,,,,123
4520,-93,-97,68,-1,500,250,,,,,,124
4560,-94,-97,70,-0.4,500,250,,,,,,125
4600,-92,-96,70,-0.6,500,250,,,,,,127
4640,-93,-96,69,-0.3,500,250,,,,,,128
4680,-93,-96,70,-0.6,500,250,,,,,,129
4720,-94,-96,70,-0.1,500,250,,,,,,130
4760,-94,-97,69,-0.3,500,250,,,,,,131
4800,-94,-96,70,-1.1,500,250,,,,,,132
4840,-92,-95,71,-0.9,500,250,,,,,,133
4880,-94,-95,70,-0.3,500,250,,,,,,134
4920,-93,-94,71,-0.2,500,250,,,,,,135
4960,-93,-96,70,-0.9,500,250,,,,,,136
5000,-92,-96,71,0,500,250,,,,,,138
5040,-93,-94,71,-0.4,500,250,,,,,,139
5080,-92,-94,72,-0.5,500,250,,,,,,140
5120,-91,-95,72,-0.5,500,250,,,,,,141
5160,-91,-94,71,0.1,500,250,,,,,,142
5200,-91,-95,71,0,500,250,,,,,,143
5240,-90,-95,71,-0.5,500,250,,,,,,144
5280,-91,-95,72,-0.5,500,250,,,,,,145
5320,-91,-93,72,-0.4,500,250,,,,,,146
5360,-90,-94,73,0.4,500,250,,,,,,147
5400,-90,-93,73,-0.2,500,250,,,,,,148
5440,-90,-94,72,-0.5,500,250,,,,,,150
5480,-89,-94,72,0.5,500,250,,,,,,151
5520,-91,-95,72,-0.5,500,250,,,,,,152
5560,-89,-94,73,0,500,250,,,,,,153
5600,-91,-93,73,0.5,500,250,,,,,,154
5640,-90,-93,73,0.4,500,250,,,,,,155
5680,-91,-94,73,-0.3,500,250,,,,,,156
5720,-91,-94,72,0.1,500,250,,,,,,157
5760,-89,-94,73,-0.3,500,250,,,,,,158
5800,-90,-92,73,-0.3,500,250,,,,,,160
5840,-89,-92,72,-0.2,500,250,,,,,,161
5880,-90,-93,74,0.3,500,250,,,,,,162
5920,-88,-92,74,0.5,500,250,,,,,,163
5960,-90,-92,74,0.3,500,250,,,,,,164
6000,-100,-101,49,0.9,500,250,,,,,,165
6040,-110,-111,25,1,500,250,,,,,,166
6080,-120,-120,0,1,500,250,,,,,,167
6120,-119,-118,0,0.5,500,250,,,,,,168
6160,-121,-119,0,0.4,500,250,,,,,,169
6200,-121,-120,0,1.3,500,250,,,,,,170
6240,-119,-117,0,0.7,500,250,,,,,,172
6280,-118,-117,0,0.8,500,250,,,,,,173
