ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-69,-70,94,6.9,100,250,,,,,,
40,-69,-71,94,6.7,100,250,,,,,,
80,-68,-70,93,7,100,250,,,,,,
120,-68,-70,94,6.9,100,250,,,,,,
160,-69,-71,93,7.5,100,250,,,,,,
200,-68,-70,95,7,100,250,,,,,,
240,-69,-70,94,7.4,100,250,,,,,,
280,-68,-69,94,7.2,100,250,,,,,,
320,-69,-70,94,7.2,100,250,,,,,,
360,-68,-70,94,7.6,100,250,,,,,,
400,-67,-71,95,7.7,100,250,,,,,,
440,-68,-70,94,7.7,100,250,,,,,,
480,-68,-70,95,7.8,100,250,,,,,,
520,-68,-71,95,7.8,100,250,,,,,,
560,-68,-70,94,7.4,100,250,,,,,,
600,-67,-70,94,7.5,100,250,,,,,,
640,-67,-69,95,7.9,100,250,,,,,,
680,-67,-70,95,7.7,100,250,,,,,,
720,-67,-70,95,7.6,100,250,,,,,,
760,-67,-70,95,7.7,100,250,,,,,,
800,-67,-70,95,7.4,100,250,,,,,,
840,-67,-71,96,8,100,250,,,,,,
880,-67,-70,95,8,100,250,,,,,,
920,-67,-71,94,7.5,100,250,,,,,,
960,-68,-70,95,8.1,100,250,,,,,,
1000,-67,-71,95,7.6,100,250,,,,,,
1040,-67,-70,95,7.6,100,250,,,,,,
1080,-67,-71,95,7.6,100,250,,,,,,
1120,-66,-70,95,8.2,100,250,,,,,,
1160,-67,-72,94,8.2,100,250,,,,,,
1200,-67,-71,94,8.1,100,250,,,,,,
1240,-67,-71,94,7.8,100,250,,,,,,
1280,-68,-71,95,7.9,100,250,,,,,,
1320,-68,-71,95,8.1,100,250,,,,,,
1360,-67,-72,95,8.2,100,250,,,,,,
1400,-67,-71,94,7.7,100,250,,,,,,
1440,-68,-72,95,7.8,100,250,,,,,,
1480,-68,-72,94,8.2,100,250,,,,,,
1520,-68,-72,94,8.3,100,250,,,,,,
1560,-68,-72,94,8.2,100,250,,,,,,
1600,-69,-72,94,8.2,100,250,,,,,,
1640,-69,-73,94,8,100,250,,,,,,
1680,-68,-72,94,7.7,100,250,,,,,,
1720,-68,-72,94,8.3,100,250,,,,,,
1760,-68,-73,94,8.3,100,250,,,,,,
1800,-68,-72,93,7.7,100,250,,,,,,
1840,-69,-73,94,7.6,100,250,,,,,,
1880,-68,-72,93,8,100,250,,,,,,
1920,-69,-74,93,8,100,250,,,,,,
1960,-69,-73,93,7.7,100,250,,,,,,
2000,-69,-74,93,7.7,100,250,,,,,,
2040,-69,-74,93,8.2,100,250,,,,,,
2080,-70,-74,93,7.7,100,250,,,,,,
2120,-70,-74,93,8.2,100,250,,,,,,
2160,-70,-75,92,7.7,100,250,,,,,,
2200,-70,-73,93,8,100,250,,,,,,
2240,-69,-74,93,8,100,250,,,,,,
2280,-70,-74,92,7.7,100,250,,,,,,
2320,-70,-74,92,7.4,100,250,,,,,,
2360,-70,-74,92,8,100,250,,,,,,
2400,-71,-75,92,7.6,100,250,,,,,,
2440,-71,-74,91,7.5,100,250,,,,,,
2480,-72,-75,92,7.3,100,250,,,,,,
2520,-72,-74,91,7.3,100,250,,,,,,
2560,-72,-74,92,7.3,100,250,,,,,,
2600,-72,-76,91,7.5,100,250,,,,,,
2640,-72,-76,91,7.4,100,250,,,,,,
2680,-71,-75,91,7.3,100,250,,,,,,
2720,-71,-75,91,7.3,100,250,,,,,,
2760,-71,-75,91,7.5,100,250,,,,,,
2800,-72,-75,92,7.5,100,250,,,,,,
2840,-73,-75,91,7.6,100,250,,,,,,
2880,-72,-75,90,6.9,100,250,,,,,,
2920,-72,-76,91,7.1,100,250,,,,,,
2960,-73,-75,91,7.2,100,250,,,,,,
3000,-72,-76,90,7.1,100,250,,,,,,
3040,-73,-75,91,7.2,100,250,,,,,,
3080,-73,-75,92,7,100,250,,,,,,
3120,-73,-76,92,6.9,100,250,,,,,,
3160,-73,-77,91,6.9,100,250,,,,,,
3200,-73,-76,92,7.2,100,250,,,,,,
3240,-73,-76,90,7,100,250,,,,,,
3280,-73,-76,91,7,100,250,,,,,,
3320,-73,-76,92,6.7,100,250,,,,,,
3360,-72,-76,92,6.8,100,250,,,,,,
3400,-73,-75,91,6.8,100,250,,,,,,
3440,-73,-77,92,6.8,100,250,,,,,,
3480,-74,-76,91,6.6,100,250,,,,,,
3520,-73,-76,91,6.5,100,250,,,,,,
3560,-73,-76,92,6.8,100,250,,,,,,
3600,-72,-75,92,6.8,100,250,,,,,,
3640,-73,-75,92,6.7,100,250,,,,,,
3680,-73,-76,92,6.2,100,250,,,,,,
3720,-73,-75,91,6.2,100,250,,,,,,
3760,-73,-75,92,6.7,100,250,,,,,,
3800,-73,-75,92,6.4,100,250,,,,,,
3840,-72,-75,92,6.2,100,250,,,,,,
3880,-72,-76,92,6.7,100,250,,,,,,
3920,-73,-75,93,6.1,100,250,,,,,,
3960,-72,-76,93,6.6,100,250,,,,,,
4000,-72,-75,93,6.6,100,250,,,,,,
4040,-73,-75,92,6.1,100,250,,,,,,
4080,-72,-76,93,6.3,100,250,,,,,,
4120,-72,-75,93,5.9,100,250,,,,,,
4160,-72,-75,93,6.4,100,250,,,,,,
4200,-72,-74,93,5.8,100,250,,,,,,
4240,-71,-74,94,6.1,100,250,,,,,,
4280,-72,-74,93,5.9,100,250,,,,,,
4320,-71,-75,93,6.3,100,250,,,,,,
4360,-71,-75,93,6,100,250,,,,,,
4400,-71,-74,94,6,100,250,,,,,,
4440,-71,-74,94,6.4,100,250,,,,,,
4480,-72,-73,95,5.9,100,250,,,,,,
4520,-71,-73,95,6,100,250,,,,,,
4560,-71,-73,94,5.9,100,250,,,,,,
4600,-70,-74,95,6,100,250,,,,,,
4640,-69,-73,94,6.1,100,250,,,,,,
4680,-70,-74,94,5.9,100,250,,,,,,
4720,-70,-73,95,5.7,100,250,,,,,,
4760,-70,-74,94,5.7,100,250,,,,,,
4800,-69,-74,94,5.9,100,250,,,,,,
4840,-70,-73,95,6.2,100,250,,,,,,
4880,-69,-73,95,6.1,100,250,,,,,,
4920,-70,-73,95,5.9,100,250,,,,,,
4960,-68,-73,95,6.1,100,250,,,,,,
5000,-70,-72,95,6.3,100,250,,,,,,
5040,-69,-73,95,6.2,100,250,,,,,,
5080,-69,-73,95,6.2,100,250,,,,,,
5120,-68,-72,94,6.1,100,250,,,,,,
5160,-68,-73,95,6.2,100,250,,,,,,
5200,-68,-71,95,6.3,100,250,,,,,,
5240,-68,-71,96,6.4,100,250,,,,,,
5280,-68,-71,95,6.5,100,250,,,,,,
5320,-68,-71,95,6,100,250,,,,,,
5360,-68,-72,94,6.3,100,250,,,,,,
5400,-68,-71,95,6,100,250,,,,,,
5440,-68,-71,95,5.9,100,250,,,,,,
5480,-67,-71,95,5.9,100,250,,,,,,
5520,-67,-71,94,6,100,250,,,,,,
5560,-67,-72,95,6.3,100,250,,,,,,
5600,-67,-70,94,6.3,100,250,,,,,,
5640,-67,-70,95,6.4,100,250,,,,,,
5680,-67,-71,95,6.4,100,250,,,,,,
5720,-68,-70,95,6.3,100,250,,,,,,
5760,-67,-71,95,6.8,100,250,,,,,,
5800,-67,-71,94,6.4,100,250,,,,,,
5840,-67,-70,93,6.3,100,250,,,,,,
5880,-67,-71,94,6.7,100,250,,,,,,
5920,-67,-70,94,6.7,100,250,,,,,,
