ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-59,-62,97,9.3,100,250,,,40,10,53.1,0
40,-59,-61,96,9.2,100,250,,,40.3,12,53.2,1
80,-59,-62,97,8.9,100,250,,,40.6,11,54.2,2
120,-58,-61,97,9.1,100,250,,,40.9,11,55.1,4
160,-58,-62,97,8.9,100,250,,,41.2,11,55.3,5
200,-59,-60,96,9.1,100,250,,,41.5,10,54.5,6
240,-59,-61,97,9.3,100,250,,,41.8,11,54.7,7
280,-58,-60,98,9.6,100,250,,,42.1,11,55.9,8
320,-58,-61,98,9,100,250,,,42.4,11,56.5,10
360,-58,-60,97,9.3,100,250,,,42.7,11,56.7,11
400,-58,-61,97,9.1,100,250,,,43,11,56.6,12
440,-57,-61,97,9.6,100,250,,,43.3,11,57.1,13
480,-58,-60,97,9.4,100,250,,,43.6,11,57,14
520,-58,-60,97,9.2,100,250,,,43.9,11,56.8,16
560,-57,-61,98,9.3,100,250,,,44.2,11,58.3,17
600,-57,-61,97,9.6,100,250,,,44.5,10,58.5,18
640,-57,-61,98,9.8,100,250,,,44.8,11,57.9,19
680,-57,-62,97,9.6,100,250,,,45.1,11,59.4,20
720,-57,-61,97,9.8,100,250,,,45.4,11,58.6,22
760,-58,-62,98,9.6,100,250,,,45.7,11,58.1,23
800,-57,-61,98,10,100,250,,,46,11,60,24
840,-57,-62,97,9.6,100,250,,,46.3,11,59,25
880,-57,-62,98,9.8,100,250,,,46.5,11,59.6,26
920,-57,-61,97,9.7,100,250,,,46.8,11,60.1,28
960,-57,-61,98,9.7,100,250,,,47.1,12,59.9,29
1000,-58,-62,99,9.6,100,250,,,47.4,11,61.1,30
1040,-58,-62,98,9.5,100,250,,,47.7,11,61,31
1080,-57,-62,98,9.6,100,250,,,48,10,61.3,32
1120,-57,-62,98,10.1,100,250,,,48.3,10,61.3,34
1160,-58,-61,98,10.2,100,250,,,48.6,11,61,35
1200,-57,-62,98,9.9,100,250,,,48.9,11,60.4,36
1240,-57,-62,98,10.2,100,250,,,49.2,11,61,37
1280,-57,-63,98,9.9,100,250,,,49.4,11,60.4,38
1320,-58,-62,97,9.7,100,250,,,49.7,12,61.3,40
1360,-58,-62,97,9.7,100,250,,,50,10,61.6,41
1400,-57,-62,97,10.2,100,250,,,50.3,11,62.6,42
1440,-58,-63,98,9.9,100,250,,,50.6,11,62.2,43
1480,-58,-63,97,10.1,100,250,,,50.8,10,61.9,44
1520,-57,-63,98,10.3,100,250,,,51.1,11,62.1,46
1560,-58,-64,98,9.8,100,250,,,51.4,11,61.5,47
1600,-57,-63,97,10,100,250,,,51.7,11,62.1,48
1640,-57,-63,97,10.1,100,250,,,52,11,62.4,49
1680,-58,-63,96,9.9,100,250,,,52.2,11,62.9,50
1720,-58,-63,97,9.7,100,250,,,52.5,11,61.9,52
1760,-58,-64,97,10.2,100,250,,,52.8,11,63.4,53
1800,-59,-64,96,9.7,100,250,,,53,11,62.9,54
1840,-58,-64,97,10.1,100,250,,,53.3,11,63.6,55
1880,-58,-64,97,9.7,100,250,,,53.6,12,62.1,56
1920,-58,-64,97,10.1,100,250,,,53.9,11,61.9,58
1960,-59,-64,96,10,100,250,,,54.1,11,62.8,59
