ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-65,-68,96,8.4,100,250,,,40,11,54,0
40,-65,-66,96,8.8,100,250,,,40.3,12,53.4,2
80,-65,-68,96,8.7,100,250,,,40.6,11,53.7,4
120,-64,-68,95,8.7,100,250,,,40.9,11,55.5,6
160,-64,-67,96,8.9,100,250,,,41.2,11,54.7,8
200,-63,-67,96,8.6,100,250,,,41.5,11,54.7,10
240,-64,-67,96,8.7,100,250,,,41.8,11,54.7,12
280,-64,-68,97,8.5,100,250,,,42.1,11,55.7,14
320,-65,-67,97,8.8,100,250,,,42.4,12,56.6,16
360,-64,-67,97,8.6,100,250,,,42.7,11,55.5,18
400,-63,-67,96,9.2,100,250,,,43,12,56.1,20
440,-63,-68,96,8.9,100,250,,,43.3,11,57.7,22
480,-64,-67,97,8.9,100,250,,,43.6,12,56.4,24
520,-63,-67,96,8.7,100,250,,,43.9,10,56.5,26
560,-63,-67,96,9.4,100,250,,,44.2,11,58.3,28
600,-63,-67,97,9.2,100,250,,,44.5,10,58.1,30
640,-64,-68,96,9.4,100,250,,,44.8,11,58.5,32
680,-63,-68,97,9.3,100,250,,,45.1,11,58.2,34
720,-63,-67,97,9.1,100,250,,,45.4,11,58.2,36
760,-62,-67,97,9.3,100,250,,,45.7,11,58.7,38
800,-63,-67,97,9,100,250,,,46,11,59.3,40
840,-63,-67,97,9.1,100,250,,,46.3,11,59.4,42
880,-63,-68,97,9.3,100,250,,,46.5,11,59.6,44
920,-63,-67,97,9.3,100,250,,,46.8,11,59.4,46
960,-62,-67,97,9.5,100,250,,,47.1,11,59.3,48
1000,-63,-67,97,9.6,100,250,,,47.4,12,59.3,50
1040,-63,-67,97,9.1,100,250,,,47.7,11,59.6,52
1080,-62,-67,98,9.6,100,250,,,48,11,60.6,54
1120,-63,-68,97,9.5,100,250,,,48.3,11,61,56
1160,-63,-68,98,9.1,100,250,,,48.6,11,61.4,58
1200,-63,-68,97,9.5,100,250,,,48.9,11,61.1,60
1240,-64,-68,97,9.5,100,250,,,49.2,11,60.9,62
