ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-63,-67,94,8.2,100,500,,,40,11,54.1,0
40,-62,-66,95,8,100,500,,,40.3,11,54.1,1
80,-62,-67,95,8.2,100,500,,,40.6,12,54,2
120,-63,-66,95,8.1,100,500,,,40.9,11,55.4,3
160,-62,-66,95,8.3,100,500,,,41.2,10,54.1,4
200,-62,-66,95,8.1,100,500,,,41.5,11,56.1,6
240,-62,-66,95,7.9,100,500,,,41.8,11,56.4,7
280,-62,-67,95,8.4,100,500,,,42.1,11,54.9,8
320,-63,-66,95,8.1,100,500,,,42.4,11,56,9
360,-62,-66,96,8.1,100,500,,,42.7,11,56.2,10
400,-61,-65,95,8.5,100,500,,,43,11,56.1,11
440,-61,-66,95,8.3,100,500,,,43.3,11,56.9,12
480,-61,-66,96,8.6,100,500,,,43.6,11,57.4,13
520,-61,-65,95,8.2,100,500,,,43.9,11,56.8,14
560,-62,-66,96,8.3,100,500,,,44.2,11,57,15
600,-61,-65,96,8.8,100,500,,,44.5,12,58.8,16
640,-61,-66,95,8.3,100,500,,,44.8,11,57.5,18
680,-61,-66,96,9,100,500,,,45.1,11,58,19
720,-61,-67,96,8.7,100,500,,,45.4,11,58,20
760,-61,-66,96,8.9,100,500,,,45.7,11,59.3,21
800,-61,-67,96,9,100,500,,,46,11,58.8,22
840,-61,-66,96,8.4,100,500,,,46.3,11,58.4,23
880,-62,-67,96,8.5,100,500,,,46.5,11,59.9,24
920,-62,-66,96,8.5,100,500,,,46.8,11,58.9,25
960,-60,-66,96,9,100,500,,,47.1,12,59.8,26
1000,-61,-66,95,8.7,100,500,,,47.4,11,60,28
1040,-61,-67,96,9.2,100,500,,,47.7,11,59.7,29
1080,-61,-67,96,9,100,500,,,48,11,60,30
1120,-62,-68,96,8.6,100,500,,,48.3,11,61.2,31
1160,-61,-66,96,9,100,500,,,48.6,11,60.4,32
1200,-61,-67,96,8.8,100,500,,,48.9,11,60.3,33
1240,-62,-67,96,9.1,100,500,,,49.2,11,61.4,34
1280,-62,-67,96,9.3,100,500,,,49.4,11,61.6,35
1320,-61,-68,95,9.1,100,500,,,49.7,11,60.5,36
1360,-61,-68,96,8.7,100,500,,,50,11,62.4,37
1400,-62,-67,96,9.3,100,500,,,50.3,11,62.1,38
1440,-62,-68,96,8.9,100,500,,,50.6,11,62.8,40
1480,-61,-68,96,8.8,100,500,,,50.8,11,62.7,41
1520,-62,-67,95,8.7,100,500,,,51.1,11,61.9,42
1560,-62,-68,95,9.1,100,500,,,51.4,11,63.2,43
1600,-61,-68,95,8.7,100,500,,,51.7,10,62.1,44
1640,-62,-68,95,9.3,100,500,,,52,11,62.1,45
1680,-62,-69,95,9,100,500,,,52.2,11,63.2,46
1720,-62,-68,95,8.7,100,500,,,52.5,11,62.6,47
1760,-62,-69,95,8.6,100,500,,,52.8,10,62.1,48
1800,-62,-69,94,9,100,500,,,53,11,62,50
1840,-62,-69,95,8.7,100,500,,,53.3,10,62,51
1880,-64,-70,94,9,100,500,,,53.6,11,63.1,52
1920,-62,-69,95,9.3,100,500,,,53.9,11,62.9,53
1960,-63,-69,94,9.2,100,500,,,54.1,11,63.1,54
2000,-64,-69,93,9,100,500,,,54.4,11,62.5,55
2040,-63,-70,93,9,100,500,,,54.6,11,62.7,56
2080,-63,-70,94,8.7,100,500,,,54.9,10,63.4,57
2120,-64,-69,94,8.9,100,500,,,55.2,11,63.9,58
2160,-63,-69,94,8.9,100,500,,,55.4,11,63.1,59
2200,-64,-69,93,8.8,100,500,,,55.7,11,63.4,61
2240,-64,-71,93,8.9,100,500,,,55.9,11,62.8,62
2280,-65,-70,93,8.7,100,500,,,56.2,12,63.2,63
2320,-65,-70,94,8.6,100,500,,,56.4,11,63.4,64
2360,-65,-70,92,8.5,100,500,,,56.7,11,63.7,65
2400,-65,-70,93,8.7,100,500,,,56.9,11,63.7,66
2440,-65,-70,92,8.7,100,500,,,57.2,11,63.1,67
2480,-65,-71,92,8.6,100,500,,,57.4,11,63.7,68
2520,-65,-70,93,8.4,100,500,,,57.7,11,62.6,69
2560,-65,-71,92,8.8,100,500,,,57.9,11,62.9,70
2600,-65,-72,93,8.3,100,500,,,58.2,11,62.2,72
2640,-65,-72,92,8.4,100,500,,,58.4,10,62.9,73
2680,-65,-71,92,8.7,100,500,,,58.6,11,61.9,74
2720,-65,-71,92,8.5,100,500,,,58.9,11,62.3,75
2760,-65,-71,92,8.3,100,500,,,59.1,10,61.9,76
2800,-67,-72,92,8.5,100,500,,,59.3,11,61.9,77
2840,-66,-71,92,8.3,100,500,,,59.6,11,61.2,78
2880,-66,-71,92,8.4,100,500,,,59.8,10,62.5,79
2920,-66,-72,93,7.9,100,500,,,60,11,61.5,80
2960,-66,-72,92,8.4,100,500,,,60.2,11,60.9,81
3000,-66,-71,92,8,100,500,,,60.4,11,62.1,82
3040,-66,-71,92,8.1,100,500,,,60.7,11,61.8,84
3080,-67,-72,92,8.2,100,500,,,60.9,12,60.2,85
3120,-66,-72,92,7.7,100,500,,,61.1,11,60.4,86
3160,-67,-71,92,7.7,100,500,,,61.3,11,60.6,87
3200,-67,-72,92,7.6,100,500,,,61.5,12,59.6,88
3240,-67,-72,92,7.9,100,500,,,61.7,11,59.4,89
3280,-66,-72,92,8,100,500,,,61.9,11,59.9,90
3320,-68,-73,92,8,100,500,,,62.1,11,60.7,91
3360,-67,-71,93,7.9,100,500,,,62.3,12,59.8,92
3400,-67,-72,93,8,100,500,,,62.5,11,59.8,94
3440,-68,-72,92,7.6,100,500,,,62.7,11,60.2,95
3480,-67,-71,93,7.6,100,500,,,62.9,11,58.5,96
3520,-67,-72,92,7.8,100,500,,,63.1,11,58.6,97
3560,-66,-72,93,7.5,100,500,,,63.3,11,58.1,98
3600,-67,-72,93,7.8,100,500,,,63.5,11,57.9,99
3640,-67,-72,93,7.4,100,500,,,63.7,11,59,100
3680,-67,-72,93,7.6,100,500,,,63.9,11,57.3,101
3720,-67,-72,93,7.1,100,500,,,64,12,57,102
3760,-67,-72,93,7.6,100,500,,,64.2,11,57.1,103
3800,-67,-71,93,7.2,100,500,,,64.4,11,58,105
3840,-67,-71,94,7.3,100,500,,,64.6,11,57.4,106
3880,-67,-72,93,7.4,100,500,,,64.7,11,57.3,107
3920,-67,-71,93,7.2,100,500,,,64.9,11,55.6,108
3960,-67,-71,94,7.5,100,500,,,65.1,11,56.3,109
4000,-66,-71,94,7.2,100,500,,,65.2,11,54.9,110
4040,-66,-71,94,7.3,100,500,,,65.4,11,55.9,111
4080,-66,-71,95,7.5,100,500,,,65.6,11,55.7,112
4120,-66,-71,94,7.1,100,500,,,65.7,11,55.1,113
4160,-65,-71,95,7.4,100,500,,,65.9,11,54.8,114
4200,-65,-71,95,7.2,100,500,,,66,11,55.2,116
4240,-65,-70,94,6.8,100,500,,,66.2,11,54.1,117
4280,-65,-70,95,6.9,100,500,,,66.3,11,53.5,118
4320,-66,-71,94,7.3,100,500,,,66.5,11,53.3,119
4360,-65,-71,95,6.8,100,500,,,66.6,11,52.2,120
4400,-65,-70,95,7,100,500,,,66.7,11,52.2,121
4440,-65,-71,95,7.3,100,500,,,66.9,12,51.7,122
4480,-65,-71,95,6.7,100,500,,,67,11,51.6,123
4520,-64,-71,95,6.7,100,500,,,67.1,11,51.8,124
4560,-65,-71,95,7.2,100,500,,,67.3,11,51.5,125
4600,-64,-70,95,7,100,500,,,67.4,10,51.9,127
4640,-64,-70,96,7.3,100,500,,,67.5,11,51.2,128
4680,-64,-69,95,7,100,500,,,67.6,11,49.5,129
4720,-64,-70,95,7,100,500,,,67.7,11,49.7,130
4760,-64,-70,96,7,100,500,,,67.9,11,49,131
4800,-63,-69,96,7,100,500,,,68,12,49.7,132
4840,-63,-68,95,7,100,500,,,68.1,11,48.1,133
4880,-63,-69,95,7.3,100,500,,,68.2,11,48.8,134
4920,-64,-69,96,6.7,100,500,,,68.3,11,48.9,135
4960,-63,-69,96,7.3,100,500,,,68.4,11,47.8,136
5000,-63,-69,96,7.1,100,500,,,68.5,11,47.6,138
5040,-63,-68,96,7.2,100,500,,,68.6,11,47.5,139
5080,-63,-68,96,7,100,500,,,68.7,11,46.7,140
5120,-63,-69,96,7.4,100,500,,,68.7,11,45.8,141
5160,-62,-67,97,7.4,100,500,,,68.8,11,45.6,142
5200,-62,-67,96,6.8,100,500,,,68.9,11,46.7,143
5240,-61,-68,96,7.2,100,500,,,69,11,44.8,144
5280,-62,-68,96,6.9,100,500,,,69.1,10,44.8,145
5320,-62,-68,95,7.1,100,500,,,69.1,11,44.9,146
5360,-61,-68,96,7.2,100,500,,,69.2,11,44.7,147
5400,-62,-68,95,7.2,100,500,,,69.3,11,44.3,148
5440,-62,-67,96,7.4,100,500,,,69.3,11,44.3,150
5480,-61,-67,96,7.3,100,500,,,69.4,12,43.2,151
5520,-61,-67,95,7.1,100,500,,,69.5,11,43,152
5560,-62,-67,96,7.3,100,500,,,69.5,12,42.5,153
5600,-61,-66,95,7.3,100,500,,,69.6,11,43,154
