ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-77,-77,92,6.2,250,250,,,40,11,54.5,0
40,-77,-77,92,6,250,250,,,40.3,11,53.7,2
80,-76,-76,92,6.1,250,250,,,40.6,11,54.7,3
120,-77,-77,92,6.4,250,250,,,40.9,11,54.6,5
160,-76,-78,93,6.2,250,250,,,41.2,12,55.1,7
200,-77,-77,92,5.9,250,250,,,41.5,11,55.6,8
240,-76,-76,93,6.4,250,250,,,41.8,11,55.4,10
280,-76,-78,94,6,250,250,,,42.1,11,55,12
320,-75,-76,93,6,250,250,,,42.4,11,55.6,14
360,-76,-76,93,6.4,250,250,,,42.7,11,55.5,15
400,-75,-78,94,6.7,250,250,,,43,11,56.4,17
440,-75,-76,94,6.8,250,250,,,43.3,11,56.3,19
480,-75,-76,94,6.3,250,250,,,43.6,11,57.2,20
520,-76,-77,94,6.8,250,250,,,43.9,11,57.3,22
560,-75,-77,94,6.8,250,250,,,44.2,11,57,24
600,-75,-76,94,6.3,250,250,,,44.5,11,58.2,26
640,-76,-78,94,6.4,250,250,,,44.8,11,58.4,27
680,-75,-77,94,6.4,250,250,,,45.1,11,58.9,29
720,-75,-78,94,6.9,250,250,,,45.4,11,57.9,31
760,-75,-78,94,6.9,250,250,,,45.7,11,59.6,32
800,-76,-78,94,6.5,250,250,,,46,11,59.6,34
840,-75,-77,94,6.5,250,250,,,46.3,12,59.4,36
880,-75,-77,93,6.6,250,250,,,46.5,11,60.2,37
920,-75,-77,94,6.6,250,250,,,46.8,11,59,39
960,-74,-77,94,6.5,250,250,,,47.1,11,59.5,41
1000,-74,-78,94,6.9,250,250,,,47.4,11,59.7,42
1040,-75,-78,94,6.7,250,250,,,47.7,11,61.2,44
1080,-74,-77,93,6.9,250,250,,,48,11,61,46
1120,-75,-77,94,6.6,250,250,,,48.3,11,61.6,48
1160,-75,-78,94,7.2,250,250,,,48.6,10,60.9,49
1200,-75,-78,94,7,250,250,,,48.9,10,61.4,51
1240,-75,-78,93,6.7,250,250,,,49.2,11,61.1,53
1280,-75,-77,94,6.9,250,250,,,49.4,10,61.9,54
1320,-75,-78,94,7,250,250,,,49.7,11,62.4,56
1360,-75,-78,94,7.1,250,250,,,50,12,61,58
1400,-75,-79,94,6.8,250,250,,,50.3,11,61.1,60
1440,-75,-78,93,7.3,250,250,,,50.6,12,62.6,61
1480,-76,-79,93,6.7,250,250,,,50.8,11,62,63
1520,-76,-79,94,7.2,250,250,,,51.1,11,63.1,65
1560,-76,-79,93,7.1,250,250,,,51.4,11,61.3,66
1600,-77,-79,93,6.9,250,250,,,51.7,11,61.8,68
1640,-76,-79,92,7,250,250,,,52,11,63.2,70
1680,-76,-80,93,7,250,250,,,52.2,11,61.6,71
1720,-76,-79,93,6.9,250,250,,,52.5,11,61.9,73
1760,-76,-79,93,6.9,250,250,,,52.8,11,62.6,75
1800,-76,-79,93,7.2,250,250,,,53,11,63.2,76
1840,-76,-80,92,7.1,250,250,,,53.3,11,63.4,78
1880,-76,-80,92,7.1,250,250,,,53.6,12,62.5,80
1920,-77,-80,93,6.8,250,250,,,53.9,11,62.2,82
1960,-78,-80,92,7,250,250,,,54.1,11,63.3,83
2000,-77,-81,92,7.2,250,250,,,54.4,11,62.3,85
2040,-78,-81,92,6.7,250,250,,,54.6,12,62.6,87
2080,-78,-80,91,6.7,250,250,,,54.9,11,62.5,88
2120,-77,-81,92,6.7,250,250,,,55.2,11,62.6,90
2160,-78,-80,91,6.5,250,250,,,55.4,11,62.7,92
2200,-78,-81,92,7,250,250,,,55.7,11,63.1,94
2240,-78,-81,91,6.4,250,250,,,55.9,11,62.4,95
2280,-78,-81,91,6.5,250,250,,,56.2,11,62,97
2320,-79,-81,91,6.6,250,250,,,56.4,11,62.9,99
2360,-79,-82,91,6.6,250,250,,,56.7,11,62.2,100
2400,-79,-81,90,7,250,250,,,56.9,11,62.4,102
2440,-80,-81,91,6.9,250,250,,,57.2,11,63.2,104
2480,-79,-82,91,6.7,250,250,,,57.4,11,61.8,105
2520,-79,-81,91,6.3,250,250,,,57.7,11,62.1,107
2560,-79,-82,91,6.8,250,250,,,57.9,11,62.5,109
2600,-79,-82,90,6.4,250,250,,,58.2,11,62.4,110
2640,-79,-82,90,6.6,250,250,,,58.4,11,62.5,112
2680,-80,-83,90,6.1,250,250,,,58.6,11,63.1,114
2720,-80,-83,90,6.6,250,250,,,58.9,11,61.5,116
2760,-79,-83,90,6.3,250,250,,,59.1,11,62.4,117
2800,-80,-82,91,6.6,250,250,,,59.3,12,62.2,119
2840,-80,-82,91,6.3,250,250,,,59.6,11,62.8,121
2880,-79,-82,91,5.9,250,250,,,59.8,11,61.2,122
2920,-81,-83,91,6.5,250,250,,,60,11,62.2,124
2960,-80,-82,90,5.9,250,250,,,60.2,11,61.1,126
3000,-80,-82,90,6.3,250,250,,,60.4,10,62.2,128
3040,-81,-82,90,6.2,250,250,,,60.7,10,61,129
3080,-81,-83,90,5.9,250,250,,,60.9,11,60.5,131
3120,-81,-84,90,5.9,250,250,,,61.1,11,60.1,133
3160,-80,-84,90,5.8,250,250,,,61.3,11,61.1,134
3200,-81,-83,90,5.8,250,250,,,61.5,11,61.1,136
3240,-80,-83,90,5.9,250,250,,,61.7,10,61,138
3280,-81,-83,90,5.7,250,250,,,61.9,11,60.9,139
3320,-81,-83,91,5.7,250,250,,,62.1,11,60.5,141
3360,-82,-83,90,5.8,250,250,,,62.3,11,59.4,143
3400,-80,-83,91,5.5,250,250,,,62.5,11,58.9,144
3440,-81,-83,91,6.1,250,250,,,62.7,11,59.3,146
3480,-80,-83,90,5.7,250,250,,,62.9,11,59.8,148
3520,-81,-82,90,5.6,250,250,,,63.1,11,59.6,150
3560,-82,-82,91,5.5,250,250,,,63.3,11,57.8,151
3600,-82,-82,91,5.7,250,250,,,63.5,11,59,153
3640,-81,-83,91,5.5,250,250,,,63.7,11,57.6,155
3680,-81,-83,91,5.5,250,250,,,63.9,11,57.9,156
3720,-81,-83,92,5.3,250,250,,,64,11,58.5,158
3760,-81,-82,91,5.6,250,250,,,64.2,11,58.4,160
3800,-80,-83,92,5.5,250,250,,,64.4,11,57.4,162
3840,-81,-83,92,5.3,250,250,,,64.6,11,56.4,163
3880,-81,-83,91,5.3,250,250,,,64.7,11,56.2,165
3920,-80,-83,92,5.5,250,250,,,64.9,10,55.5,167
3960,-80,-83,92,5.3,250,250,,,65.1,11,55.9,168
4000,-81,-83,91,4.9,250,250,,,65.2,11,55.5,170
4040,-81,-82,92,5.5,250,250,,,65.4,11,55.6,172
4080,-80,-82,92,5.1,250,250,,,65.6,11,54.3,173
4120,-80,-83,93,5.3,250,250,,,65.7,11,54.9,175
4160,-81,-82,92,5,250,250,,,65.9,10,54.6,177
4200,-80,-81,93,5,250,250,,,66,11,53.4,178
4240,-79,-82,93,5,250,250,,,66.2,11,53.8,180
4280,-80,-81,92,5.1,250,250,,,66.3,11,53,182
4320,-80,-82,92,4.9,250,250,,,66.5,11,54.2,184
4360,-79,-81,93,5.4,250,250,,,66.6,11,52.7,185
4400,-80,-81,93,5.3,250,250,,,66.7,11,53.3,187
4440,-79,-81,93,5.3,250,250,,,66.9,11,52.1,189
4480,-80,-81,93,4.8,250,250,,,67,11,52.2,190
4520,-79,-80,94,4.8,250,250,,,67.1,11,51.5,192
4560,-78,-81,93,5.2,250,250,,,67.3,11,50.8,194
4600,-78,-81,94,5.2,250,250,,,67.4,11,51.5,196
4640,-79,-80,94,5.1,250,250,,,67.5,10,50.7,197
4680,-78,-80,93,5.2,250,250,,,67.6,10,50.1,199
4720,-77,-81,93,4.8,250,250,,,67.7,11,50.3,201
4760,-77,-79,93,5.3,250,250,,,67.9,11,49.8,202
4800,-77,-81,93,4.9,250,250,,,68,11,48.8,204
4840,-77,-81,93,5.1,250,250,,,68.1,11,49.2,206
4880,-78,-81,94,5.1,250,250,,,68.2,11,49.4,207
4920,-77,-80,94,5,250,250,,,68.3,11,48,209
4960,-77,-79,94,5.1,250,250,,,68.4,11,48.8,211
5000,-77,-80,93,5.3,250,250,,,68.5,11,46.8,212
5040,-77,-79,94,5.3,250,250,,,68.6,10,48.1,214
5080,-76,-80,94,5.4,250,250,,,68.7,11,47.5,216
5120,-77,-79,94,5.2,250,250,,,68.7,10,45.7,218
5160,-77,-78,93,5.3,250,250,,,68.8,11,46.3,219
5200,-77,-79,94,4.9,250,250,,,68.9,12,46,221
5240,-76,-78,93,4.8,250,250,,,69,12,44.4,223
5280,-76,-78,95,5.2,250,250,,,69.1,10,45.5,224
5320,-75,-78,94,5,250,250,,,69.1,11,44.1,226
5360,-76,-78,94,5.5,250,250,,,69.2,12,44.7,228
5400,-76,-78,94,5.1,250,250,,,69.3,11,43,230
5440,-75,-79,94,5.3,250,250,,,69.3,11,44.3,231
5480,-75,-78,93,5.2,250,250,,,69.4,12,43.6,233
5520,-76,-78,94,5.5,250,250,,,69.5,11,42.1,235
5560,-75,-79,93,5.2,250,250,,,69.5,11,43.4,236
5600,-76,-77,93,5.4,250,250,,,69.6,11,41.8,238
5640,-75,-78,94,5.2,250,250,,,69.6,11,42.5,240
5680,-76,-78,93,5.4,250,250,,,69.7,11,40.5,241
5720,-75,-77,93,5.5,250,250,,,69.7,11,40.9,243
5760,-76,-78,93,5.6,250,250,,,69.7,11,39.9,245
5800,-75,-77,93,5.5,250,250,,,69.8,11,39.9,246
5840,-76,-78,93,5.4,250,250,,,69.8,11,40.8,248
5880,-75,-77,92,5.9,250,250,,,69.8,11,39.1,250
5920,-75,-76,93,6,250,250,,,69.9,12,40,252
5960,-76,-77,92,5.4,250,250,,,69.9,11,39.3,253
6000,-76,-77,92,5.7,250,250,,,69.9,12,39.5,255
6040,-76,-77,92,5.8,250,250,,,69.9,11,38.4,257
6080,-75,-78,92,6,250,250,,,70,11,38.8,258
6120,-75,-77,92,5.7,250,250,,,70,11,37.2,260
6160,-75,-77,92,5.9,250,250,,,70,11,36.7,262
6200,-75,-77,92,5.8,250,250,,,70,11,36.9,264
6240,-75,-77,92,6,250,250,,,70,11,37,265
6280,-75,-76,92,6,250,250,,,70,11,35.5,267
6320,-75,-77,91,6.1,250,250,,,70,11,36.7,269
6360,-76,-77,92,5.9,250,250,,,70,11,36.4,270
6400,-76,-78,91,6.4,250,250,,,70,11,35.2,272
6440,-76,-77,91,6.4,250,250,,,70,11,35.8,274
6480,-76,-77,90,5.9,250,250,,,70,11,35,275
6520,-76,-77,90,6.3,250,250,,,69.9,11,34.5,277
6560,-76,-76,91,6.1,250,250,,,69.9,11,33.5,279
6600,-76,-77,91,6.1,250,250,,,69.9,11,33.2,280
6640,-76,-78,90,6.7,250,250,,,69.9,11,33.1,282
6680,-77,-77,91,6.6,250,250,,,69.9,10,32.6,284
6720,-77,-77,90,6.8,250,250,,,69.8,11,33.1,286
6760,-76,-77,90,6.7,250,250,,,69.8,11,32.1,287
6800,-76,-78,91,6.8,250,250,,,69.7,12,32.6,289
6840,-76,-77,91,6.2,250,250,,,69.7,11,33.1,291
6880,-77,-78,90,6.7,250,250,,,69.7,11,31.4,292
6920,-78,-78,90,6.3,250,250,,,69.6,11,31.2,294
6960,-77,-77,90,6.9,250,250,,,69.6,11,31.3,296
7000,-77,-77,91,6.6,250,250,,,69.5,11,31,298
7040,-77,-78,90,6.6,250,250,,,69.5,11,31.1,299
7080,-78,-78,91,6.8,250,250,,,69.4,11,31.2,301
7120,-77,-78,90,7,250,250,,,69.3,11,31.3,303
7160,-78,-79,90,6.6,250,250,,,69.3,11,30.8,304
7200,-78,-79,90,6.9,250,250,,,69.2,12,30.9,306
7240,-78,-79,90,7.1,250,250,,,69.1,11,29.4,308
7280,-78,-78,90,7,250,250,,,69.1,11,30.4,309
7320,-78,-78,90,6.8,250,250,,,69,12,29.1,311
7360,-79,-80,90,7.1,250,250,,,68.9,10,29.8,313
7400,-78,-79,90,7.1,250,250,,,68.8,11,28.5,314
7440,-79,-78,90,7,250,250,,,68.8,11,29.4,316
7480,-79,-79,90,7.2,250,250,,,68.7,11,29.5,318
7520,-79,-79,91,6.7,250,250,,,68.6,11,29.7,320
7560,-79,-79,91,7.2,250,250,,,68.5,11,29,321
7600,-80,-80,91,7.1,250,250,,,68.4,11,29.3,323
7640,-80,-80,91,7.2,250,250,,,68.3,12,28.8,325
7680,-80,-80,91,7.2,250,250,,,68.2,12,28.9,326
7720,-80,-80,91,7.1,250,250,,,68.1,12,27.1,328
7760,-80,-80,91,7.1,250,250,,,68,11,28.4,330
7800,-80,-80,91,7.1,250,250,,,67.9,11,28.8,332
7840,-79,-80,91,6.7,250,250,,,67.8,12,28.3,333
7880,-79,-80,90,6.9,250,250,,,67.6,11,27.1,335
7920,-80,-80,91,7,250,250,,,67.5,11,28.3,337
7960,-80,-81,92,6.7,250,250,,,67.4,11,28.2,338
8000,-81,-81,91,6.8,250,250,,,67.3,11,26.6,340
8040,-80,-81,91,6.8,250,250,,,67.2,11,26.6,342
8080,-80,-82,92,7,250,250,,,67,11,26.9,343
