ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-56,-59,96,9.6,25,250,,,40,11,54.2,0
40,-57,-60,97,9.4,25,250,,,40.3,11,53.3,0
80,-57,-59,97,9.3,25,250,,,40.6,11,53.6,1
120,-57,-58,96,9.7,25,250,,,40.9,11,54.5,1
160,-57,-58,96,9.5,25,250,,,41.2,11,54.1,1
200,-56,-60,97,9.6,25,250,,,41.5,11,54.2,2
240,-56,-59,97,9.9,25,250,,,41.8,11,56.2,2
280,-56,-59,97,9.9,25,250,,,42.1,11,55.5,2
320,-56,-60,98,9.7,25,250,,,42.4,12,55.7,2
360,-56,-59,98,10.1,25,250,,,42.7,11,57.1,3
400,-56,-58,97,9.7,25,250,,,43,11,57.1,3
440,-56,-59,97,9.8,25,250,,,43.3,11,56.4,3
480,-55,-60,97,9.9,25,250,,,43.6,11,56.6,4
520,-55,-60,98,10.3,25,250,,,43.9,11,57.7,4
560,-56,-59,98,10.3,25,250,,,44.2,11,58.1,4
600,-56,-58,98,9.9,25,250,,,44.5,11,57.4,4
640,-55,-59,97,10.4,25,250,,,44.8,11,57.8,5
680,-55,-60,98,10.2,25,250,,,45.1,11,57.5,5
720,-56,-60,98,10.1,25,250,,,45.4,11,58.4,5
760,-55,-59,97,10,25,250,,,45.7,12,58.4,6
800,-55,-60,98,10.5,25,250,,,46,11,60,6
840,-55,-60,98,10.3,25,250,,,46.3,11,58.4,6
880,-55,-59,98,10,25,250,,,46.5,11,58.6,7
920,-55,-59,98,10.1,25,250,,,46.8,11,59.8,7
960,-54,-60,98,10.3,25,250,,,47.1,11,60,7
1000,-55,-59,98,10.3,25,250,,,47.4,12,60,8
1040,-54,-60,99,10.6,25,250,,,47.7,11,59.5,8
1080,-55,-60,98,10.2,25,250,,,48,11,59.6,8
1120,-54,-60,98,10.3,25,250,,,48.3,11,60.7,8
1160,-55,-59,99,10.1,25,250,,,48.6,11,60.1,9
1200,-54,-60,98,10.4,25,250,,,48.9,11,61.4,9
1240,-55,-60,97,10.3,25,250,,,49.2,10,61.9,9
1280,-56,-60,98,10.4,25,250,,,49.4,12,60.7,10
1320,-55,-61,98,10.2,25,250,,,49.7,11,61.6,10
1360,-55,-60,98,10.3,25,250,,,50,11,62.2,10
1400,-55,-60,97,10.7,25,250,,,50.3,11,61,10
1440,-56,-61,97,10.5,25,250,,,50.6,12,62.3,11
1480,-56,-60,97,10.7,25,250,,,50.8,11,61.9,11
1520,-55,-61,97,10.7,25,250,,,51.1,11,62.6,11
1560,-56,-62,97,10.2,25,250,,,51.4,11,62.2,12
1600,-56,-62,97,10.5,25,250,,,51.7,11,62.4,12
1640,-56,-61,96,10.8,25,250,,,52,11,62,12
1680,-56,-62,96,10.2,25,250,,,52.2,10,63.4,13
1720,-57,-62,97,10.8,25,250,,,52.5,12,62.7,13
1760,-56,-62,97,10.6,25,250,,,52.8,11,63.6,13
1800,-57,-62,97,10.6,25,250,,,53,12,62.9,14
1840,-57,-63,96,10.2,25,250,,,53.3,11,62.1,14
1880,-56,-62,96,10.2,25,250,,,53.6,12,62,14
1920,-57,-62,97,10.6,25,250,,,53.9,11,63.2,14
1960,-58,-61,96,10.4,25,250,,,54.1,11,62.7,15
2000,-57,-62,95,10.1,25,250,,,54.4,11,62,15
2040,-58,-63,95,10.5,25,250,,,54.6,11,62.8,15
2080,-57,-63,95,10.7,25,250,,,54.9,11,63.3,16
2120,-57,-62,95,10.3,25,250,,,55.2,11,62.1,16
2160,-58,-63,96,10.3,25,250,,,55.4,11,62.4,16
2200,-58,-63,96,10,25,250,,,55.7,11,62.4,16
2240,-59,-63,96,10.5,25,250,,,55.9,11,63.6,17
2280,-59,-63,95,10.4,25,250,,,56.2,11,62.8,17
2320,-58,-63,95,10.3,25,250,,,56.4,12,62.6,17
2360,-58,-63,95,9.9,25,250,,,56.7,11,63.3,18
2400,-58,-64,95,10.5,25,250,,,56.9,10,63.3,18
2440,-59,-64,95,10.1,25,250,,,57.2,11,63.1,18
2480,-59,-63,94,10.2,25,250,,,57.4,10,62.3,19
2520,-60,-63,94,9.8,25,250,,,57.7,11,61.8,19
2560,-60,-64,95,10.2,25,250,,,57.9,11,62.5,19
2600,-59,-64,94,10.3,25,250,,,58.2,11,63.5,20
2640,-59,-65,94,10.1,25,250,,,58.4,11,62.6,20
2680,-60,-64,94,10.2,25,250,,,58.6,11,62.7,20
2720,-60,-64,94,9.8,25,250,,,58.9,11,62.2,20
2760,-60,-65,95,10,25,250,,,59.1,11,61.8,21
2800,-60,-65,95,9.9,25,250,,,59.3,11,62.1,21
2840,-60,-64,95,9.9,25,250,,,59.6,11,60.9,21
2880,-60,-64,94,9.4,25,250,,,59.8,10,61.5,22
2920,-60,-65,93,9.8,25,250,,,60,11,62,22
2960,-60,-65,94,9.5,25,250,,,60.2,11,61.3,22
3000,-60,-65,94,9.7,25,250,,,60.4,11,61.7,22
3040,-60,-65,94,9.6,25,250,,,60.7,12,60.5,23
3080,-61,-65,93,9.5,25,250,,,60.9,11,61.3,23
3120,-62,-65,94,9.4,25,250,,,61.1,12,60.4,23
3160,-62,-65,94,9.5,25,250,,,61.3,11,60.1,24
3200,-61,-66,94,9.3,25,250,,,61.5,11,61,24
3240,-61,-65,95,9.3,25,250,,,61.7,11,60.3,24
3280,-62,-65,95,9.1,25,250,,,61.9,11,59.3,25
3320,-60,-65,94,9.3,25,250,,,62.1,11,60.3,25
3360,-61,-65,94,9,25,250,,,62.3,10,59.6,25
3400,-62,-65,95,9.6,25,250,,,62.5,11,59.4,26
3440,-61,-65,95,9.1,25,250,,,62.7,11,60.1,26
3480,-61,-65,94,9.1,25,250,,,62.9,11,58.7,26
3520,-61,-64,94,8.9,25,250,,,63.1,11,59,26
3560,-62,-65,94,9.3,25,250,,,63.3,11,58.7,27
3600,-61,-65,95,8.9,25,250,,,63.5,10,57.7,27
3640,-60,-65,96,9.3,25,250,,,63.7,12,58.8,27
3680,-61,-65,95,8.7,25,250,,,63.9,11,57.2,28
3720,-60,-65,96,8.9,25,250,,,64,11,57.8,28
3760,-61,-64,96,8.6,25,250,,,64.2,11,57,28
3800,-60,-65,95,9,25,250,,,64.4,11,58.1,28
3840,-60,-64,96,9.1,25,250,,,64.6,11,56.4,29
3880,-61,-65,96,9.1,25,250,,,64.7,11,57,29
3920,-61,-65,96,8.9,25,250,,,64.9,11,57.2,29
3960,-60,-64,96,8.7,25,250,,,65.1,11,55.7,30
4000,-61,-64,96,8.9,25,250,,,65.2,11,54.9,30
4040,-61,-65,96,8.9,25,250,,,65.4,11,55.1,30
4080,-61,-65,97,9,25,250,,,65.6,11,55.1,31
4120,-59,-64,97,8.7,25,250,,,65.7,11,55.2,31
4160,-60,-63,97,8.5,25,250,,,65.9,11,54.3,31
4200,-60,-64,96,8.8,25,250,,,66,10,53.7,32
4240,-59,-63,96,8.9,25,250,,,66.2,11,53.9,32
4280,-59,-63,97,8.4,25,250,,,66.3,11,54.1,32
4320,-59,-64,97,8.7,25,250,,,66.5,11,52.7,32
4360,-59,-63,97,8.4,25,250,,,66.6,11,52.4,33
4400,-59,-63,97,8.6,25,250,,,66.7,11,52.4,33
4440,-58,-63,96,8.6,25,250,,,66.9,11,51.6,33
4480,-59,-63,97,8.9,25,250,,,67,11,51.2,34
4520,-58,-63,97,8.3,25,250,,,67.1,11,51.2,34
4560,-58,-63,97,8.7,25,250,,,67.3,11,51.8,34
4600,-58,-63,97,8.6,25,250,,,67.4,10,51.7,34
4640,-58,-62,98,8.3,25,250,,,67.5,11,50.8,35
4680,-57,-63,98,8.4,25,250,,,67.6,11,50.5,35
4720,-57,-63,97,8.6,25,250,,,67.7,11,49.6,35
4760,-58,-63,97,8.2,25,250,,,67.9,10,48.7,36
4800,-57,-63,98,8.6,25,250,,,68,11,48.4,36
4840,-58,-62,98,8.2,25,250,,,68.1,11,49.3,36
4880,-57,-62,97,8.8,25,250,,,68.2,11,48.4,37
4920,-57,-62,98,8.8,25,250,,,68.3,11,47.7,37
4960,-57,-62,98,8.5,25,250,,,68.4,11,46.9,37
5000,-57,-62,98,8.7,25,250,,,68.5,11,46.8,38
5040,-57,-61,98,8.6,25,250,,,68.6,11,47.5,38
5080,-56,-61,97,8.7,25,250,,,68.7,11,47.2,38
5120,-57,-62,98,8.3,25,250,,,68.7,10,47.1,38
5160,-57,-61,98,8.6,25,250,,,68.8,11,46,39
5200,-57,-61,99,8.4,25,250,,,68.9,11,46.3,39
5240,-57,-60,98,8.3,25,250,,,69,11,45.8,39
5280,-56,-60,98,8.5,25,250,,,69.1,11,45.1,40
5320,-55,-60,98,8.9,25,250,,,69.1,12,44.8,40
5360,-55,-61,98,8.5,25,250,,,69.2,11,44.2,40
5400,-55,-60,97,8.9,25,250,,,69.3,11,44,40
5440,-56,-60,98,9,25,250,,,69.3,11,43.7,41
5480,-56,-60,98,8.5,25,250,,,69.4,11,43.2,41
5520,-55,-59,98,9.1,25,250,,,69.5,11,43.6,41
5560,-55,-60,97,9,25,250,,,69.5,11,42.1,42
5600,-55,-60,97,8.8,25,250,,,69.6,11,41.3,42
5640,-55,-60,97,9,25,250,,,69.6,11,41.7,42
5680,-56,-60,97,9.1,25,250,,,69.7,11,40.7,43
5720,-56,-59,98,9.3,25,250,,,69.7,11,41.8,43
5760,-55,-59,97,8.9,25,250,,,69.7,10,40.8,43
5800,-55,-59,97,8.9,25,250,,,69.8,11,39.9,44
5840,-55,-59,97,9.3,25,250,,,69.8,11,40.1,44
5880,-55,-59,97,9.3,25,250,,,69.8,11,39.7,44
5920,-55,-59,97,9,25,250,,,69.9,11,38.4,44
5960,-54,-59,97,9.2,25,250,,,69.9,11,38.9,45
6000,-55,-58,96,9.1,25,250,,,69.9,12,39.6,45
6040,-55,-59,96,9.3,25,250,,,69.9,11,38.2,45
6080,-55,-60,96,9.5,25,250,,,70,11,37.2,46
6120,-56,-60,96,9,25,250,,,70,12,37,46
6160,-55,-59,97,9.7,25,250,,,70,12,37.9,46
6200,-54,-59,96,9.3,25,250,,,70,11,36.4,46
6240,-55,-59,95,9.6,25,250,,,70,11,35.8,47
6280,-56,-60,95,9.5,25,250,,,70,11,35.7,47
6320,-56,-60,96,9.2,25,250,,,70,11,36.7,47
6360,-55,-59,96,9.7,25,250,,,70,12,34.9,48
6400,-56,-59,95,9.7,25,250,,,70,11,36.1,48
6440,-56,-60,95,10,25,250,,,70,11,35,48
6480,-55,-59,96,9.8,25,250,,,70,11,34.7,49
6520,-56,-60,95,9.6,25,250,,,69.9,11,33.7,49
6560,-56,-59,94,9.7,25,250,,,69.9,11,34.4,49
6600,-56,-59,95,10,25,250,,,69.9,12,34.7,50
6640,-56,-59,95,9.5,25,250,,,69.9,11,34.3,50
6680,-56,-59,94,9.8,25,250,,,69.9,11,32.9,50
6720,-57,-60,94,9.7,25,250,,,69.8,12,33.1,50
6760,-57,-60,94,9.8,25,250,,,69.8,11,33.2,51
6800,-57,-59,94,9.9,25,250,,,69.7,11,33.4,51
6840,-56,-60,94,9.9,25,250,,,69.7,11,32.2,51
6880,-57,-59,94,10.1,25,250,,,69.7,12,31.7,52
6920,-57,-60,93,9.9,25,250,,,69.6,11,32.6,52
6960,-56,-60,95,10.1,25,250,,,69.6,11,32.1,52
7000,-57,-60,94,10.3,25,250,,,69.5,12,32.2,52
7040,-57,-60,95,10.2,25,250,,,69.5,11,31.3,53
7080,-57,-60,94,10.3,25,250,,,69.4,11,30.7,53
7120,-58,-61,94,10,25,250,,,69.3,11,31.2,53
7160,-58,-61,94,10.4,25,250,,,69.3,11,30.5,54
7200,-58,-61,94,10.5,25,250,,,69.2,11,29.5,54
7240,-59,-61,93,10.3,25,250,,,69.1,11,29.8,54
7280,-58,-60,94,10.6,25,250,,,69.1,11,30.8,55
7320,-58,-60,94,10.6,25,250,,,69,11,30.3,55
7360,-59,-61,94,10.5,25,250,,,68.9,10,30.4,55
7400,-59,-61,95,10.2,25,250,,,68.8,10,30,56
7440,-58,-62,94,10.5,25,250,,,68.8,11,28.5,56
7480,-60,-61,95,10.1,25,250,,,68.7,11,29.1,56
7520,-59,-62,94,10.4,25,250,,,68.6,11,28.8,56
7560,-59,-62,95,10.3,25,250,,,68.5,10,29.5,57
7600,-59,-61,95,10.7,25,250,,,68.4,11,29.1,57
7640,-60,-61,94,10.4,25,250,,,68.3,11,28,57
7680,-60,-61,95,10.3,25,250,,,68.2,11,28,58
7720,-59,-63,94,10.7,25,250,,,68.1,11,27.8,58
7760,-60,-61,94,10.8,25,250,,,68,11,28.7,58
7800,-61,-63,94,10.6,25,250,,,67.9,11,27.1,58
7840,-60,-63,94,10.7,25,250,,,67.8,11,27.2,59
7880,-59,-62,94,10.2,25,250,,,67.6,11,27.1,59
7920,-60,-62,96,10.8,25,250,,,67.5,11,27.3,59
7960,-61,-62,95,10.2,25,250,,,67.4,11,26.5,60
8000,-61,-63,95,10.2,25,250,,,67.3,11,26.9,60
8040,-61,-62,95,10.8,25,250,,,67.2,11,26.8,60
8080,-61,-63,96,10.3,25,250,,,67,11,27,61
8120,-60,-63,95,10.4,25,250,,,66.9,11,27.5,61
8160,-61,-63,95,10.3,25,250,,,66.8,12,28,61
8200,-61,-64,96,10.4,25,250,,,66.6,11,27,62
8240,-61,-63,96,10.3,25,250,,,66.5,11,28,62
8280,-60,-63,96,10.4,25,250,,,66.3,10,26.6,62
8320,-61,-63,96,10.1,25,250,,,66.2,11,26.3,62
8360,-62,-64,97,10.4,25,250,,,66,11,26.4,63
8400,-61,-65,96,10.4,25,250,,,65.9,11,27.9,63
8440,-61,-64,97,10.1,25,250,,,65.7,11,26.7,63
8480,-60,-64,97,10,25,250,,,65.6,10,27.5,64
8520,-61,-64,97,10.3,25,250,,,65.4,11,26.7,64
8560,-61,-64,97,10.2,25,250,,,65.3,11,27.9,64
8600,-61,-64,97,10.3,25,250,,,65.1,12,26.2,64
8640,-61,-64,98,10.3,25,250,,,64.9,11,27.1,65
8680,-60,-64,97,10.4,25,250,,,64.8,12,26.4,65
8720,-60,-64,98,9.9,25,250,,,64.6,11,26.6,65
8760,-62,-64,98,10.2,25,250,,,64.4,11,27.7,66
