ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-73,-75,94,6.7,250,150,,,40,11,53.1,0
40,-73,-76,93,6.8,250,150,,,40.3,10,54,2
80,-72,-75,94,6.7,250,150,,,40.6,11,53.8,3
120,-72,-75,93,6.8,250,150,,,40.9,12,54.4,4
160,-72,-75,93,6.6,250,150,,,41.2,11,55,6
200,-73,-74,94,6.8,250,150,,,41.5,11,54.2,8
240,-72,-75,94,6.8,250,150,,,41.8,11,54.9,9
280,-72,-76,95,6.8,250,150,,,42.1,10,55.1,10
320,-72,-75,94,6.9,250,150,,,42.4,11,55.8,12
360,-72,-75,95,6.8,250,150,,,42.7,12,56.1,14
400,-71,-74,94,7.2,250,150,,,43,11,56.6,15
440,-71,-76,94,6.8,250,150,,,43.3,11,57.8,16
480,-71,-74,95,6.9,250,150,,,43.6,10,56.2,18
520,-71,-76,95,6.8,250,150,,,43.9,12,57.9,20
560,-71,-75,94,7.1,250,150,,,44.2,11,56.7,21
600,-72,-75,95,7.3,250,150,,,44.5,11,58.9,22
640,-72,-75,95,7.3,250,150,,,44.8,11,58.5,24
680,-71,-75,95,7,250,150,,,45.1,11,57.9,26
720,-70,-75,95,7.3,250,150,,,45.4,11,57.9,27
760,-70,-75,95,7.4,250,150,,,45.7,11,58.6,28
800,-72,-75,95,7.2,250,150,,,46,11,58.8,30
840,-71,-76,96,7.4,250,150,,,46.3,11,59.2,32
880,-71,-76,94,7,250,150,,,46.5,11,59,33
920,-70,-75,95,7.4,250,150,,,46.8,11,60.6,34
960,-70,-75,95,7.3,250,150,,,47.1,11,60.4,36
1000,-71,-76,95,7.1,250,150,,,47.4,11,59.5,38
1040,-72,-75,95,7.3,250,150,,,47.7,11,60,39
1080,-72,-76,96,7.6,250,150,,,48,11,60,40
1120,-71,-76,95,7.1,250,150,,,48.3,11,61.6,42
1160,-71,-76,95,7.5,250,150,,,48.6,12,61.1,44
1200,-72,-76,95,7.1,250,150,,,48.9,11,61.3,45
1240,-71,-75,95,7.5,250,150,,,49.2,11,61.9,46
1280,-71,-76,95,7.5,250,150,,,49.4,12,60.7,48
1320,-72,-77,94,7.7,250,150,,,49.7,11,60.6,50
1360,-71,-76,94,7.7,250,150,,,50,10,61.6,51
1400,-71,-77,94,7.3,250,150,,,50.3,11,61,52
1440,-72,-77,94,7.4,250,150,,,50.6,11,62.9,54
1480,-71,-77,95,7.7,250,150,,,50.8,11,62.5,56
1520,-72,-77,94,7.4,250,150,,,51.1,11,62.8,57
1560,-72,-77,94,7.3,250,150,,,51.4,10,61.9,58
1600,-72,-77,95,7.2,250,150,,,51.7,11,63.1,60
1640,-73,-78,93,7.2,250,150,,,52,11,61.6,62
1680,-72,-77,94,7.7,250,150,,,52.2,11,61.8,63
1720,-72,-77,93,7.5,250,150,,,52.5,11,62.1,64
1760,-72,-77,94,7.5,250,150,,,52.8,11,62.6,66
1800,-72,-78,93,7.2,250,150,,,53,11,62.7,68
1840,-73,-78,93,7.3,250,150,,,53.3,11,62.3,69
1880,-72,-77,93,7.5,250,150,,,53.6,11,63.7,70
1920,-73,-77,93,7.6,250,150,,,53.9,11,62.5,72
1960,-73,-78,92,7.4,250,150,,,54.1,11,62.9,74
2000,-73,-78,93,7.3,250,150,,,54.4,11,62.6,75
2040,-74,-78,92,7.3,250,150,,,54.6,11,63.9,76
2080,-74,-78,92,7.3,250,150,,,54.9,11,62.7,78
2120,-74,-79,92,7.6,250,150,,,55.2,11,63.7,80
2160,-74,-78,93,7.1,250,150,,,55.4,11,62.8,81
2200,-74,-78,92,7.4,250,150,,,55.7,11,62.4,82
2240,-75,-79,92,7.5,250,150,,,55.9,11,62.5,84
2280,-74,-79,92,7.6,250,150,,,56.2,11,63.8,86
2320,-74,-80,92,7.5,250,150,,,56.4,11,63.4,87
2360,-75,-79,92,7.4,250,150,,,56.7,11,63.3,88
2400,-74,-80,92,7.5,250,150,,,56.9,11,63.2,90
2440,-75,-79,92,7,250,150,,,57.2,11,62.3,92
2480,-75,-80,92,7,250,150,,,57.4,11,63.2,93
2520,-76,-80,91,6.8,250,150,,,57.7,11,61.8,94
2560,-75,-79,91,6.9,250,150,,,57.9,10,62.2,96
2600,-75,-81,91,6.7,250,150,,,58.2,12,62.6,98
2640,-75,-81,92,7.2,250,150,,,58.4,11,62.7,99
2680,-75,-80,92,6.8,250,150,,,58.6,11,61.8,100
2720,-76,-81,92,6.9,250,150,,,58.9,12,62.7,102
2760,-77,-81,90,6.6,250,150,,,59.1,11,62.1,104
2800,-77,-81,92,6.7,250,150,,,59.3,11,61.3,105
2840,-77,-81,90,6.6,250,150,,,59.6,11,62,106
2880,-76,-81,91,6.7,250,150,,,59.8,11,62,108
2920,-77,-81,91,7,250,150,,,60,11,60.8,110
2960,-77,-81,91,6.9,250,150,,,60.2,11,60.7,111
3000,-77,-80,92,6.4,250,150,,,60.4,11,61.4,112
3040,-76,-80,91,6.8,250,150,,,60.7,12,60.3,114
3080,-76,-81,91,6.7,250,150,,,60.9,11,60.5,116
3120,-77,-81,90,6.7,250,150,,,61.1,11,61.3,117
3160,-76,-82,91,6.2,250,150,,,61.3,11,60.3,118
3200,-76,-81,91,6.8,250,150,,,61.5,10,60.4,120
3240,-77,-82,92,6.4,250,150,,,61.7,10,61.3,122
3280,-76,-81,91,6.4,250,150,,,61.9,11,59.3,123
3320,-77,-80,91,6.2,250,150,,,62.1,11,59.5,124
3360,-78,-81,91,6,250,150,,,62.3,11,60.1,126
3400,-77,-80,92,5.9,250,150,,,62.5,11,60.1,128
3440,-78,-81,91,6.4,250,150,,,62.7,11,58.5,129
3480,-77,-80,91,6.1,250,150,,,62.9,11,59,130
3520,-76,-81,92,6,250,150,,,63.1,11,59.8,132
3560,-77,-80,92,6,250,150,,,63.3,11,58.7,134
3600,-76,-81,91,6.1,250,150,,,63.5,11,58.8,135
3640,-77,-81,92,6.1,250,150,,,63.7,11,58.4,136
3680,-76,-80,92,6,250,150,,,63.9,10,57.6,138
3720,-76,-80,92,6,250,150,,,64,11,57.6,140
3760,-76,-80,91,6.3,250,150,,,64.2,11,57.6,141
3800,-77,-80,92,6.1,250,150,,,64.4,11,57.7,142
3840,-76,-81,93,5.5,250,150,,,64.6,11,56.9,144
3880,-77,-80,92,5.7,250,150,,,64.7,11,57.6,146
