ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-62,-63,96,8.2,100,50,,,,,,
40,-61,-63,96,8.1,100,50,,,,,,
80,-60,-64,96,8.2,100,50,,,,,,
120,-60,-62,96,8,100,50,,,,,,
160,-60,-63,96,8.2,100,50,,,,,,
200,-61,-63,96,8.2,100,50,,,,,,
240,-60,-64,96,8.5,100,50,,,,,,
280,-61,-64,96,8.1,100,50,,,,,,
320,-59,-63,96,8.5,100,50,,,,,,
360,-60,-64,96,8.5,100,50,,,,,,
400,-60,-63,96,8.4,100,50,,,,,,
440,-60,-62,96,8.4,100,50,,,,,,
480,-59,-64,97,8.5,100,50,,,,,,
520,-59,-63,96,8.3,100,50,,,,,,
560,-60,-63,96,8.7,100,50,,,,,,
600,-59,-62,96,8.9,100,50,,,,,,
640,-59,-62,97,8.5,100,50,,,,,,
680,-59,-63,96,8.8,100,50,,,,,,
720,-59,-63,97,8.4,100,50,,,,,,
760,-59,-63,97,8.6,100,50,,,,,,
800,-58,-63,96,9,100,50,,,,,,
840,-58,-64,97,8.5,100,50,,,,,,
880,-59,-64,96,8.7,100,50,,,,,,
920,-58,-64,97,8.9,100,50,,,,,,
960,-59,-63,97,9,100,50,,,,,,
1000,-59,-64,97,9.2,100,50,,,,,,
1040,-60,-63,97,8.9,100,50,,,,,,
1080,-58,-63,97,8.7,100,50,,,,,,
1120,-58,-64,97,9.2,100,50,,,,,,
1160,-59,-64,97,9.1,100,50,,,,,,
1200,-59,-64,96,9.2,100,50,,,,,,
1240,-60,-64,96,8.7,100,50,,,,,,
1280,-59,-64,97,9.1,100,50,,,,,,
1320,-60,-64,97,8.8,100,50,,,,,,
1360,-59,-64,97,8.7,100,50,,,,,,
1400,-59,-64,97,8.8,100,50,,,,,,
1440,-59,-64,97,9.1,100,50,,,,,,
1480,-60,-65,96,9.2,100,50,,,,,,
1520,-60,-65,97,8.8,100,50,,,,,,
1560,-59,-66,97,8.9,100,50,,,,,,
1600,-60,-65,96,9,100,50,,,,,,
1640,-61,-65,96,8.8,100,50,,,,,,
1680,-61,-66,96,8.7,100,50,,,,,,
1720,-61,-66,96,9.3,100,50,,,,,,
1760,-60,-66,95,9.3,100,50,,,,,,
1800,-60,-66,95,8.9,100,50,,,,,,
1840,-60,-66,96,9.1,100,50,,,,,,
1880,-61,-67,95,9,100,50,,,,,,
1920,-61,-66,95,8.9,100,50,,,,,,
1960,-60,-67,96,8.8,100,50,,,,,,
2000,-61,-67,95,9,100,50,,,,,,
2040,-61,-66,95,8.8,100,50,,,,,,
2080,-62,-66,94,8.8,100,50,,,,,,
