ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-67,-69,94,7.6,100,250,,,40,11,53.2,0
40,-67,-69,94,7.4,100,250,,,40.3,11,53,1
80,-66,-69,94,7.9,100,250,,,40.6,11,54.4,2
120,-67,-70,95,7.3,100,250,,,40.9,10,54.8,3
160,-67,-69,95,7.4,100,250,,,41.2,11,54.2,4
200,-66,-69,95,7.8,100,250,,,41.5,11,54.4,4
240,-66,-69,95,8,100,250,,,41.8,11,55.1,5
280,-66,-70,95,7.6,100,250,,,42.1,11,56.6,6
320,-66,-68,95,8.1,100,250,,,42.4,11,56.2,7
360,-66,-69,95,7.9,100,250,,,42.7,11,55.5,8
400,-66,-69,95,8.2,100,250,,,43,11,55.8,9
440,-65,-68,96,8.2,100,250,,,43.3,11,56.3,10
480,-65,-70,96,8.2,100,250,,,43.6,11,57,11
520,-65,-69,96,7.7,100,250,,,43.9,11,58.3,12
560,-65,-70,96,7.8,100,250,,,44.2,11,57.2,13
600,-65,-68,96,7.9,100,250,,,44.5,11,58,14
640,-65,-69,96,8.1,100,250,,,44.8,10,59.1,14
680,-65,-69,96,8.3,100,250,,,45.1,11,58.1,15
720,-66,-69,96,8,100,250,,,45.4,11,59.6,16
760,-65,-69,96,8.4,100,250,,,45.7,10,58.3,17
800,-66,-69,96,7.9,100,250,,,46,11,58.4,18
840,-66,-69,96,8.1,100,250,,,46.3,11,59.6,19
880,-66,-69,97,8.1,100,250,,,46.5,11,60,20
920,-65,-69,96,8.4,100,250,,,46.8,11,59.6,21
960,-65,-70,96,8.6,100,250,,,47.1,11,59.3,22
1000,-66,-70,96,8.5,100,250,,,47.4,11,60.8,22
1040,-66,-70,95,8.3,100,250,,,47.7,11,60,23
1080,-64,-70,95,8.6,100,250,,,48,11,59.7,24
1120,-65,-70,96,8.4,100,250,,,48.3,11,61.2,25
1160,-65,-70,96,8.3,100,250,,,48.6,11,60,26
1200,-65,-69,96,8.7,100,250,,,48.9,11,61.8,27
1240,-65,-70,96,8.2,100,250,,,49.2,11,62,28
1280,-65,-70,96,8.7,100,250,,,49.4,11,61.4,29
1320,-65,-70,95,8.5,100,250,,,49.7,11,62.1,30
1360,-65,-70,95,8.3,100,250,,,50,11,62.3,31
1400,-65,-70,95,8.3,100,250,,,50.3,11,61.3,32
1440,-66,-70,95,8.5,100,250,,,50.6,11,62.2,32
1480,-66,-71,95,8.3,100,250,,,50.8,11,63,33
1520,-66,-71,96,8.5,100,250,,,51.1,11,62.1,34
1560,-65,-70,95,8.6,100,250,,,51.4,11,63,35
1600,-65,-70,94,8.3,100,250,,,51.7,11,62,36
1640,-66,-71,94,8.2,100,250,,,52,11,62.4,37
1680,-66,-72,95,8.8,100,250,,,52.2,11,63.2,38
1720,-67,-71,95,8.7,100,250,,,52.5,11,62.3,39
1760,-66,-72,95,8.8,100,250,,,52.8,11,61.8,40
1800,-67,-72,95,8.2,100,250,,,53,10,62.6,40
1840,-66,-72,94,8.2,100,250,,,53.3,11,61.8,41
1880,-67,-71,94,8.3,100,250,,,53.6,11,63.7,42
1920,-66,-73,94,8.7,100,250,,,53.9,11,63.7,43
1960,-67,-72,94,8.3,100,250,,,54.1,11,63,44
2000,-67,-72,94,8.4,100,250,,,54.4,10,63,45
2040,-67,-72,93,8.1,100,250,,,54.6,11,62.7,46
2080,-67,-72,94,8,100,250,,,54.9,11,62.9,47
2120,-67,-73,94,8.4,100,250,,,55.2,11,63.5,48
2160,-68,-73,93,8.1,100,250,,,55.4,11,63.7,49
2200,-67,-73,94,8.6,100,250,,,55.7,11,63.1,50
2240,-68,-73,94,8,100,250,,,55.9,11,63.6,50
2280,-69,-74,93,8.2,100,250,,,56.2,11,63.3,51
2320,-68,-74,93,8.1,100,250,,,56.4,11,62.1,52
2360,-68,-73,93,8.5,100,250,,,56.7,11,62.8,53
2400,-70,-73,93,8.4,100,250,,,56.9,11,62.8,54
2440,-69,-73,93,7.9,100,250,,,57.2,11,63.3,55
2480,-69,-73,93,7.8,100,250,,,57.4,11,62.5,56
2520,-70,-73,92,8.1,100,250,,,57.7,11,62,57
2560,-69,-74,92,7.7,100,250,,,57.9,11,63.3,58
2600,-70,-74,93,7.8,100,250,,,58.2,11,62.5,58
2640,-69,-74,92,8.3,100,250,,,58.4,11,62.7,59
2680,-70,-75,93,7.7,100,250,,,58.6,11,62.4,60
2720,-71,-74,92,7.9,100,250,,,58.9,11,61.4,61
2760,-70,-75,92,7.6,100,250,,,59.1,11,62.5,62
2800,-70,-74,92,7.6,100,250,,,59.3,11,61.4,63
2840,-69,-74,92,7.8,100,250,,,59.6,11,61.4,64
2880,-70,-75,92,8,100,250,,,59.8,11,61.1,65
2920,-71,-74,92,7.8,100,250,,,60,11,62.3,66
2960,-70,-74,92,7.7,100,250,,,60.2,11,61.7,67
3000,-71,-75,92,7.9,100,250,,,60.4,11,60.4,68
3040,-71,-75,91,7.8,100,250,,,60.7,11,61.6,68
3080,-70,-75,92,7.2,100,250,,,60.9,11,61,69
3120,-71,-75,92,7.6,100,250,,,61.1,11,60,70
3160,-71,-75,92,7.4,100,250,,,61.3,11,60.7,71
3200,-70,-76,91,7.4,100,250,,,61.5,11,60.6,72
3240,-70,-75,92,7.6,100,250,,,61.7,12,60.5,73
3280,-72,-76,92,7.5,100,250,,,61.9,11,60.5,74
3320,-72,-76,92,7.5,100,250,,,62.1,11,59.3,75
3360,-70,-74,92,7,100,250,,,62.3,11,59.6,76
3400,-72,-76,93,7.1,100,250,,,62.5,11,58.7,76
3440,-71,-75,93,7.4,100,250,,,62.7,11,58.5,77
3480,-71,-74,92,7,100,250,,,62.9,11,60,78
3520,-70,-74,93,7.1,100,250,,,63.1,11,58.7,79
3560,-71,-75,92,7.3,100,250,,,63.3,11,58,80
3600,-70,-74,93,6.7,100,250,,,63.5,11,57.5,81
3640,-72,-75,93,7.3,100,250,,,63.7,11,57.3,82
3680,-70,-75,93,6.9,100,250,,,63.9,11,57,83
3720,-71,-75,93,6.8,100,250,,,64,12,56.8,84
3760,-71,-75,93,6.8,100,250,,,64.2,10,58.3,85
3800,-71,-74,93,7.2,100,250,,,64.4,11,56.5,86
3840,-71,-75,93,6.7,100,250,,,64.6,11,57.6,86
3880,-71,-74,93,6.8,100,250,,,64.7,11,56.5,87
3920,-71,-75,93,6.9,100,250,,,64.9,11,56.1,88
3960,-71,-74,94,6.6,100,250,,,65.1,11,56.9,89
4000,-71,-74,94,6.7,100,250,,,65.2,11,55,90
4040,-70,-74,94,7,100,250,,,65.4,11,54.9,91
4080,-70,-73,94,6.6,100,250,,,65.6,11,54.2,92
4120,-70,-74,95,6.7,100,250,,,65.7,11,54.2,93
4160,-70,-74,94,6.9,100,250,,,65.9,12,53.7,94
4200,-70,-74,95,6.3,100,250,,,66,11,55,94
4240,-70,-73,94,6.8,100,250,,,66.2,11,53.2,95
4280,-70,-73,95,6.3,100,250,,,66.3,10,52.7,96
4320,-69,-74,95,6.6,100,250,,,66.5,11,53.1,97
4360,-70,-73,94,6.6,100,250,,,66.6,11,53.2,98
4400,-69,-74,95,6.7,100,250,,,66.7,12,52.3,99
4440,-70,-74,95,6.7,100,250,,,66.9,11,52.9,100
4480,-69,-72,95,6.2,100,250,,,67,11,51.4,101
4520,-69,-73,95,6.3,100,250,,,67.1,11,52,102
4560,-69,-73,96,6.6,100,250,,,67.3,11,51.4,103
4600,-69,-73,95,6.2,100,250,,,67.4,10,51.8,104
4640,-68,-73,96,6.5,100,250,,,67.5,11,50.5,104
4680,-68,-73,96,6.6,100,250,,,67.6,11,50,105
4720,-67,-73,96,6.3,100,250,,,67.7,11,50.4,106
4760,-68,-72,95,6.4,100,250,,,67.9,11,49.8,107
4800,-68,-72,96,6.8,100,250,,,68,11,49.2,108
4840,-67,-71,96,6.5,100,250,,,68.1,11,49.6,109
4880,-67,-72,96,6.6,100,250,,,68.2,11,49,110
4920,-68,-71,96,6.7,100,250,,,68.3,11,48.3,111
4960,-66,-71,95,6.6,100,250,,,68.4,11,47.3,112
5000,-67,-71,96,6.9,100,250,,,68.5,11,46.8,112
5040,-67,-72,96,6.3,100,250,,,68.6,10,46.7,113
5080,-66,-71,96,6.3,100,250,,,68.7,11,46.2,114
5120,-67,-71,96,6.7,100,250,,,68.7,11,46.5,115
5160,-66,-72,96,6.5,100,250,,,68.8,11,46.2,116
5200,-66,-71,96,6.9,100,250,,,68.9,10,46.6,117
5240,-66,-71,96,6.8,100,250,,,69,11,45.2,118
5280,-66,-70,97,6.6,100,250,,,69.1,11,44.1,119
5320,-67,-71,97,6.7,100,250,,,69.1,11,44.2,120
5360,-66,-71,95,6.6,100,250,,,69.2,11,45.2,121
5400,-66,-70,95,6.6,100,250,,,69.3,12,43.6,122
5440,-66,-70,96,6.5,100,250,,,69.3,12,43.4,122
5480,-65,-69,95,6.7,100,250,,,69.4,11,44,123
5520,-65,-70,96,6.7,100,250,,,69.5,11,43.1,124
5560,-65,-70,95,7.2,100,250,,,69.5,11,42.9,125
5600,-65,-70,96,6.7,100,250,,,69.6,11,42.5,126
5640,-65,-70,95,6.7,100,250,,,69.6,10,42,127
5680,-65,-69,96,7.2,100,250,,,69.7,11,40.7,128
5720,-66,-69,95,6.6,100,250,,,69.7,11,41.6,129
5760,-65,-70,95,7,100,250,,,69.7,11,40.8,130
5800,-64,-70,95,7.4,100,250,,,69.8,12,40.1,130
5840,-65,-70,95,6.8,100,250,,,69.8,11,40.2,131
5880,-65,-69,95,7.5,100,250,,,69.8,11,39.2,132
5920,-66,-69,95,7.4,100,250,,,69.9,11,39.2,133
5960,-65,-69,94,7.2,100,250,,,69.9,11,39.7,134
6000,-66,-69,95,7.3,100,250,,,69.9,11,38.8,135
6040,-65,-69,95,7.2,100,250,,,69.9,11,39,136
6080,-65,-69,95,7,100,250,,,70,11,37.5,137
6120,-65,-70,94,7.1,100,250,,,70,11,38,138
6160,-65,-68,94,7.5,100,250,,,70,10,38.3,139
6200,-65,-68,94,7.4,100,250,,,70,12,37.9,140
6240,-65,-69,93,7.5,100,250,,,70,11,36.5,140
6280,-65,-69,94,7.5,100,250,,,70,11,36.8,141
6320,-66,-70,94,7.8,100,250,,,70,11,35.9,142
6360,-65,-69,93,7.7,100,250,,,70,11,34.9,143
6400,-66,-70,94,7.4,100,250,,,70,11,35.3,144
6440,-65,-69,93,7.3,100,250,,,70,10,34.4,145
6480,-66,-70,93,7.7,100,250,,,70,11,35.1,146
6520,-66,-70,92,7.6,100,250,,,69.9,11,34.5,147
6560,-66,-69,92,8,100,250,,,69.9,11,34.3,148
6600,-66,-70,93,7.8,100,250,,,69.9,11,34.5,148
6640,-67,-70,93,8,100,250,,,69.9,11,33.8,149
6680,-67,-70,93,7.9,100,250,,,69.9,11,34.1,150
6720,-66,-70,93,8.2,100,250,,,69.8,12,32.2,151
6760,-66,-70,93,7.9,100,250,,,69.8,11,33.2,152
6800,-67,-69,92,8.2,100,250,,,69.7,11,33.4,153
6840,-66,-70,92,8.1,100,250,,,69.7,11,33.2,154
6880,-67,-70,92,7.7,100,250,,,69.7,10,32.5,155
6920,-67,-70,93,8.3,100,250,,,69.6,12,32.9,156
6960,-66,-70,91,7.8,100,250,,,69.6,11,31.7,157
7000,-67,-71,92,8.1,100,250,,,69.5,11,30.5,158
7040,-68,-71,92,8.3,100,250,,,69.5,11,32,158
7080,-68,-70,92,8.1,100,250,,,69.4,11,31.5,159
7120,-68,-71,92,8,100,250,,,69.3,11,29.9,160
7160,-68,-70,91,8.5,100,250,,,69.3,11,30.5,161
7200,-68,-70,93,8.3,100,250,,,69.2,11,31.1,162
7240,-68,-71,92,8.6,100,250,,,69.1,10,30.1,163
7280,-67,-71,92,8,100,250,,,69.1,11,30.7,164
7320,-69,-70,92,8.6,100,250,,,69,11,29.8,165
7360,-69,-70,92,8.5,100,250,,,68.9,11,29.1,166
7400,-69,-71,92,8.4,100,250,,,68.8,11,28.6,166
7440,-68,-71,92,8.2,100,250,,,68.8,11,29.1,167
7480,-69,-72,92,8.1,100,250,,,68.7,10,29.6,168
7520,-68,-72,92,8.2,100,250,,,68.6,11,28.6,169
7560,-70,-72,92,8.5,100,250,,,68.5,10,29.5,170
7600,-70,-71,93,8.3,100,250,,,68.4,11,27.9,171
7640,-70,-72,92,8.5,100,250,,,68.3,11,27.5,172
7680,-70,-72,92,8.2,100,250,,,68.2,11,28.2,173
7720,-71,-72,93,8.3,100,250,,,68.1,11,27.4,174
7760,-71,-72,93,8.8,100,250,,,68,10,27.6,175
7800,-70,-73,92,8.2,100,250,,,67.9,11,27,176
7840,-70,-73,93,8.7,100,250,,,67.8,12,28.3,176
7880,-71,-73,94,8.7,100,250,,,67.6,10,27.4,177
7920,-71,-73,94,8.4,100,250,,,67.5,11,28.3,178
7960,-70,-72,93,8.4,100,250,,,67.4,11,27.4,179
8000,-71,-72,94,8.5,100,250,,,67.3,11,27.1,180
8040,-70,-73,93,8.2,100,250,,,67.2,11,27,181
8080,-71,-72,93,8.7,100,250,,,67,11,26.4,182
8120,-71,-73,93,8.4,100,250,,,66.9,11,26.3,183
8160,-70,-73,94,8.2,100,250,,,66.8,11,26.2,184
8200,-71,-73,94,8.6,100,250,,,66.6,11,27.6,184
8240,-71,-74,95,8.7,100,250,,,66.5,11,28,185
8280,-71,-73,94,8.5,100,250,,,66.3,11,27.5,186
8320,-71,-73,94,8.2,100,250,,,66.2,11,26.2,187
8360,-71,-75,94,8.6,100,250,,,66,12,27.4,188
8400,-71,-75,95,8.6,100,250,,,65.9,11,27.2,189
8440,-72,-74,94,8.3,100,250,,,65.7,11,26.6,190
8480,-71,-74,95,8.2,100,250,,,65.6,11,27.6,191
8520,-71,-74,94,8.4,100,250,,,65.4,11,27.2,192
8560,-72,-74,94,8.3,100,250,,,65.3,11,27.3,193
8600,-71,-74,94,8.3,100,250,,,65.1,11,26.6,194
8640,-71,-74,95,8.1,100,250,,,64.9,11,27.8,194
8680,-71,-74,95,7.9,100,250,,,64.8,11,26.7,195
8720,-71,-75,95,8.3,100,250,,,64.6,12,26.4,196
8760,-70,-74,96,8.2,100,250,,,64.4,11,27,197
8800,-71,-75,95,7.9,100,250,,,64.3,11,27.4,198
8840,-70,-75,96,7.7,100,250,,,64.1,11,27.4,199
8880,-71,-75,95,8,100,250,,,63.9,11,27.8,200
8920,-70,-75,96,7.8,100,250,,,63.7,11,28.5,201
8960,-70,-75,96,7.7,100,250,,,63.5,11,27.3,202
9000,-71,-75,95,7.9,100,250,,,63.3,11,28.5,202
9040,-70,-74,96,7.7,100,250,,,63.2,12,27.6,203
9080,-70,-75,95,8,100,250,,,63,11,28.3,204
9120,-70,-75,96,7.9,100,250,,,62.8,11,28,205
9160,-69,-75,96,8.1,100,250,,,62.6,11,27.5,206
9200,-70,-74,96,7.4,100,250,,,62.4,11,28.3,207
9240,-70,-76,96,7.9,100,250,,,62.2,11,27.9,208
9280,-69,-75,96,7.7,100,250,,,62,11,28.1,209
9320,-70,-75,96,7.5,100,250,,,61.8,11,29.4,210
9360,-69,-75,97,7.7,100,250,,,61.6,11,29.9,211
9400,-69,-75,97,7.5,100,250,,,61.3,11,29.9,212
9440,-69,-74,95,7.5,100,250,,,61.1,11,29.7,212
9480,-69,-75,96,7.7,100,250,,,60.9,11,28.9,213
9520,-69,-76,95,7.1,100,250,,,60.7,11,29.1,214
9560,-68,-74,95,7.6,100,250,,,60.5,11,29.2,215
9600,-69,-74,95,7,100,250,,,60.3,11,29.7,216
9640,-68,-75,96,7.3,100,250,,,60,11,29.3,217
9680,-68,-74,95,7.4,100,250,,,59.8,11,29.9,218
9720,-67,-75,96,7.1,100,250,,,59.6,10,31.5,219
9760,-67,-74,96,7.1,100,250,,,59.4,11,31.1,220
9800,-68,-74,96,6.9,100,250,,,59.1,11,31.9,220
9840,-68,-74,95,7,100,250,,,58.9,11,32.2,221
9880,-68,-75,95,7.1,100,250,,,58.7,11,32.2,222
9920,-68,-74,95,7.2,100,250,,,58.4,11,31.8,223
9960,-68,-74,95,7.1,100,250,,,58.2,11,32.2,224
10000,-67,-75,94,6.8,100,250,,,58,12,32,225
10040,-67,-74,94,6.6,100,250,,,57.7,11,31.8,226
10080,-67,-74,95,7,100,250,,,57.5,11,33.2,227
10120,-67,-74,95,7,100,250,,,57.2,11,33.4,228
10160,-67,-73,95,6.6,100,250,,,57,10,33.6,229
10200,-66,-73,95,6.8,100,250,,,56.7,12,32.7,230
10240,-67,-73,94,6.9,100,250,,,56.5,11,34.7,230
10280,-66,-73,94,6.7,100,250,,,56.2,11,33.8,231
10320,-66,-73,94,6.8,100,250,,,56,10,34.9,232
10360,-65,-73,94,6.6,100,250,,,55.7,11,34.3,233
10400,-66,-72,93,6.8,100,250,,,55.5,11,35.7,234
10440,-66,-72,94,6.9,100,250,,,55.2,11,35.6,235
10480,-65,-72,93,6.8,100,250,,,54.9,11,35.6,236
10520,-65,-72,94,6.4,100,250,,,54.7,12,36.8,237
10560,-66,-72,94,6.6,100,250,,,54.4,10,35.6,238
10600,-65,-73,93,6.4,100,250,,,54.2,11,36.1,238
10640,-65,-72,92,6.3,100,250,,,53.9,11,37.6,239
10680,-65,-71,92,6.4,100,250,,,53.6,12,38,240
10720,-65,-72,93,6.5,100,250,,,53.4,12,37.3,241
10760,-66,-72,93,6.5,100,250,,,53.1,12,37.8,242
10800,-66,-72,93,6.4,100,250,,,52.8,11,39,243
