ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-55,-58,97,9.7,50,500,,,,,,
40,-55,-57,98,10,50,500,,,,,,
80,-55,-57,97,9.9,50,500,,,,,,
120,-54,-58,98,10.4,50,500,,,,,,
160,-54,-56,98,9.9,50,500,,,,,,
200,-55,-57,97,9.9,50,500,,,,,,
240,-54,-57,98,9.9,50,500,,,,,,
280,-54,-56,98,10.2,50,500,,,,,,
320,-54,-56,98,10.1,50,500,,,,,,
360,-54,-56,98,10.6,50,500,,,,,,
400,-54,-56,99,10.1,50,500,,,,,,
440,-54,-57,99,10.4,50,500,,,,,,
480,-54,-57,98,10.6,50,500,,,,,,
520,-54,-57,98,10.7,50,500,,,,,,
560,-54,-57,98,10.3,50,500,,,,,,
600,-53,-57,98,10.6,50,500,,,,,,
640,-52,-57,99,10.6,50,500,,,,,,
680,-54,-57,99,10.6,50,500,,,,,,
720,-54,-56,98,10.9,50,500,,,,,,
760,-53,-58,99,10.7,50,500,,,,,,
800,-53,-57,98,11,50,500,,,,,,
840,-53,-57,100,10.7,50,500,,,,,,
880,-53,-58,99,11.1,50,500,,,,,,
920,-53,-57,99,11.1,50,500,,,,,,
960,-53,-57,99,10.8,50,500,,,,,,
1000,-53,-57,99,10.5,50,500,,,,,,
1040,-54,-58,99,10.6,50,500,,,,,,
1080,-52,-57,99,10.9,50,500,,,,,,
1120,-53,-58,98,10.7,50,500,,,,,,
1160,-53,-58,98,10.6,50,500,,,,,,
1200,-53,-57,99,10.9,50,500,,,,,,
1240,-53,-58,99,10.8,50,500,,,,,,
1280,-53,-58,99,11.2,50,500,,,,,,
1320,-54,-59,99,10.9,50,500,,,,,,
1360,-53,-58,98,11.2,50,500,,,,,,
1400,-53,-59,98,10.9,50,500,,,,,,
1440,-53,-59,99,10.8,50,500,,,,,,
1480,-54,-59,98,11,50,500,,,,,,
1520,-55,-58,98,11.1,50,500,,,,,,
1560,-54,-59,97,11.1,50,500,,,,,,
1600,-54,-58,98,11.3,50,500,,,,,,
1640,-53,-59,97,10.7,50,500,,,,,,
1680,-54,-59,98,10.7,50,500,,,,,,
1720,-54,-59,98,10.8,50,500,,,,,,
1760,-55,-59,98,10.7,50,500,,,,,,
1800,-54,-59,97,11,50,500,,,,,,
1840,-54,-59,97,10.8,50,500,,,,,,
1880,-55,-60,98,11,50,500,,,,,,
1920,-55,-59,98,11.1,50,500,,,,,,
1960,-55,-60,98,10.8,50,500,,,,,,
2000,-56,-60,97,10.7,50,500,,,,,,
2040,-56,-61,97,11.2,50,500,,,,,,
2080,-56,-60,96,10.6,50,500,,,,,,
2120,-56,-61,96,11,50,500,,,,,,
2160,-56,-61,96,10.7,50,500,,,,,,
2200,-56,-61,96,11.1,50,500,,,,,,
2240,-57,-60,97,10.8,50,500,,,,,,
2280,-56,-61,96,10.8,50,500,,,,,,
2320,-57,-61,97,10.7,50,500,,,,,,
2360,-57,-61,95,10.6,50,500,,,,,,
2400,-57,-62,95,11,50,500,,,,,,
2440,-57,-62,96,10.6,50,500,,,,,,
2480,-56,-62,95,10.4,50,500,,,,,,
2520,-57,-62,95,10.6,50,500,,,,,,
