ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-53,-55,97,9.8,50,500,,,,,,
40,-52,-56,97,9.8,50,500,,,,,,
80,-52,-55,98,10,50,500,,,,,,
120,-52,-56,97,10,50,500,,,,,,
160,-52,-55,97,10,50,500,,,,,,
200,-53,-56,98,10.3,50,500,,,,,,
240,-53,-55,99,10.2,50,500,,,,,,
280,-52,-55,98,10.2,50,500,,,,,,
320,-51,-54,99,10.4,50,500,,,,,,
360,-52,-56,98,10.4,50,500,,,,,,
400,-52,-55,98,10.4,50,500,,,,,,
440,-51,-55,99,10.4,50,500,,,,,,
480,-51,-55,99,10.5,50,500,,,,,,
520,-52,-55,99,10.2,50,500,,,,,,
560,-51,-55,98,10.8,50,500,,,,,,
600,-52,-55,99,10.5,50,500,,,,,,
640,-51,-55,98,10.5,50,500,,,,,,
680,-52,-55,99,10.5,50,500,,,,,,
720,-52,-54,99,10.6,50,500,,,,,,
760,-51,-55,99,10.6,50,500,,,,,,
800,-51,-56,99,10.9,50,500,,,,,,
840,-51,-56,99,10.8,50,500,,,,,,
880,-52,-56,99,10.6,50,500,,,,,,
920,-51,-55,99,10.8,50,500,,,,,,
960,-52,-56,99,10.7,50,500,,,,,,
1000,-51,-56,99,10.6,50,500,,,,,,
1040,-51,-55,99,10.7,50,500,,,,,,
1080,-50,-55,98,10.9,50,500,,,,,,
1120,-51,-55,98,10.6,50,500,,,,,,
1160,-52,-56,99,10.7,50,500,,,,,,
1200,-52,-56,99,11.1,50,500,,,,,,
1240,-52,-56,99,10.9,50,500,,,,,,
1280,-51,-57,98,11.3,50,500,,,,,,
1320,-51,-57,98,10.7,50,500,,,,,,
1360,-51,-56,98,11,50,500,,,,,,
1400,-51,-57,99,11.3,50,500,,,,,,
1440,-52,-56,99,11,50,500,,,,,,
1480,-51,-56,98,10.7,50,500,,,,,,
1520,-51,-57,98,11.1,50,500,,,,,,
1560,-52,-57,98,11,50,500,,,,,,
1600,-52,-57,99,10.7,50,500,,,,,,
1640,-53,-57,99,11.1,50,500,,,,,,
1680,-53,-57,97,11.2,50,500,,,,,,
1720,-53,-58,98,11.3,50,500,,,,,,
1760,-52,-58,98,11.3,50,500,,,,,,
1800,-53,-58,97,11.2,50,500,,,,,,
1840,-53,-57,98,11,50,500,,,,,,
1880,-54,-59,97,10.7,50,500,,,,,,
1920,-53,-59,97,10.9,50,500,,,,,,
1960,-54,-58,97,10.8,50,500,,,,,,
2000,-53,-59,97,10.8,50,500,,,,,,
2040,-54,-59,96,10.8,50,500,,,,,,
2080,-53,-59,96,10.7,50,500,,,,,,
2120,-54,-59,97,10.7,50,500,,,,,,
2160,-54,-59,97,11,50,500,,,,,,
2200,-54,-59,97,10.6,50,500,,,,,,
2240,-54,-59,97,11,50,500,,,,,,
2280,-55,-59,96,10.8,50,500,,,,,,
2320,-54,-59,96,10.9,50,500,,,,,,
2360,-54,-59,96,10.5,50,500,,,,,,
2400,-55,-60,96,10.9,50,500,,,,,,
2440,-55,-60,96,10.9,50,500,,,,,,
2480,-56,-60,96,10.5,50,500,,,,,,
2520,-55,-60,96,10.9,50,500,,,,,,
2560,-56,-60,95,10.5,50,500,,,,,,
2600,-56,-60,95,10.4,50,500,,,,,,
2640,-55,-60,95,10.6,50,500,,,,,,
2680,-57,-61,95,10.7,50,500,,,,,,
2720,-56,-60,95,10.8,50,500,,,,,,
2760,-55,-60,95,10.7,50,500,,,,,,
2800,-56,-61,95,10.2,50,500,,,,,,
2840,-57,-60,95,10.6,50,500,,,,,,
2880,-56,-60,95,10.5,50,500,,,,,,
2920,-57,-61,96,10.5,50,500,,,,,,
