ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-70,-73,94,7.2,100,150,,,40,11,52.8,0
40,-71,-73,93,7.1,100,150,,,40.3,11,54.3,1
80,-70,-74,94,7.3,100,150,,,40.6,11,54.4,3
120,-71,-74,94,7,100,150,,,40.9,11,54.1,4
160,-70,-73,93,7.2,100,150,,,41.2,11,55.4,5
200,-70,-73,94,7.2,100,150,,,41.5,11,54.8,6
240,-70,-73,95,7.4,100,150,,,41.8,11,56.3,8
280,-69,-73,94,7.5,100,150,,,42.1,11,55.5,9
320,-70,-73,94,7,100,150,,,42.4,11,56.3,10
360,-70,-74,94,7.2,100,150,,,42.7,11,57.3,12
400,-69,-73,95,7.6,100,150,,,43,11,57,13
440,-69,-74,94,7.2,100,150,,,43.3,11,57.8,14
480,-70,-74,94,7.5,100,150,,,43.6,10,57.7,16
520,-69,-73,95,7.8,100,150,,,43.9,11,57.4,17
560,-70,-73,94,7.7,100,150,,,44.2,11,57,18
600,-69,-73,95,7.4,100,150,,,44.5,11,58.5,20
640,-69,-73,95,7.7,100,150,,,44.8,11,58.5,21
680,-69,-72,95,7.5,100,150,,,45.1,11,59.4,22
720,-69,-73,95,7.9,100,150,,,45.4,11,59.2,23
760,-69,-73,95,7.4,100,150,,,45.7,11,59.8,25
800,-69,-72,95,8,100,150,,,46,11,59.8,26
840,-69,-74,95,7.8,100,150,,,46.3,11,59.2,27
880,-68,-74,95,7.6,100,150,,,46.5,11,59.1,29
920,-68,-73,95,7.6,100,150,,,46.8,11,59.4,30
960,-69,-73,96,8.2,100,150,,,47.1,11,59.8,31
1000,-69,-74,96,7.9,100,150,,,47.4,11,60.5,32
1040,-70,-73,95,7.8,100,150,,,47.7,11,59.9,34
1080,-68,-74,94,8.1,100,150,,,48,11,61.4,35
1120,-69,-73,95,7.8,100,150,,,48.3,10,61,36
1160,-70,-75,95,7.9,100,150,,,48.6,11,61.7,38
1200,-69,-73,95,8.1,100,150,,,48.9,11,61.5,39
1240,-69,-75,95,7.8,100,150,,,49.2,11,61.7,40
1280,-69,-74,95,7.8,100,150,,,49.4,12,62.1,42
1320,-69,-74,95,7.9,100,150,,,49.7,11,61.1,43
1360,-69,-75,94,8.1,100,150,,,50,10,62.2,44
1400,-69,-75,95,8,100,150,,,50.3,11,61,46
1440,-70,-74,95,7.6,100,150,,,50.6,11,61.1,47
1480,-70,-75,94,7.7,100,150,,,50.8,11,61.3,48
1520,-70,-75,95,8,100,150,,,51.1,11,62.4,49
1560,-70,-76,94,8.2,100,150,,,51.4,11,62.4,51
1600,-70,-76,93,8,100,150,,,51.7,11,62.7,52
1640,-70,-75,94,7.8,100,150,,,52,11,62.3,53
1680,-71,-75,94,8.3,100,150,,,52.2,11,62,55
1720,-70,-75,93,8,100,150,,,52.5,11,62.1,56
1760,-70,-75,94,8.2,100,150,,,52.8,11,62.7,57
1800,-70,-75,94,8.2,100,150,,,53,11,63,58
1840,-71,-75,94,8,100,150,,,53.3,11,61.9,60
1880,-70,-76,93,8.1,100,150,,,53.6,12,62,61
1920,-71,-76,93,7.7,100,150,,,53.9,11,63,62
1960,-71,-76,94,7.9,100,150,,,54.1,11,62.2,64
2000,-72,-76,94,8,100,150,,,54.4,11,62.3,65
2040,-71,-77,93,7.7,100,150,,,54.6,11,62.1,66
2080,-72,-77,93,8.1,100,150,,,54.9,11,63.4,68
2120,-71,-77,93,8.2,100,150,,,55.2,11,63.3,69
2160,-72,-77,93,8,100,150,,,55.4,10,62.2,70
2200,-72,-78,93,7.5,100,150,,,55.7,11,62.6,72
2240,-73,-78,92,8,100,150,,,55.9,11,62.2,73
2280,-73,-76,92,7.5,100,150,,,56.2,12,62.4,74
2320,-73,-78,92,7.6,100,150,,,56.4,12,63,75
2360,-72,-77,92,7.9,100,150,,,56.7,11,62,77
2400,-73,-78,92,7.8,100,150,,,56.9,11,61.9,78
2440,-73,-77,92,7.6,100,150,,,57.2,11,63.7,79
2480,-74,-78,92,7.8,100,150,,,57.4,11,63.7,81
2520,-73,-79,91,7.6,100,150,,,57.7,11,62.2,82
2560,-73,-78,92,7.4,100,150,,,57.9,11,62.3,83
2600,-74,-78,92,7.8,100,150,,,58.2,10,61.9,84
2640,-74,-78,91,7.8,100,150,,,58.4,11,61.7,86
2680,-74,-79,92,7.4,100,150,,,58.6,11,62.9,87
2720,-73,-78,91,7.4,100,150,,,58.9,11,62.5,88
2760,-74,-78,91,7.5,100,150,,,59.1,11,61.5,90
2800,-74,-78,91,7.4,100,150,,,59.3,11,61.5,91
2840,-75,-78,91,7.1,100,150,,,59.6,11,61.2,92
2880,-74,-79,91,7.1,100,150,,,59.8,12,61.6,94
2920,-74,-78,91,7.5,100,150,,,60,11,61.4,95
2960,-74,-79,90,6.9,100,150,,,60.2,11,61.4,96
3000,-74,-78,92,7.3,100,150,,,60.4,11,62.3,98
3040,-75,-79,90,7.1,100,150,,,60.7,11,61.4,99
3080,-75,-79,92,6.7,100,150,,,60.9,11,60.2,100
3120,-75,-79,90,6.7,100,150,,,61.1,11,61.3,101
3160,-76,-78,90,6.8,100,150,,,61.3,11,60.4,103
3200,-75,-79,91,7.3,100,150,,,61.5,11,61.3,104
3240,-74,-79,91,6.6,100,150,,,61.7,11,59.6,105
3280,-74,-79,92,6.9,100,150,,,61.9,11,59.2,107
3320,-74,-79,91,6.8,100,150,,,62.1,11,60.3,108
3360,-74,-78,92,6.7,100,150,,,62.3,11,60.5,109
3400,-75,-79,92,6.6,100,150,,,62.5,11,59,110
3440,-75,-79,91,6.7,100,150,,,62.7,11,60.2,112
3480,-75,-79,91,6.4,100,150,,,62.9,12,59.1,113
3520,-76,-79,92,6.4,100,150,,,63.1,10,59.9,114
3560,-74,-79,92,6.5,100,150,,,63.3,12,57.7,116
3600,-76,-78,92,6.3,100,150,,,63.5,11,58.4,117
3640,-74,-79,92,6.5,100,150,,,63.7,11,57.9,118
3680,-75,-78,92,6.2,100,150,,,63.9,12,58,120
3720,-75,-78,92,6.4,100,150,,,64,11,57.7,121
3760,-74,-79,92,6.2,100,150,,,64.2,11,58.1,122
3800,-75,-79,93,6.1,100,150,,,64.4,11,57.8,124
3840,-75,-78,93,6.6,100,150,,,64.6,11,56.9,125
3880,-75,-78,92,6.3,100,150,,,64.7,11,57.2,126
3920,-75,-79,93,6.4,100,150,,,64.9,10,56.7,127
3960,-74,-78,93,6,100,150,,,65.1,12,57,129
4000,-74,-79,93,6.3,100,150,,,65.2,11,54.8,130
4040,-75,-78,93,6.3,100,150,,,65.4,11,54.7,131
4080,-74,-78,93,5.9,100,150,,,65.6,11,55,133
4120,-74,-78,93,6.4,100,150,,,65.7,11,54.1,134
4160,-74,-78,94,6.5,100,150,,,65.9,11,53.9,135
4200,-74,-77,93,6.1,100,150,,,66,11,54.4,136
4240,-73,-78,94,6,100,150,,,66.2,11,54.4,138
4280,-74,-78,94,5.9,100,150,,,66.3,11,53,139
4320,-73,-78,94,5.9,100,150,,,66.5,11,52.4,140
4360,-73,-78,94,5.8,100,150,,,66.6,12,53.5,142
4400,-73,-78,94,5.9,100,150,,,66.7,11,52.3,143
4440,-73,-78,95,6.1,100,150,,,66.9,11,53.1,144
4480,-72,-78,94,5.8,100,150,,,67,11,51.9,146
4520,-72,-77,94,6.1,100,150,,,67.1,11,50.8,147
4560,-73,-77,94,5.7,100,150,,,67.3,11,50.7,148
4600,-73,-77,94,5.9,100,150,,,67.4,11,50.7,150
4640,-73,-76,94,6.2,100,150,,,67.5,11,51.2,151
4680,-71,-76,94,5.9,100,150,,,67.6,11,50.4,152
4720,-72,-76,94,5.7,100,150,,,67.7,11,49.5,153
4760,-72,-76,95,6.3,100,150,,,67.9,10,49.7,155
4800,-72,-77,95,5.9,100,150,,,68,12,48.4,156
4840,-71,-76,95,6.2,100,150,,,68.1,11,49,157
4880,-71,-76,94,6.2,100,150,,,68.2,11,48.2,159
4920,-71,-75,95,6,100,150,,,68.3,11,48.9,160
4960,-71,-75,95,5.8,100,150,,,68.4,11,48.9,161
5000,-71,-75,95,6.2,100,150,,,68.5,11,47.3,162
5040,-71,-76,95,5.8,100,150,,,68.6,11,46.7,164
5080,-71,-76,95,6.3,100,150,,,68.7,11,46.6,165
5120,-70,-76,95,6.3,100,150,,,68.7,12,47,166
5160,-71,-76,95,6.4,100,150,,,68.8,11,47.1,168
5200,-71,-75,95,6.2,100,150,,,68.9,11,46.7,169
5240,-69,-74,95,6.4,100,150,,,69,11,44.5,170
5280,-70,-74,95,6,100,150,,,69.1,11,44.8,172
5320,-69,-74,95,6.1,100,150,,,69.1,10,43.7,173
