ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
40,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
80,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
120,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
160,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
200,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
240,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
280,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
320,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
360,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
400,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
440,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
480,-70,-73,95,8.0,100,250,47.0000,8.0000,50,12,30,
520,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
560,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
600,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
640,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
680,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
720,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
760,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
800,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
840,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
880,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
920,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
960,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
1000,-70,-73,95,8.0,100,250,47.0010,8.0000,51,12,30,
1040,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1080,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1120,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1160,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1200,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1240,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1280,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1320,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1360,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1400,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1440,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1480,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1520,-70,-73,95,8.0,100,250,47.0020,8.0000,52,12,30,
1560,-70,-73,95,8.0,100,250,47.0030,8.0000,53,12,30,
1600,-70,-73,95,8.0,100,250,47.0030,8.0000,53,12,30,
1640,-70,-73,95,8.0,100,250,47.0030,8.0000,53,12,30,
