ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-71,-74,90,6.2,100,250,,,,,,0
40,-71,-73,90,5.7,100,250,,,,,,2
80,-71,-73,91,6.1,100,250,,,,,,3
120,-70,-73,90,6.5,100,250,,,,,,5
160,-70,-73,91,6.4,100,250,,,,,,6
200,-70,-73,91,6.4,100,250,,,,,,8
240,-71,-74,91,6.2,100,250,,,,,,10
280,-70,-73,91,6.3,100,250,,,,,,11
320,-69,-74,91,6.4,100,250,,,,,,13
360,-69,-73,91,6.7,100,250,,,,,,14
400,-70,-72,92,6.6,100,250,,,,,,16
440,-70,-72,92,6.7,100,250,,,,,,18
480,-70,-74,92,6.6,100,250,,,,,,19
520,-69,-73,92,6.2,100,250,,,,,,21
560,-69,-74,92,6.7,100,250,,,,,,22
600,-69,-74,91,6.4,100,250,,,,,,24
640,-69,-73,92,6.3,100,250,,,,,,26
680,-69,-73,91,6.7,100,250,,,,,,27
720,-70,-73,92,6.9,100,250,,,,,,29
760,-68,-72,91,6.5,100,250,,,,,,30
800,-69,-74,92,6.5,100,250,,,,,,32
840,-69,-74,92,6.7,100,250,,,,,,34
880,-68,-73,92,7,100,250,,,,,,35
920,-69,-73,92,6.5,100,250,,,,,,37
960,-69,-73,92,7.1,100,250,,,,,,38
1000,-70,-73,92,6.7,100,250,,,,,,40
1040,-69,-73,91,7.1,100,250,,,,,,42
1080,-68,-74,92,7.1,100,250,,,,,,43
1120,-69,-74,92,6.8,100,250,,,,,,45
1160,-68,-73,92,6.9,100,250,,,,,,46
1200,-70,-74,92,7.2,100,250,,,,,,48
1240,-69,-74,91,6.8,100,250,,,,,,50
1280,-68,-74,91,6.8,100,250,,,,,,51
1320,-70,-75,91,6.8,100,250,,,,,,53
1360,-69,-74,91,6.8,100,250,,,,,,54
1400,-69,-75,92,7.3,100,250,,,,,,56
1440,-70,-75,91,6.8,100,250,,,,,,58
1480,-70,-74,91,7,100,250,,,,,,59
1520,-70,-75,92,6.9,100,250,,,,,,61
1560,-71,-74,91,6.8,100,250,,,,,,62
1600,-71,-76,91,7.3,100,250,,,,,,64
1640,-70,-75,91,6.7,100,250,,,,,,66
1680,-70,-75,90,6.8,100,250,,,,,,67
1720,-71,-75,91,6.9,100,250,,,,,,69
1760,-70,-76,91,7.2,100,250,,,,,,70
1800,-71,-76,91,7.1,100,250,,,,,,72
1840,-70,-76,90,7.2,100,250,,,,,,74
1880,-71,-76,90,6.9,100,250,,,,,,75
1920,-71,-76,90,6.8,100,250,,,,,,77
1960,-71,-77,90,6.6,100,250,,,,,,78
2000,-71,-76,90,7,100,250,,,,,,80
2040,-71,-76,90,7.1,100,250,,,,,,82
2080,-72,-77,90,6.8,100,250,,,,,,83
2120,-72,-77,90,6.8,100,250,,,,,,85
2160,-72,-77,90,7,100,250,,,,,,86
2200,-72,-77,90,6.8,100,250,,,,,,88
2240,-73,-77,90,6.7,100,250,,,,,,90
2280,-72,-76,90,7.1,100,250,,,,,,91
2320,-73,-78,90,6.4,100,250,,,,,,93
2360,-73,-77,90,6.6,100,250,,,,,,94
2400,-73,-78,90,6.5,100,250,,,,,,96
2440,-73,-78,90,7,100,250,,,,,,98
2480,-73,-78,90,6.8,100,250,,,,,,99
2520,-73,-78,90,6.3,100,250,,,,,,101
2560,-73,-78,90,6.8,100,250,,,,,,102
2600,-73,-77,90,6.3,100,250,,,,,,104
2640,-74,-78,90,6.2,100,250,,,,,,106
2680,-73,-78,90,6.6,100,250,,,,,,107
2720,-74,-78,90,6.5,100,250,,,,,,109
2760,-75,-78,90,6.7,100,250,,,,,,110
2800,-73,-79,90,6.5,100,250,,,,,,112
2840,-74,-79,90,6.5,100,250,,,,,,114
2880,-74,-78,90,6.4,100,250,,,,,,115
2920,-74,-78,90,6.5,100,250,,,,,,117
2960,-75,-79,90,6.2,100,250,,,,,,118
3000,-75,-79,90,5.9,100,250,,,,,,120
3040,-75,-79,90,5.9,100,250,,,,,,122
3080,-74,-79,90,6.2,100,250,,,,,,123
3120,-74,-78,90,6.1,100,250,,,,,,125
3160,-76,-79,90,6.1,100,250,,,,,,126
3200,-75,-78,90,6.3,100,250,,,,,,128
3240,-75,-80,90,6.1,100,250,,,,,,130
3280,-75,-78,90,5.9,100,250,,,,,,131
3320,-75,-79,90,5.8,100,250,,,,,,133
