ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-93,-92,79,2.5,100,250,,,,,,0
40,-94,-92,80,2.4,100,250,,,,,,1
80,-93,-93,79,3,100,250,,,,,,2
120,-91,-92,79,3.3,100,250,,,,,,4
160,-93,-93,79,2.6,100,250,,,,,,5
200,-92,-91,80,3.2,100,250,,,,,,6
240,-93,-92,80,2.4,100,250,,,,,,7
280,-93,-92,80,3.2,100,250,,,,,,8
320,-92,-93,81,2.8,100,250,,,,,,10
360,-91,-91,80,2.5,100,250,,,,,,11
400,-93,-93,81,2.9,100,250,,,,,,12
440,-91,-93,81,2.7,100,250,,,,,,13
480,-92,-92,79,2.7,100,250,,,,,,14
520,-91,-93,79,3.8,100,250,,,,,,16
560,-92,-92,80,3.5,100,250,,,,,,17
600,-90,-93,81,2.8,100,250,,,,,,18
640,-91,-93,82,3,100,250,,,,,,19
680,-91,-92,81,3.5,100,250,,,,,,20
720,-92,-93,81,3.7,100,250,,,,,,22
760,-90,-93,80,3.4,100,250,,,,,,23
800,-90,-92,80,3.7,100,250,,,,,,24
840,-90,-92,81,4.2,100,250,,,,,,25
880,-90,-92,82,3.9,100,250,,,,,,26
920,-90,-92,81,3.7,100,250,,,,,,28
960,-91,-92,81,3.6,100,250,,,,,,29
1000,-91,-92,81,3.6,100,250,,,,,,30
1040,-91,-93,82,4.1,100,250,,,,,,31
1080,-90,-93,81,4.4,100,250,,,,,,32
1120,-89,-92,81,3.6,100,250,,,,,,34
1160,-91,-92,81,4.4,100,250,,,,,,35
1200,-90,-93,81,4.2,100,250,,,,,,36
1240,-90,-92,81,4.5,100,250,,,,,,37
1280,-89,-94,81,3.4,100,250,,,,,,38
1320,-91,-93,80,3.7,100,250,,,,,,40
1360,-91,-92,81,3.6,100,250,,,,,,41
1400,-89,-91,81,4.2,100,250,,,,,,42
1440,-89,-92,81,4.5,100,250,,,,,,43
1480,-89,-92,80,4.5,100,250,,,,,,44
1520,-91,-93,81,3.9,100,250,,,,,,46
1560,-90,-93,79,4,100,250,,,,,,47
1600,-91,-94,81,4.3,100,250,,,,,,48
1640,-90,-93,79,4.2,100,250,,,,,,49
1680,-91,-93,81,4.6,100,250,,,,,,50
1720,-90,-92,79,4,100,250,,,,,,52
1760,-89,-94,81,4.3,100,250,,,,,,53
1800,-90,-93,80,4.5,100,250,,,,,,54
1840,-91,-93,80,3.4,100,250,,,,,,55
1880,-90,-93,80,4.4,100,250,,,,,,56
1920,-91,-94,80,3.8,100,250,,,,,,58
1960,-91,-95,79,3.5,100,250,,,,,,59
2000,-91,-95,79,4.1,100,250,,,,,,60
2040,-92,-95,80,3.6,100,250,,,,,,61
2080,-92,-95,80,3.8,100,250,,,,,,62
2120,-93,-95,79,3.3,100,250,,,,,,64
2160,-91,-95,78,3.6,100,250,,,,,,65
2200,-91,-94,78,3.2,100,250,,,,,,66
2240,-93,-96,78,3.8,100,250,,,,,,67
2280,-92,-94,79,3.4,100,250,,,,,,68
2320,-93,-95,78,3.2,100,250,,,,,,70
2360,-93,-96,79,4.1,100,250,,,,,,71
2400,-92,-96,77,3.4,100,250,,,,,,72
2440,-94,-96,77,3.2,100,250,,,,,,73
2480,-93,-95,78,3.4,100,250,,,,,,74
2520,-92,-95,77,3.9,100,250,,,,,,76
2560,-93,-96,77,3,100,250,,,,,,77
2600,-93,-95,78,3.2,100,250,,,,,,78
2640,-94,-97,76,3.7,100,250,,,,,,79
2680,-93,-95,77,2.9,100,250,,,,,,80
2720,-93,-95,76,2.7,100,250,,,,,,82
2760,-94,-97,75,3.1,100,250,,,,,,83
2800,-94,-97,76,2.6,100,250,,,,,,84
2840,-94,-97,76,2.7,100,250,,,,,,85
2880,-93,-96,77,3.1,100,250,,,,,,86
2920,-95,-97,76,2.2,100,250,,,,,,88
2960,-95,-98,75,3.2,100,250,,,,,,89
3000,-94,-97,75,2.3,100,250,,,,,,90
3040,-96,-97,75,3,100,250,,,,,,91
3080,-95,-97,76,2.8,100,250,,,,,,92
3120,-94,-97,75,2.5,100,250,,,,,,94
3160,-96,-98,75,2.9,100,250,,,,,,95
3200,-96,-97,74,2.7,100,250,,,,,,96
3240,-95,-98,76,2.3,100,250,,,,,,97
3280,-96,-98,75,2,100,250,,,,,,98
3320,-97,-98,74,1.8,100,250,,,,,,100
3360,-95,-99,76,1.6,100,250,,,,,,101
3400,-95,-98,74,2.2,100,250,,,,,,102
3440,-96,-99,75,1.5,100,250,,,,,,103
3480,-96,-97,76,1.9,100,250,,,,,,104
3520,-95,-98,75,2.5,100,250,,,,,,106
