ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-90,-90,83,2.8,100,250,,,,,,0
40,-88,-90,83,2.7,100,250,,,,,,2
80,-89,-89,83,2.8,100,250,,,,,,3
120,-88,-89,83,3,100,250,,,,,,4
160,-87,-90,83,2.8,100,250,,,,,,6
200,-89,-89,84,3.7,100,250,,,,,,8
240,-87,-89,84,3.9,100,250,,,,,,9
280,-88,-89,83,3.8,100,250,,,,,,10
320,-89,-89,85,2.9,100,250,,,,,,12
360,-87,-89,84,3.1,100,250,,,,,,14
400,-88,-89,83,4,100,250,,,,,,15
440,-88,-89,84,3.6,100,250,,,,,,16
480,-88,-90,84,3.7,100,250,,,,,,18
520,-88,-90,85,3.8,100,250,,,,,,20
560,-87,-88,85,4.3,100,250,,,,,,21
600,-88,-90,84,4.4,100,250,,,,,,22
640,-87,-90,84,3.9,100,250,,,,,,24
680,-87,-89,85,4.4,100,250,,,,,,26
720,-88,-89,85,4.5,100,250,,,,,,27
760,-86,-90,84,4.4,100,250,,,,,,28
800,-87,-89,84,3.6,100,250,,,,,,30
840,-86,-90,86,3.7,100,250,,,,,,32
880,-86,-89,85,4.4,100,250,,,,,,33
920,-86,-88,85,4.3,100,250,,,,,,34
960,-87,-88,85,3.9,100,250,,,,,,36
1000,-87,-88,84,4.2,100,250,,,,,,38
1040,-87,-89,84,4.5,100,250,,,,,,39
1080,-87,-89,85,4.5,100,250,,,,,,40
1120,-87,-89,84,4.9,100,250,,,,,,42
1160,-86,-90,85,3.9,100,250,,,,,,44
1200,-86,-90,86,3.8,100,250,,,,,,45
1240,-85,-88,85,4,100,250,,,,,,46
1280,-85,-90,85,5,100,250,,,,,,48
1320,-85,-89,85,5,100,250,,,,,,50
1360,-87,-90,84,4.1,100,250,,,,,,51
1400,-87,-89,85,4.6,100,250,,,,,,52
1440,-86,-91,85,4.9,100,250,,,,,,54
1480,-86,-91,84,3.9,100,250,,,,,,56
1520,-85,-89,85,4,100,250,,,,,,57
1560,-86,-90,84,4.2,100,250,,,,,,58
1600,-86,-91,85,7.6,100,250,,,,,,60
1640,-86,-89,85,-5.9,100,250,,,,,,62
1680,-87,-90,84,8.6,100,250,,,,,,63
1720,-85,-91,84,-7.3,100,250,,,,,,64
1760,-88,-90,83,8.3,100,250,,,,,,66
1800,-86,-90,84,-4.9,100,250,,,,,,68
1840,-87,-91,83,8.4,100,250,,,,,,69
1880,-87,-90,83,-6.1,100,250,,,,,,70
1920,-87,-91,84,8,100,250,,,,,,72
1960,-88,-90,83,-5.4,100,250,,,,,,74
2000,-86,-90,83,8.9,100,250,,,,,,75
2040,-88,-90,83,-6.2,100,250,,,,,,76
2080,-87,-92,82,7,100,250,,,,,,78
2120,-87,-92,83,-6.4,100,250,,,,,,80
2160,-89,-92,82,9,100,250,,,,,,81
2200,-89,-91,82,-7.4,100,250,,,,,,82
2240,-88,-92,81,8.7,100,250,,,,,,84
2280,-88,-92,82,-6.6,100,250,,,,,,86
2320,-89,-91,81,6.8,100,250,,,,,,87
2360,-88,-91,82,-6.2,100,250,,,,,,88
2400,-89,-92,81,7.3,100,250,,,,,,90
2440,-89,-92,81,-7.4,100,250,,,,,,92
2480,-89,-92,81,9.3,100,250,,,,,,93
2520,-88,-94,81,-7.1,100,250,,,,,,94
2560,-90,-93,81,7.9,100,250,,,,,,96
2600,-88,-93,81,-6.1,100,250,,,,,,98
2640,-90,-92,81,6.9,100,250,,,,,,99
2680,-89,-93,81,-5.8,100,250,,,,,,100
2720,-90,-93,81,7.3,100,250,,,,,,102
2760,-89,-94,80,-4.5,100,250,,,,,,104
2800,-89,-93,80,7.8,100,250,,,,,,105
2840,-91,-94,80,-5.4,100,250,,,,,,106
2880,-90,-94,80,7.9,100,250,,,,,,108
2920,-91,-94,81,-5.5,100,250,,,,,,110
2960,-90,-93,81,6.5,100,250,,,,,,111
3000,-90,-94,79,-5,100,250,,,,,,112
3040,-92,-94,81,9.4,100,250,,,,,,114
3080,-90,-93,79,-5,100,250,,,,,,116
3120,-92,-93,80,7.4,100,250,,,,,,117
3160,-91,-94,79,-5.6,100,250,,,,,,118
3200,-91,-95,79,6.8,100,250,,,,,,120
3240,-91,-95,79,-5.4,100,250,,,,,,122
3280,-92,-94,79,7.5,100,250,,,,,,123
3320,-90,-96,80,-5.9,100,250,,,,,,124
3360,-92,-94,79,8.3,100,250,,,,,,126
3400,-93,-94,80,-5.4,100,250,,,,,,128
3440,-91,-95,79,8.7,100,250,,,,,,129
3480,-93,-96,79,-7.5,100,250,,,,,,130
3520,-91,-96,80,7.5,100,250,,,,,,132
3560,-93,-95,78,-4.5,100,250,,,,,,134
3600,-93,-95,78,8.4,100,250,,,,,,135
3640,-92,-94,80,-6.9,100,250,,,,,,136
3680,-91,-94,79,9.2,100,250,,,,,,138
3720,-93,-94,79,-4.9,100,250,,,,,,140
3760,-92,-94,80,9,100,250,,,,,,141
3800,-92,-94,79,-7.2,100,250,,,,,,142
3840,-92,-95,80,8.6,100,250,,,,,,144
3880,-92,-96,80,-6,100,250,,,,,,146
3920,-93,-96,79,7.2,100,250,,,,,,147
3960,-91,-94,79,-6.1,100,250,,,,,,148
4000,-92,-95,80,9.4,100,250,,,,,,150
4040,-91,-95,80,-5.1,100,250,,,,,,152
4080,-92,-95,80,9.4,100,250,,,,,,153
4120,-91,-95,79,-6.9,100,250,,,,,,154
4160,-91,-95,79,6.9,100,250,,,,,,156
4200,-91,-95,79,-5.1,100,250,,,,,,158
4240,-92,-95,80,7.2,100,250,,,,,,159
4280,-92,-95,81,-6.6,100,250,,,,,,160
4320,-92,-95,81,6.6,100,250,,,,,,162
4360,-92,-96,80,-6.5,100,250,,,,,,164
4400,-91,-96,80,7,100,250,,,,,,165
4440,-90,-94,81,-5.8,100,250,,,,,,166
4480,-92,-95,80,8.3,100,250,,,,,,168
4520,-90,-95,82,-5.9,100,250,,,,,,170
4560,-89,-94,80,7,100,250,,,,,,171
4600,-92,-94,82,-4.7,100,250,,,,,,172
4640,-91,-95,81,6.6,100,250,,,,,,174
4680,-89,-93,81,-6,100,250,,,,,,176
4720,-91,-94,82,7.4,100,250,,,,,,177
4760,-91,-94,83,-7.5,100,250,,,,,,178
4800,-89,-94,83,8.4,100,250,,,,,,180
4840,-89,-95,83,-6.5,100,250,,,,,,182
4880,-89,-94,83,9,100,250,,,,,,183
4920,-88,-93,83,-4.7,100,250,,,,,,184
4960,-89,-93,83,6.8,100,250,,,,,,186
5000,-88,-93,83,-6.1,100,250,,,,,,188
5040,-89,-93,83,7.2,100,250,,,,,,189
5080,-88,-93,82,-6.3,100,250,,,,,,190
5120,-89,-93,83,9.3,100,250,,,,,,192
5160,-88,-94,83,-6.9,100,250,,,,,,194
