ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-85,-86,81,3.6,100,250,,,,,,0
40,-86,-87,82,3.7,100,250,,,,,,2
80,-86,-87,81,3.5,100,250,,,,,,4
120,-86,-87,81,3.9,100,250,,,,,,6
160,-85,-86,81,3.8,100,250,,,,,,8
200,-84,-87,81,4.2,100,250,,,,,,10
240,-85,-85,82,3.5,100,250,,,,,,11
280,-84,-88,82,4.1,100,250,,,,,,13
320,-84,-86,82,4.3,100,250,,,,,,15
360,-85,-87,83,3.5,100,250,,,,,,17
400,-84,-87,82,4.5,100,250,,,,,,19
440,-85,-85,82,4.4,100,250,,,,,,21
480,-85,-87,83,4.3,100,250,,,,,,23
520,-85,-85,82,4.1,100,250,,,,,,25
560,-83,-86,83,4.1,100,250,,,,,,27
600,-84,-87,83,3.9,100,250,,,,,,28
640,-83,-86,83,4.8,100,250,,,,,,30
680,-84,-87,82,4.1,100,250,,,,,,32
720,-85,-85,82,4.4,100,250,,,,,,34
760,-84,-87,82,4,100,250,,,,,,36
800,-82,-85,83,4.1,100,250,,,,,,38
840,-83,-87,83,4.9,100,250,,,,,,40
880,-84,-86,83,5,100,250,,,,,,42
920,-84,-86,83,4.5,100,250,,,,,,44
960,-82,-85,83,4.8,100,250,,,,,,46
1000,-84,-86,84,4.6,100,250,,,,,,48
1040,-84,-86,83,5.1,100,250,,,,,,49
1080,-84,-85,84,4.5,100,250,,,,,,51
1120,-83,-86,83,5,100,250,,,,,,53
1160,-82,-87,83,5.2,100,250,,,,,,55
1200,-82,-86,83,4.9,100,250,,,,,,57
1240,-83,-87,83,5.2,100,250,,,,,,59
1280,-83,-86,82,4.5,100,250,,,,,,61
1320,-83,-85,83,5.1,100,250,,,,,,63
1360,-83,-87,82,4.6,100,250,,,,,,65
1400,-82,-87,83,5.3,100,250,,,,,,66
1440,-83,-86,82,4.4,100,250,,,,,,68
1480,-83,-88,83,5.3,100,250,,,,,,70
1520,-83,-87,83,5.3,100,250,,,,,,72
1560,-84,-88,83,5.3,100,250,,,,,,74
1600,-83,-88,81,4.5,100,250,,,,,,76
1640,-82,-86,82,5.4,100,250,,,,,,78
1680,-84,-87,82,4.5,100,250,,,,,,80
1720,-83,-86,82,5.4,100,250,,,,,,82
1760,-83,-87,82,4.9,100,250,,,,,,84
1800,-85,-87,81,4.6,100,250,,,,,,86
1840,-85,-88,81,4.7,100,250,,,,,,87
1880,-84,-86,81,4.8,100,250,,,,,,89
1920,-85,-87,82,4.8,100,250,,,,,,91
1960,-83,-88,81,5.3,100,250,,,,,,93
2000,-85,-87,82,4.7,100,250,,,,,,95
2040,-85,-88,80,4.8,100,250,,,,,,97
2080,-84,-89,81,4.8,100,250,,,,,,99
2120,-86,-89,81,4.5,100,250,,,,,,101
2160,-85,-89,81,4.3,100,250,,,,,,103
2200,-84,-88,80,5.2,100,250,,,,,,104
2240,-84,-88,80,4.4,100,250,,,,,,106
2280,-86,-90,79,4.3,100,250,,,,,,108
2320,-84,-89,80,4.2,100,250,,,,,,110
2360,-87,-89,79,4.9,100,250,,,,,,112
2400,-86,-89,80,3.9,100,250,,,,,,114
2440,-85,-90,80,4.9,100,150,,,,,,116
2480,-87,-88,80,4.5,100,500,,,,,,118
2520,-86,-90,79,5,100,250,,,,,,120
2560,-87,-90,79,3.9,100,500,,,,,,122
2600,-87,-91,78,4.1,100,150,,,,,,124
2640,-87,-89,79,4.8,100,250,,,,,,125
2680,-86,-91,78,4.1,100,150,,,,,,127
2720,-87,-90,78,3.9,100,500,,,,,,129
2760,-88,-91,79,4.6,100,250,,,,,,131
2800,-86,-89,79,3.8,100,500,,,,,,133
2840,-88,-91,79,3.9,100,150,,,,,,135
2880,-88,-90,78,3.3,100,250,,,,,,137
2920,-88,-91,78,4,100,150,,,,,,139
2960,-88,-92,77,4.1,100,500,,,,,,141
3000,-89,-91,77,3.2,100,250,,,,,,142
3040,-89,-91,78,4.2,100,500,,,,,,144
3080,-87,-92,78,3.4,100,150,,,,,,146
3120,-88,-90,77,3.6,100,250,,,,,,148
3160,-88,-91,78,3.8,100,150,,,,,,150
3200,-89,-91,78,3,100,500,,,,,,152
3240,-88,-91,77,3,100,250,,,,,,154
3280,-89,-92,77,3.5,100,500,,,,,,156
3320,-89,-91,77,3,100,150,,,,,,158
3360,-88,-91,77,3.5,100,250,,,,,,160
3400,-88,-92,76,3,100,150,,,,,,162
3440,-90,-91,77,3,100,500,,,,,,163
3480,-89,-91,76,2.9,100,250,,,,,,165
3520,-90,-91,77,2.5,100,500,,,,,,167
3560,-88,-92,76,2.3,100,150,,,,,,169
3600,-90,-93,77,2.6,100,250,,,,,,171
3640,-89,-91,78,2.5,100,150,,,,,,173
3680,-88,-91,78,2.4,100,500,,,,,,175
3720,-88,-91,77,2.9,100,250,,,,,,177
3760,-89,-91,77,3,100,500,,,,,,179
3800,-89,-92,78,2.7,100,150,,,,,,180
3840,-89,-91,77,3.1,100,250,,,,,,182
3880,-89,-92,77,3,100,150,,,,,,184
3920,-88,-93,78,2.5,100,500,,,,,,186
3960,-89,-93,78,2.1,100,250,,,,,,188
4000,-89,-92,78,2.7,100,500,,,,,,190
4040,-88,-93,78,2.3,100,150,,,,,,192
4080,-90,-91,79,2.7,100,250,,,,,,194
4120,-88,-92,79,2.1,100,150,,,,,,196
4160,-88,-91,78,2.6,100,500,,,,,,198
4200,-90,-92,79,2.3,100,250,,,,,,200
4240,-90,-92,78,2.4,100,500,,,,,,201
4280,-88,-91,79,1.8,100,150,,,,,,203
4320,-88,-93,79,2,100,250,,,,,,205
4360,-88,-92,78,2.3,100,150,,,,,,207
4400,-89,-92,79,2.4,100,500,,,,,,209
4440,-89,-92,78,2.4,100,250,,,,,,211
4480,-88,-92,79,1.9,100,500,,,,,,213
4520,-88,-92,80,2,100,150,,,,,,215
4560,-86,-92,80,1.7,100,250,,,,,,217
4600,-88,-91,80,2.6,100,150,,,,,,218
4640,-88,-90,79,1.9,100,500,,,,,,220
4680,-86,-90,79,1.9,100,250,,,,,,222
4720,-88,-91,80,1.9,100,500,,,,,,224
4760,-88,-92,80,2,100,150,,,,,,226
4800,-87,-92,80,2.2,100,250,,,,,,228
4840,-87,-90,81,1.4,100,150,,,,,,230
4880,-87,-90,81,1.6,100,500,,,,,,232
4920,-86,-90,80,1.8,100,250,,,,,,234
4960,-87,-91,81,2.1,100,500,,,,,,236
5000,-87,-91,82,1.9,100,150,,,,,,238
5040,-86,-90,81,1.5,100,250,,,,,,239
5080,-86,-89,80,1.6,100,150,,,,,,241
5120,-85,-90,81,2.6,100,500,,,,,,243
5160,-84,-91,81,2,100,250,,,,,,245
5200,-86,-90,81,2.5,100,500,,,,,,247
5240,-86,-89,82,2.4,100,150,,,,,,249
5280,-84,-89,82,2.4,100,250,,,,,,251
5320,-85,-90,82,1.9,100,150,,,,,,253
5360,-85,-90,83,2.7,100,500,,,,,,255
5400,-85,-89,81,1.9,100,250,,,,,,256
5440,-86,-90,82,2.7,100,500,,,,,,258
5480,-84,-89,83,2.6,100,150,,,,,,260
5520,-85,-88,82,2.6,100,250,,,,,,262
5560,-84,-88,83,2.6,100,150,,,,,,264
5600,-85,-88,83,2.1,100,500,,,,,,266
5640,-85,-89,83,2.5,100,250,,,,,,268
5680,-84,-89,82,3,100,500,,,,,,270
5720,-84,-89,83,3.2,100,150,,,,,,272
5760,-83,-88,83,2.5,100,250,,,,,,274
5800,-85,-87,82,3,100,150,,,,,,276
5840,-82,-88,82,3.2,100,500,,,,,,277
5880,-83,-87,82,2.4,100,250,,,,,,279
5920,-84,-89,82,3.2,100,500,,,,,,281
5960,-82,-86,84,2.7,100,150,,,,,,283
6000,-83,-87,84,2.5,100,250,,,,,,285
6040,-83,-86,84,3.2,100,150,,,,,,287
6080,-84,-88,84,3.7,100,500,,,,,,289
6120,-83,-87,83,2.8,100,250,,,,,,291
6160,-83,-87,83,3.3,100,500,,,,,,293
6200,-82,-86,82,3.2,100,150,,,,,,294
6240,-82,-87,83,3.2,100,250,,,,,,296
6280,-83,-86,82,3.9,100,150,,,,,,298
6320,-84,-88,82,4.1,100,500,,,,,,300
6360,-82,-86,82,3.1,100,250,,,,,,302
6400,-83,-87,83,3.3,100,500,,,,,,304
6440,-83,-86,82,4,100,150,,,,,,306
6480,-83,-87,82,3.6,100,250,,,,,,308
6520,-83,-87,82,3.7,100,150,,,,,,310
6560,-83,-86,82,3.7,100,500,,,,,,312
6600,-82,-87,83,3.8,100,250,,,,,,314
6640,-84,-85,81,3.9,100,500,,,,,,315
6680,-82,-87,83,3.8,100,150,,,,,,317
6720,-83,-87,82,3.7,100,250,,,,,,319
6760,-83,-85,82,4.6,100,150,,,,,,321
6800,-84,-85,82,4.2,100,500,,,,,,323
6840,-83,-86,81,4.6,100,250,,,,,,325
6880,-83,-86,82,4.3,100,500,,,,,,327
6920,-84,-85,82,4.3,100,150,,,,,,329
6960,-85,-87,80,4.5,100,250,,,,,,331
7000,-85,-85,82,4.9,100,150,,,,,,332
7040,-84,-86,81,4.3,100,500,,,,,,334
7080,-84,-87,80,4.8,100,250,,,,,,336
7120,-85,-85,81,4.1,100,500,,,,,,338
7160,-85,-86,82,4.3,100,150,,,,,,340
7200,-84,-87,80,5,100,250,,,,,,342
