ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-79,-81,90,4.7,250,150,,,,,,0
40,-79,-81,90,5.2,250,150,,,,,,2
80,-79,-81,90,4.8,250,150,,,,,,4
120,-79,-80,90,4.8,250,150,,,,,,5
160,-79,-81,90,5.4,250,150,,,,,,7
200,-78,-80,90,5.4,250,150,,,,,,9
240,-79,-80,90,5.4,250,150,,,,,,11
280,-78,-81,90,5.6,250,150,,,,,,13
320,-79,-80,90,5.1,250,150,,,,,,14
360,-78,-80,90,5.1,250,150,,,,,,16
400,-78,-80,90,5.6,250,150,,,,,,18
440,-77,-80,90,5.3,250,150,,,,,,20
480,-78,-81,90,5.5,250,150,,,,,,22
520,-77,-80,90,5.7,250,150,,,,,,23
560,-77,-80,90,5.5,250,150,,,,,,25
600,-77,-80,90,5.8,250,150,,,,,,27
640,-77,-80,90,5.4,250,150,,,,,,29
680,-78,-81,90,5.6,250,150,,,,,,31
720,-78,-80,90,5.6,250,150,,,,,,32
760,-76,-81,90,5.7,250,150,,,,,,34
800,-77,-81,91,5.4,250,150,,,,,,36
840,-76,-81,90,5.7,250,150,,,,,,38
880,-77,-80,90,5.9,250,150,,,,,,40
920,-77,-81,90,6.1,250,150,,,,,,41
960,-77,-81,90,6.1,250,150,,,,,,43
1000,-78,-81,90,5.9,250,150,,,,,,45
1040,-77,-81,90,5.9,250,150,,,,,,47
1080,-78,-81,90,5.6,250,150,,,,,,49
1120,-78,-81,90,5.7,250,150,,,,,,50
1160,-77,-81,90,5.8,250,150,,,,,,52
1200,-77,-81,90,6,250,150,,,,,,54
1240,-77,-81,90,6,250,150,,,,,,56
1280,-77,-82,90,6.2,250,150,,,,,,58
1320,-77,-81,90,5.8,250,150,,,,,,59
1360,-77,-81,90,5.7,250,150,,,,,,61
1400,-78,-81,90,6,250,150,,,,,,63
1440,-77,-82,90,6.1,250,150,,,,,,65
1480,-78,-82,90,5.8,250,150,,,,,,67
1520,-78,-81,90,6,250,150,,,,,,68
1560,-77,-82,90,6.1,250,150,,,,,,70
1600,-78,-83,90,6.1,250,150,,,,,,72
1640,-79,-81,90,5.9,250,150,,,,,,74
1680,-78,-82,90,6.1,250,150,,,,,,76
1720,-79,-83,90,6.1,250,150,,,,,,77
1760,-79,-83,90,6.1,250,150,,,,,,79
1800,-78,-83,90,5.8,250,150,,,,,,81
1840,-78,-82,90,5.8,250,150,,,,,,83
1880,-79,-83,90,5.8,250,150,,,,,,85
1920,-80,-84,90,6,250,150,,,,,,86
1960,-79,-83,90,5.9,250,150,,,,,,88
2000,-79,-83,90,6,250,150,,,,,,90
2040,-80,-84,90,6.1,250,150,,,,,,92
2080,-80,-84,90,6,250,150,,,,,,94
2120,-79,-83,90,6,250,150,,,,,,95
2160,-81,-83,90,5.5,250,150,,,,,,97
2200,-80,-84,90,6,250,150,,,,,,99
2240,-81,-84,90,6,250,150,,,,,,101
2280,-81,-84,90,5.9,250,150,,,,,,103
2320,-80,-85,90,5.6,250,150,,,,,,104
2360,-81,-85,90,5.7,250,150,,,,,,106
2400,-81,-84,90,5.8,250,150,,,,,,108
2440,-82,-85,90,5.8,250,150,,,,,,110
2480,-81,-85,90,5.4,250,150,,,,,,112
2520,-82,-84,90,5.8,250,150,,,,,,113
2560,-81,-85,90,5.6,250,150,,,,,,115
2600,-82,-85,90,5.6,250,150,,,,,,117
2640,-82,-85,90,5.7,250,150,,,,,,119
2680,-82,-85,90,5.7,250,150,,,,,,121
2720,-82,-86,90,5.5,250,150,,,,,,122
2760,-81,-85,90,5.1,250,150,,,,,,124
2800,-82,-85,78,5.4,250,150,,,,,,126
2840,-82,-86,67,5.5,250,150,,,,,,128
2880,-83,-86,56,5.3,250,150,,,,,,130
2920,-82,-86,46,4.9,250,150,,,,,,131
2960,-82,-85,46,4.9,250,150,,,,,,133
3000,-82,-86,46,4.9,250,150,,,,,,135
3040,-82,-86,46,5,250,150,,,,,,137
3080,-82,-86,46,5.2,250,150,,,,,,139
3120,-82,-85,46,4.9,250,150,,,,,,140
3160,-83,-85,56,4.7,250,150,,,,,,142
3200,-82,-86,67,5,250,150,,,,,,144
3240,-83,-87,78,4.7,250,150,,,,,,146
3280,-83,-85,88,4.5,250,150,,,,,,148
3320,-83,-86,90,5.1,250,150,,,,,,149
3360,-83,-86,90,4.9,250,150,,,,,,151
3400,-83,-86,90,4.5,250,150,,,,,,153
3440,-83,-86,90,5,250,150,,,,,,155
3480,-83,-87,90,4.5,250,150,,,,,,157
3520,-83,-86,90,4.4,250,150,,,,,,158
3560,-83,-87,90,4.6,250,150,,,,,,160
3600,-83,-86,90,4.4,250,150,,,,,,162
3640,-83,-86,90,4.2,250,150,,,,,,164
3680,-82,-85,90,4.7,250,150,,,,,,166
3720,-83,-87,90,4.5,250,150,,,,,,167
3760,-83,-85,90,4.2,250,150,,,,,,169
3800,-82,-85,90,4.6,250,150,,,,,,171
3840,-83,-85,90,4.6,250,150,,,,,,173
3880,-82,-85,90,4.6,250,150,,,,,,175
3920,-82,-86,90,4.1,250,150,,,,,,176
3960,-83,-86,90,4,250,150,,,,,,178
4000,-82,-85,90,4.1,250,150,,,,,,180
4040,-82,-85,90,4.4,250,150,,,,,,182
4080,-82,-86,90,4,250,150,,,,,,184
4120,-82,-85,90,3.9,250,150,,,,,,185
4160,-82,-85,90,4.3,250,150,,,,,,187
4200,-82,-85,90,4.2,250,150,,,,,,189
4240,-81,-85,90,3.9,250,150,,,,,,191
4280,-82,-85,90,4.1,250,150,,,,,,193
4320,-82,-85,90,3.8,250,150,,,,,,194
4360,-81,-84,90,4,250,150,,,,,,196
4400,-81,-84,90,4.2,250,150,,,,,,198
4440,-81,-84,90,4.3,250,150,,,,,,200
4480,-82,-85,90,4.3,250,150,,,,,,202
4520,-81,-85,90,3.8,250,150,,,,,,203
4560,-80,-84,90,4.1,250,150,,,,,,205
4600,-80,-83,90,4.1,250,150,,,,,,207
4640,-80,-84,90,4,250,150,,,,,,209
4680,-81,-83,90,4.3,250,150,,,,,,211
4720,-80,-83,90,3.8,250,150,,,,,,212
4760,-80,-83,90,4,250,150,,,,,,214
4800,-80,-83,90,4,250,150,,,,,,216
4840,-79,-83,90,4,250,150,,,,,,218
4880,-79,-84,90,3.9,250,150,,,,,,220
4920,-80,-82,90,4,250,150,,,,,,221
4960,-78,-82,90,3.9,250,150,,,,,,223
5000,-79,-83,90,4.1,250,150,,,,,,225
5040,-79,-82,90,4,250,150,,,,,,227
5080,-78,-82,90,3.9,250,150,,,,,,229
5120,-78,-81,91,3.8,250,150,,,,,,230
5160,-78,-81,91,4.2,250,150,,,,,,232
5200,-79,-81,90,3.9,250,150,,,,,,234
5240,-77,-81,90,4.3,250,150,,,,,,236
5280,-78,-81,90,3.8,250,150,,,,,,238
5320,-77,-81,90,4.2,250,150,,,,,,239
5360,-78,-81,90,4.1,250,150,,,,,,241
5400,-77,-82,90,4.1,250,150,,,,,,243
5440,-77,-82,90,4.3,250,150,,,,,,245
5480,-77,-81,90,4.2,250,150,,,,,,247
5520,-77,-82,90,4,250,150,,,,,,248
5560,-77,-81,90,4.5,250,150,,,,,,250
5600,-77,-80,90,4.3,250,150,,,,,,252
5640,-77,-81,90,4.7,250,150,,,,,,254
5680,-77,-81,90,4.3,250,150,,,,,,256
5720,-77,-80,90,4.6,250,150,,,,,,257
5760,-78,-81,90,4.2,250,150,,,,,,259
5800,-77,-81,90,4.6,250,150,,,,,,261
5840,-77,-80,90,4.5,250,150,,,,,,263
5880,-78,-81,90,4.8,250,150,,,,,,265
5920,-77,-81,90,4.9,250,150,,,,,,266
5960,-77,-80,90,4.6,250,150,,,,,,268
6000,-77,-81,90,4.5,250,150,,,,,,270
6040,-77,-81,90,5.1,250,150,,,,,,272
6080,-77,-81,90,4.6,250,150,,,,,,274
6120,-77,-80,90,4.9,250,150,,,,,,275
6160,-78,-80,90,5,250,150,,,,,,277
6200,-77,-80,90,4.8,250,150,,,,,,279
6240,-77,-80,90,5,250,150,,,,,,281
6280,-77,-80,90,5.3,250,150,,,,,,283
6320,-77,-79,90,5.3,250,150,,,,,,284
6360,-77,-80,90,4.8,250,150,,,,,,286
6400,-77,-80,90,4.8,250,150,,,,,,288
6440,-77,-80,90,5.5,250,150,,,,,,290
6480,-78,-80,90,4.9,250,150,,,,,,292
6520,-78,-80,90,5.5,250,150,,,,,,293
6560,-79,-81,90,5.3,250,150,,,,,,295
6600,-78,-80,90,5.4,250,150,,,,,,297
6640,-78,-80,90,5,250,150,,,,,,299
6680,-79,-81,90,5.2,250,150,,,,,,301
6720,-78,-80,90,5.5,250,150,,,,,,302
6760,-79,-81,90,5.6,250,150,,,,,,304
6800,-78,-81,90,5.6,250,150,,,,,,306
6840,-79,-81,90,5.5,250,150,,,,,,308
6880,-79,-80,90,5.9,250,150,,,,,,310
6920,-79,-80,90,5.5,250,150,,,,,,311
6960,-79,-81,90,5.4,250,150,,,,,,313
7000,-79,-81,90,5.4,250,150,,,,,,315
7040,-80,-81,90,5.8,250,150,,,,,,317
7080,-79,-81,90,6,250,150,,,,,,319
7120,-79,-82,90,5.8,250,150,,,,,,320
7160,-80,-81,90,5.5,250,150,,,,,,322
7200,-79,-82,78,5.6,250,150,,,,,,324
7240,-80,-81,67,6.1,250,150,,,,,,326
7280,-80,-82,56,6,250,150,,,,,,328
7320,-80,-82,46,5.9,250,150,,,,,,329
7360,-81,-81,46,5.6,250,150,,,,,,331
7400,-80,-82,46,5.9,250,150,,,,,,333
7440,-82,-82,46,5.8,250,150,,,,,,335
7480,-82,-81,46,6.1,250,150,,,,,,337
7520,-82,-82,46,5.8,250,150,,,,,,338
7560,-81,-83,56,6.1,250,150,,,,,,340
7600,-82,-82,67,6.2,250,150,,,,,,342
7640,-82,-83,78,6.3,250,150,,,,,,344
7680,-82,-82,88,5.8,250,150,,,,,,346
7720,-82,-84,90,5.8,250,150,,,,,,347
7760,-81,-84,90,6.1,250,150,,,,,,349
7800,-82,-84,90,5.7,250,150,,,,,,351
7840,-81,-84,90,6,250,150,,,,,,353
7880,-82,-84,90,5.9,250,150,,,,,,355
7920,-82,-84,90,5.9,250,150,,,,,,356
7960,-82,-83,90,6.2,250,150,,,,,,358
8000,-82,-83,90,6,250,150,,,,,,0
8040,-82,-85,90,6.1,250,150,,,,,,2
8080,-83,-84,90,5.7,250,150,,,,,,4
8120,-82,-84,90,6,250,150,,,,,,5
8160,-83,-85,90,5.6,250,150,,,,,,7
8200,-83,-85,90,6.3,250,150,,,,,,9
8240,-83,-85,90,6,250,150,,,,,,11
8280,-83,-84,90,5.6,250,150,,,,,,13
8320,-84,-85,90,5.7,250,150,,,,,,14
8360,-83,-85,90,5.7,250,150,,,,,,16
8400,-83,-85,90,6.2,250,150,,,,,,18
8440,-84,-84,90,5.8,250,150,,,,,,20
8480,-83,-85,90,5.6,250,150,,,,,,22
8520,-84,-85,90,6,250,150,,,,,,23
8560,-83,-85,90,6,250,150,,,,,,25
8600,-82,-85,90,5.5,250,150,,,,,,27
8640,-84,-85,90,5.7,250,150,,,,,,29
8680,-83,-86,90,5.5,250,150,,,,,,31
8720,-83,-86,90,5.5,250,150,,,,,,32
8760,-83,-86,90,5.6,250,150,,,,,,34
8800,-82,-86,90,5.9,250,150,,,,,,36
8840,-82,-86,90,5.5,250,150,,,,,,38
8880,-83,-85,90,5.2,250,150,,,,,,40
8920,-83,-87,90,5.6,250,150,,,,,,41
8960,-82,-85,90,5.1,250,150,,,,,,43
9000,-83,-85,90,5.6,250,150,,,,,,45
9040,-82,-85,90,5.2,250,150,,,,,,47
9080,-82,-86,90,5.1,250,150,,,,,,49
9120,-83,-86,90,5.1,250,150,,,,,,50
9160,-82,-85,90,5,250,150,,,,,,52
9200,-81,-86,91,5.2,250,150,,,,,,54
9240,-82,-86,90,5.3,250,150,,,,,,56
9280,-82,-86,90,5.3,250,150,,,,,,58
9320,-81,-86,90,5.3,250,150,,,,,,59
9360,-82,-85,90,5,250,150,,,,,,61
9400,-82,-87,90,5.2,250,150,,,,,,63
9440,-81,-86,90,4.9,250,150,,,,,,65
9480,-80,-86,91,4.7,250,150,,,,,,67
9520,-81,-86,90,4.8,250,150,,,,,,68
9560,-81,-85,90,4.8,250,150,,,,,,70
9600,-80,-85,90,4.7,250,150,,,,,,72
9640,-80,-86,90,4.5,250,150,,,,,,74
9680,-80,-85,90,4.9,250,150,,,,,,76
9720,-80,-86,90,4.9,250,150,,,,,,77
9760,-80,-86,90,4.5,250,150,,,,,,79
9800,-79,-85,90,4.4,250,150,,,,,,81
9840,-79,-86,90,4.8,250,150,,,,,,83
9880,-79,-85,90,4.6,250,150,,,,,,85
9920,-79,-85,90,4.8,250,150,,,,,,86
9960,-79,-85,90,4.3,250,150,,,,,,88
10000,-78,-84,90,4.6,250,150,,,,,,90
10040,-78,-85,90,4.1,250,150,,,,,,92
10080,-79,-85,90,4.2,250,150,,,,,,94
10120,-79,-85,90,4.3,250,150,,,,,,95
10160,-78,-84,90,4.5,250,150,,,,,,97
10200,-78,-85,90,4.1,250,150,,,,,,99
10240,-78,-85,90,4,250,150,,,,,,101
10280,-78,-84,90,4.5,250,150,,,,,,103
