ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-89,-89,85,4.3,100,250,,,,,,0
40,-87,-89,86,4.4,100,250,,,,,,1
80,-88,-89,85,4.7,100,250,,,,,,3
120,-88,-87,85,4,100,250,,,,,,4
160,-89,-87,86,4.5,100,250,,,,,,6
200,-88,-87,86,4.7,100,250,,,,,,7
240,-86,-88,86,4.1,100,250,,,,,,8
280,-87,-88,86,4.6,100,250,,,,,,10
320,-87,-87,86,4.1,100,250,,,,,,11
360,-88,-88,86,5.1,100,250,,,,,,13
400,-86,-87,85,4.4,100,250,,,,,,14
440,-86,-88,86,4.4,100,250,,,,,,15
480,-87,-87,87,4.2,100,250,,,,,,17
520,-87,-87,86,5,100,250,,,,,,18
560,-86,-88,86,4.3,100,250,,,,,,20
600,-87,-88,86,4.5,100,250,,,,,,21
640,-87,-87,86,4.8,100,250,,,,,,22
680,-85,-86,86,5.4,100,250,,,,,,24
720,-87,-87,88,4.6,100,250,,,,,,25
760,-85,-88,86,5.2,100,250,,,,,,27
800,-86,-86,87,5.2,100,250,,,,,,28
840,-86,-87,88,5.2,100,250,,,,,,29
880,-86,-87,88,5.5,100,250,,,,,,31
920,-84,-88,87,4.8,100,250,,,,,,32
960,-84,-88,87,5.4,100,250,,,,,,34
1000,-86,-88,86,5.1,100,250,,,,,,35
1040,-86,-88,87,5.7,100,250,,,,,,36
1080,-85,-87,86,5.4,100,250,,,,,,38
1120,-84,-87,86,5.9,100,250,,,,,,39
1160,-85,-87,87,5.5,100,250,,,,,,41
1200,-86,-88,86,5.1,100,250,,,,,,42
1240,-86,-88,86,5.5,100,250,,,,,,43
1280,-86,-88,86,5.1,100,250,,,,,,45
1320,-84,-87,88,6,100,250,,,,,,46
1360,-85,-88,87,5.1,100,250,,,,,,48
1400,-85,-88,87,5.9,100,250,,,,,,49
1440,-84,-87,87,5,100,250,,,,,,50
1480,-84,-88,87,5.7,100,250,,,,,,52
1520,-86,-89,87,5,100,250,,,,,,53
1560,-86,-89,87,6.1,100,250,,,,,,55
1600,-85,-89,86,5.5,100,250,,,,,,56
1640,-86,-89,85,6,100,250,,,,,,57
1680,-85,-88,87,5.1,100,250,,,,,,59
1720,-86,-87,85,5,100,250,,,,,,60
1760,-85,-87,85,5,100,250,,,,,,62
1800,-87,-90,85,5.4,100,250,,,,,,63
1840,-85,-88,86,5.5,100,250,,,,,,64
1880,-87,-90,86,6,100,250,,,,,,66
1920,-85,-88,86,5.3,100,250,,,,,,67
1960,-87,-88,85,5.3,100,250,,,,,,69
2000,-86,-90,86,4.8,100,250,,,,,,70
2040,-86,-89,85,5.5,100,250,,,,,,71
2080,-86,-90,85,5.2,100,250,,,,,,73
2120,-87,-90,85,5.1,100,250,,,,,,74
2160,-86,-90,84,5.7,100,250,,,,,,76
2200,-87,-91,84,5.4,100,250,,,,,,77
2240,-87,-90,85,5.6,100,250,,,,,,78
2280,-86,-90,84,4.6,100,250,,,,,,80
2320,-87,-91,83,4.6,100,250,,,,,,81
2360,-87,-91,83,5.2,100,250,,,,,,83
2400,-87,-89,83,5.1,100,250,,,,,,84
2440,-88,-90,83,4.9,100,250,,,,,,85
2480,-87,-92,84,5.1,100,250,,,,,,87
2520,-88,-90,83,4.3,100,250,,,,,,88
2560,-88,-91,83,4.3,100,250,,,,,,90
2600,-89,-91,83,4.5,100,250,,,,,,91
2640,-89,-91,83,4.1,100,250,,,,,,92
2680,-88,-91,82,4.8,100,250,,,,,,94
2720,-90,-92,83,4.6,100,250,,,,,,95
2760,-89,-91,83,4.5,100,250,,,,,,97
2800,-89,-91,83,4.6,100,250,,,,,,98
2840,-89,-92,82,4.6,100,250,,,,,,99
2880,-90,-91,82,4.3,100,250,,,,,,101
2920,-89,-93,82,4.1,100,250,,,,,,102
2960,-90,-92,81,4.5,100,250,,,,,,104
3000,-91,-92,82,3.7,100,250,,,,,,105
3040,-91,-92,81,3.6,100,250,,,,,,106
3080,-91,-92,81,4.7,100,250,,,,,,108
3120,-91,-92,81,4.1,100,250,,,,,,109
3160,-90,-92,82,4.2,100,250,,,,,,111
3200,-89,-93,81,7.9,100,250,,,,,,112
3240,-90,-93,81,-8.4,100,250,,,,,,113
3280,-91,-91,81,9.6,100,250,,,,,,115
3320,-91,-91,82,-6.9,100,250,,,,,,116
3360,-91,-94,82,9.7,100,250,,,,,,118
3400,-91,-92,80,-6.2,100,250,,,,,,119
3440,-90,-93,81,10.5,100,250,,,,,,120
3480,-90,-92,81,-6.3,100,250,,,,,,122
3520,-91,-94,80,9,100,250,,,,,,123
3560,-91,-92,80,-6,100,250,,,,,,125
3600,-92,-94,82,9,100,250,,,,,,126
3640,-92,-93,81,-8.3,100,250,,,,,,127
3680,-90,-92,80,10.2,100,250,,,,,,129
3720,-92,-93,81,-6.3,100,250,,,,,,130
3760,-92,-93,81,8.6,100,250,,,,,,132
3800,-91,-93,82,-6.7,100,250,,,,,,133
3840,-91,-94,81,8.5,100,250,,,,,,134
3880,-90,-94,81,-7.2,100,250,,,,,,136
3920,-91,-93,81,9,100,250,,,,,,137
3960,-90,-93,82,-7.2,100,250,,,,,,139
4000,-90,-92,82,10.2,100,250,,,,,,140
4040,-90,-93,82,-6,100,250,,,,,,141
4080,-91,-93,81,10.5,100,250,,,,,,143
4120,-90,-92,82,-8.2,100,250,,,,,,144
4160,-90,-93,82,8.1,100,250,,,,,,146
4200,-91,-92,83,-6.7,100,250,,,,,,147
