ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-93,-94,73,1.1,500,250,,,,,,0
40,-94,-93,73,2.1,500,250,,,,,,1
80,-94,-93,73,1.8,500,250,,,,,,2
120,-93,-94,73,1.9,500,250,,,,,,3
160,-93,-94,74,2.3,500,250,,,,,,4
200,-94,-95,73,2.2,500,250,,,,,,5
240,-93,-94,75,2.3,500,250,,,,,,6
280,-93,-94,73,2.4,500,250,,,,,,7
320,-93,-92,75,2.1,500,250,,,,,,8
360,-93,-93,75,1.6,500,250,,,,,,9
400,-93,-93,74,1.9,500,250,,,,,,10
440,-91,-94,74,2.6,500,250,,,,,,11
480,-93,-93,74,1.6,500,250,,,,,,12
520,-91,-93,75,1.9,500,250,,,,,,13
560,-92,-94,74,1.9,500,250,,,,,,14
600,-92,-93,75,2.8,500,250,,,,,,15
640,-91,-92,75,2.8,500,250,,,,,,16
680,-92,-92,75,2.1,500,250,,,,,,17
720,-93,-93,76,2.1,500,250,,,,,,18
760,-92,-94,74,2.1,500,250,,,,,,19
800,-93,-93,74,2.7,500,250,,,,,,20
840,-91,-93,75,2.4,500,250,,,,,,21
880,-90,-93,74,2.8,500,250,,,,,,22
920,-90,-94,75,3,500,250,,,,,,23
960,-92,-93,75,2.2,500,250,,,,,,24
1000,-92,-92,76,2.7,500,250,,,,,,25
1040,-90,-92,75,2.9,500,250,,,,,,26
1080,-91,-92,75,2.7,500,250,,,,,,27
1120,-91,-93,75,3,500,250,,,,,,28
1160,-90,-93,75,2.6,500,250,,,,,,29
1200,-92,-93,74,2.6,500,250,,,,,,30
1240,-92,-94,75,2.8,500,250,,,,,,31
1280,-92,-93,75,3.4,500,250,,,,,,32
1320,-91,-95,74,3.1,500,250,,,,,,33
1360,-90,-93,75,2.5,500,250,,,,,,34
1400,-92,-93,75,3,500,250,,,,,,35
1440,-92,-94,74,3.3,500,250,,,,,,36
1480,-90,-93,74,2.6,500,250,,,,,,37
1520,-91,-94,74,3.3,500,250,,,,,,38
1560,-90,-94,74,3.6,500,250,,,,,,39
1600,-90,-95,75,3.6,500,250,,,,,,40
1640,-92,-94,74,2.9,500,250,,,,,,41
1680,-91,-94,75,3.3,500,250,,,,,,42
1720,-92,-95,74,3.5,500,250,,,,,,43
1760,-92,-94,74,2.8,500,250,,,,,,44
1800,-91,-95,75,2.9,500,250,,,,,,45
1840,-91,-94,74,3,500,250,,,,,,46
1880,-91,-94,73,3.3,500,250,,,,,,47
1920,-91,-94,73,2.9,500,250,,,,,,48
1960,-91,-95,73,2.3,500,250,,,,,,49
2000,-93,-96,73,2.6,500,250,,,,,,50
2040,-93,-95,72,3.4,500,250,,,,,,51
2080,-92,-96,72,2.9,500,250,,,,,,52
2120,-92,-97,73,3.2,500,250,,,,,,53
2160,-92,-97,71,3.1,500,250,,,,,,54
2200,-93,-95,72,2.7,500,250,,,,,,55
2240,-92,-96,73,2.6,500,250,,,,,,56
2280,-92,-95,72,2.7,500,250,,,,,,57
2320,-93,-95,72,2.3,500,250,,,,,,58
2360,-94,-96,72,2.4,500,250,,,,,,59
2400,-93,-97,72,2.2,500,250,,,,,,60
2440,-93,-97,72,2.1,500,250,,,,,,61
2480,-94,-96,71,2.2,500,250,,,,,,62
2520,-95,-97,71,2.9,500,250,,,,,,63
2560,-93,-97,71,2.3,500,250,,,,,,64
2600,-95,-98,71,2.3,500,250,,,,,,65
2640,-95,-98,70,2.7,500,250,,,,,,66
2680,-94,-98,71,1.6,500,250,,,,,,67
2720,-94,-97,70,2.5,500,250,,,,,,68
2760,-95,-96,70,2.2,500,250,,,,,,69
2800,-96,-98,70,2.3,500,250,,,,,,70
2840,-94,-98,69,2.5,500,250,,,,,,71
2880,-95,-98,71,2.4,500,250,,,,,,72
2920,-97,-98,71,2.1,500,250,,,,,,73
2960,-95,-97,70,1.2,500,250,,,,,,74
3000,-95,-98,70,1.3,500,250,,,,,,75
3040,-95,-98,70,1.7,500,250,,,,,,76
3080,-96,-99,69,1.4,500,250,,,,,,77
3120,-96,-99,70,1.4,500,250,,,,,,78
3160,-96,-98,68,2,500,250,,,,,,79
3200,-96,-98,70,2,500,250,,,,,,80
3240,-96,-98,68,1.9,500,250,,,,,,81
3280,-97,-98,69,1.2,500,250,,,,,,82
3320,-96,-98,69,1.8,500,250,,,,,,83
3360,-97,-99,70,1.1,500,250,,,,,,84
3400,-97,-98,70,1.6,500,250,,,,,,85
3440,-98,-98,69,0.8,500,250,,,,,,86
3480,-96,-99,68,0.8,500,250,,,,,,87
3520,-97,-98,68,0.9,500,250,,,,,,88
3560,-97,-99,68,0.8,500,250,,,,,,89
3600,-98,-99,69,0.8,500,250,,,,,,90
3640,-98,-99,70,0.3,500,250,,,,,,91
3680,-96,-98,68,0.3,500,250,,,,,,92
3720,-96,-98,70,0.3,500,250,,,,,,93
3760,-98,-99,70,0.2,500,250,,,,,,94
3800,-97,-98,69,0.9,500,250,,,,,,95
3840,-97,-99,69,1,500,250,,,,,,96
3880,-98,-99,70,0.4,500,250,,,,,,97
3920,-97,-99,69,0.2,500,250,,,,,,98
3960,-97,-99,70,0.2,500,250,,,,,,99
4000,-96,-99,70,-0.1,500,250,,,,,,100
4040,-96,-99,70,0.9,500,250,,,,,,101
4080,-96,-98,69,0.1,500,250,,,,,,102
4120,-96,-98,70,-0.1,500,250,,,,,,103
4160,-98,-99,69,0.2,500,250,,,,,,104
4200,-97,-99,69,0.4,500,250,,,,,,105
4240,-97,-99,71,0.3,500,250,,,,,,106
4280,-97,-99,70,0.4,500,250,,,,,,107
4320,-97,-98,71,0.1,500,250,,,,,,108
4360,-95,-98,71,0.1,500,250,,,,,,109
4400,-96,-99,71,-0.3,500,250,,,,,,110
4440,-97,-99,70,0.2,500,250,,,,,,111
4480,-97,-99,71,-0.2,500,250,,,,,,112
4520,-97,-98,72,0.3,500,250,,,,,,113
4560,-94,-99,71,-0.6,500,250,,,,,,114
4600,-95,-98,72,-0.1,500,250,,,,,,115
4640,-96,-98,71,0.6,500,250,,,,,,116
4680,-96,-97,72,-0.3,500,250,,,,,,117
4720,-96,-99,72,0.1,500,250,,,,,,118
4760,-95,-98,72,0,500,250,,,,,,119
4800,-94,-98,72,-0.6,500,250,,,,,,120
4840,-94,-99,73,0.4,500,250,,,,,,121
4880,-95,-97,71,0.4,500,250,,,,,,122
4920,-95,-97,73,0.5,500,250,,,,,,123
4960,-94,-97,73,-0.2,500,250,,,,,,124
5000,-94,-97,72,0.4,500,250,,,,,,125
