ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-56,-94,91,6,100,500,,,,,,0
40,-57,-94,90,6.2,100,500,,,,,,2
80,-56,-93,91,6.7,100,500,,,,,,4
120,-56,-95,92,6.4,100,500,,,,,,5
160,-55,-93,91,6.5,100,500,,,,,,7
200,-56,-95,92,6.1,100,500,,,,,,9
240,-56,-91,91,7,100,500,,,,,,11
280,-54,-93,91,6.5,100,500,,,,,,13
320,-54,-94,92,5.7,100,500,,,,,,14
360,-55,-93,93,6.3,100,500,,,,,,16
400,-54,-92,91,6.3,100,500,,,,,,18
440,-55,-91,93,6.3,100,500,,,,,,20
480,-54,-95,92,7.2,100,500,,,,,,22
520,-55,-91,93,6.8,100,500,,,,,,23
560,-53,-94,93,6.8,100,500,,,,,,25
600,-55,-91,93,6.4,100,500,,,,,,27
640,-53,-93,92,7.3,100,500,,,,,,29
680,-54,-95,93,6.2,100,500,,,,,,31
720,-54,-95,93,6.7,100,500,,,,,,32
760,-53,-92,94,7.5,100,500,,,,,,34
800,-53,-96,93,7.2,100,500,,,,,,36
840,-53,-93,92,7.9,100,500,,,,,,38
880,-53,-96,93,7.3,100,500,,,,,,40
920,-54,-94,94,6.7,100,500,,,,,,41
960,-53,-96,93,7,100,500,,,,,,43
1000,-53,-95,92,6.8,100,500,,,,,,45
1040,-52,-94,94,6.9,100,500,,,,,,47
1080,-52,-96,93,7.2,100,500,,,,,,49
1120,-52,-96,94,8,100,500,,,,,,50
1160,-54,-99,94,7,100,500,,,,,,52
1200,-53,-98,93,6.8,100,500,,,,,,54
1240,-54,-99,93,8.2,100,500,,,,,,56
1280,-54,-99,94,8.1,100,500,,,,,,58
1320,-53,-97,92,7.1,100,500,,,,,,59
1360,-54,-99,93,7.9,100,500,,,,,,61
1400,-53,-99,92,8.2,100,500,,,,,,63
1440,-53,-99,93,7.9,100,500,,,,,,65
1480,-53,-99,92,7.7,100,500,,,,,,67
1520,-53,-99,92,7.3,100,500,,,,,,68
1560,-53,-99,93,7.9,100,500,,,,,,70
1600,-54,-99,92,7.4,100,500,,,,,,72
1640,-53,-99,92,7,100,500,,,,,,74
1680,-54,-99,93,7.8,100,500,,,,,,76
1720,-53,-99,93,8.3,100,500,,,,,,77
1760,-53,-99,91,7.4,100,500,,,,,,79
1800,-54,-99,91,8.1,100,500,,,,,,81
1840,-53,-99,93,8,100,500,,,,,,83
1880,-53,-99,92,7.4,100,500,,,,,,85
1920,-53,-99,93,7.4,100,500,,,,,,86
1960,-55,-98,92,7.8,100,500,,,,,,88
2000,-53,-99,92,6.9,100,500,,,,,,90
2040,-55,-99,91,8,100,500,,,,,,92
2080,-55,-99,91,7.3,100,500,,,,,,94
2120,-54,-98,91,7.6,100,500,,,,,,95
2160,-56,-99,91,6.8,100,500,,,,,,97
2200,-55,-98,90,7.9,100,500,,,,,,99
2240,-56,-97,90,7.3,100,500,,,,,,101
2280,-55,-99,89,7,100,500,,,,,,103
2320,-54,-99,90,7.1,100,500,,,,,,104
2360,-55,-99,91,7.4,100,500,,,,,,106
2400,-56,-97,91,7.2,100,500,,,,,,108
2440,-56,-96,90,6.8,100,500,,,,,,110
2480,-55,-95,91,6.8,100,500,,,,,,112
2520,-57,-99,90,6.7,100,500,,,,,,113
2560,-57,-98,89,6.9,100,500,,,,,,115
2600,-57,-95,89,6.7,100,500,,,,,,117
2640,-57,-94,90,6.1,100,500,,,,,,119
2680,-56,-96,88,6.2,100,500,,,,,,121
2720,-57,-94,89,7,100,500,,,,,,122
2760,-57,-95,88,5.8,100,500,,,,,,124
2800,-58,-94,88,6.5,100,500,,,,,,126
2840,-58,-93,87,5.7,100,500,,,,,,128
2880,-58,-92,89,6.3,100,500,,,,,,130
2920,-57,-95,88,6.7,100,500,,,,,,131
2960,-58,-95,88,6.7,100,500,,,,,,133
3000,-57,-91,89,6.7,100,500,,,,,,135
3040,-58,-93,87,5.5,100,500,,,,,,137
3080,-58,-91,88,6,100,500,,,,,,139
3120,-58,-92,87,6.5,100,500,,,,,,140
3160,-57,-93,87,6.3,100,500,,,,,,142
3200,-58,-91,88,6,100,500,,,,,,144
3240,-58,-93,88,6.6,100,500,,,,,,146
3280,-59,-92,87,5.7,100,500,,,,,,148
3320,-59,-91,88,6.2,100,500,,,,,,149
3360,-58,-93,87,6.4,100,500,,,,,,151
3400,-59,-93,86,4.9,100,500,,,,,,153
3440,-58,-96,88,6.2,100,500,,,,,,155
3480,-58,-93,88,6.2,100,500,,,,,,157
3520,-58,-96,86,5.3,100,500,,,,,,158
3560,-59,-94,88,5.2,100,500,,,,,,160
3600,-117,-118,0,5,100,500,,,,,,162
3640,-121,-120,0,6,100,500,,,,,,164
3680,-122,-117,0,6,100,500,,,,,,166
3720,-58,-97,87,4.6,100,500,,,,,,167
3760,-59,-94,87,5.3,100,500,,,,,,169
3800,-59,-99,87,4.3,100,500,,,,,,171
3840,-59,-97,88,5.3,100,500,,,,,,173
3880,-58,-96,87,4.5,100,500,,,,,,175
3920,-59,-99,87,5.3,100,500,,,,,,176
3960,-59,-96,87,5.7,100,500,,,,,,178
4000,-59,-99,87,5.6,100,500,,,,,,180
4040,-59,-96,87,5.1,100,500,,,,,,182
4080,-58,-99,87,5.5,100,500,,,,,,184
4120,-58,-99,87,5.5,100,500,,,,,,185
4160,-58,-99,87,4.2,100,500,,,,,,187
4200,-59,-99,88,4,100,500,,,,,,189
4240,-58,-99,87,4.3,100,500,,,,,,191
4280,-59,-99,89,4.3,100,500,,,,,,193
4320,-59,-99,87,5.4,100,500,,,,,,194
4360,-58,-99,89,4.1,100,500,,,,,,196
4400,-58,-99,87,3.8,100,500,,,,,,198
4440,-57,-99,88,4.4,100,500,,,,,,200
4480,-57,-99,88,4.1,100,500,,,,,,202
4520,-57,-99,88,4.8,100,500,,,,,,203
4560,-57,-99,89,5,100,500,,,,,,205
4600,-57,-99,90,5.1,100,500,,,,,,207
4640,-57,-99,89,4.1,100,500,,,,,,209
4680,-57,-99,89,3.9,100,500,,,,,,211
4720,-58,-99,88,4.2,100,500,,,,,,212
4760,-57,-99,90,5.1,100,500,,,,,,214
4800,-57,-98,89,3.9,100,500,,,,,,216
4840,-57,-99,89,3.9,100,500,,,,,,218
4880,-57,-99,91,4.3,100,500,,,,,,220
4920,-56,-98,89,4.5,100,500,,,,,,221
4960,-55,-99,90,4.1,100,500,,,,,,223
5000,-55,-97,90,4.8,100,500,,,,,,225
5040,-56,-98,90,4.6,100,500,,,,,,227
5080,-55,-96,90,4.5,100,500,,,,,,229
5120,-56,-97,90,4.5,100,500,,,,,,230
5160,-56,-98,92,4.5,100,500,,,,,,232
5200,-56,-99,92,4.3,100,500,,,,,,234
5240,-55,-96,90,5.1,100,500,,,,,,236
5280,-55,-95,93,4.9,100,500,,,,,,238
5320,-55,-96,92,4.7,100,500,,,,,,239
5360,-54,-96,92,4.8,100,500,,,,,,241
5400,-54,-94,93,5.6,100,500,,,,,,243
5440,-54,-97,93,5.6,100,500,,,,,,245
5480,-54,-97,92,4.4,100,500,,,,,,247
5520,-54,-92,92,5.5,100,500,,,,,,248
5560,-54,-96,93,5.5,100,500,,,,,,250
5600,-55,-92,93,4.8,100,500,,,,,,252
5640,-54,-95,93,4.5,100,500,,,,,,254
5680,-54,-93,92,4.8,100,500,,,,,,256
5720,-55,-95,93,4.5,100,500,,,,,,257
5760,-54,-92,93,5.6,100,500,,,,,,259
5800,-54,-92,93,5.8,100,500,,,,,,261
5840,-54,-95,93,6.1,100,500,,,,,,263
5880,-52,-95,93,5.6,100,500,,,,,,265
5920,-54,-95,93,5.5,100,500,,,,,,266
5960,-53,-95,94,6.1,100,500,,,,,,268
6000,-53,-92,93,5.2,100,500,,,,,,270
6040,-53,-92,93,5,100,500,,,,,,272
6080,-53,-94,92,6.5,100,500,,,,,,274
6120,-53,-92,94,5.8,100,500,,,,,,275
6160,-54,-95,94,5.7,100,500,,,,,,277
6200,-52,-95,93,6.5,100,500,,,,,,279
6240,-52,-94,92,6,100,500,,,,,,281
6280,-53,-94,94,6.4,100,500,,,,,,283
6320,-54,-94,92,6.6,100,500,,,,,,284
6360,-54,-96,92,6.9,100,500,,,,,,286
6400,-54,-96,94,5.7,100,500,,,,,,288
6440,-52,-95,92,5.5,100,500,,,,,,290
6480,-53,-95,94,6.2,100,500,,,,,,292
6520,-53,-97,92,7,100,500,,,,,,293
6560,-54,-95,93,7,100,500,,,,,,295
6600,-53,-95,94,6.3,100,500,,,,,,297
6640,-53,-99,91,7.2,100,500,,,,,,299
6680,-54,-99,91,6.7,100,500,,,,,,301
6720,-53,-96,93,7.4,100,500,,,,,,302
6760,-54,-98,93,7.4,100,500,,,,,,304
6800,-54,-96,92,6.5,100,500,,,,,,306
6840,-54,-98,93,7.4,100,500,,,,,,308
6880,-55,-97,91,6.7,100,500,,,,,,310
6920,-55,-99,91,6.4,100,500,,,,,,311
6960,-55,-99,91,6.7,100,500,,,,,,313
7000,-54,-99,92,6.5,100,500,,,,,,315
7040,-53,-99,91,6.7,100,500,,,,,,317
7080,-54,-99,91,7.1,100,500,,,,,,319
7120,-54,-99,90,7.4,100,500,,,,,,320
7160,-55,-99,90,7.3,100,500,,,,,,322
7200,-55,-99,90,6.5,100,500,,,,,,324
7240,-54,-99,91,6.8,100,500,,,,,,326
7280,-55,-99,91,7,100,500,,,,,,328
7320,-56,-99,90,6.7,100,500,,,,,,329
7360,-55,-99,90,6.9,100,500,,,,,,331
7400,-55,-99,91,7.6,100,500,,,,,,333
7440,-56,-99,89,7,100,500,,,,,,335
7480,-57,-99,90,7.5,100,500,,,,,,337
7520,-56,-99,89,6.9,100,500,,,,,,338
7560,-56,-99,90,7.4,100,500,,,,,,340
7600,-56,-99,89,7.1,100,500,,,,,,342
7640,-56,-99,88,7.1,100,500,,,,,,344
7680,-57,-99,89,6.8,100,500,,,,,,346
7720,-56,-99,88,7,100,500,,,,,,347
7760,-57,-99,88,6.8,100,500,,,,,,349
7800,-56,-99,88,6.8,100,500,,,,,,351
7840,-58,-99,89,6.8,100,500,,,,,,353
7880,-57,-99,88,7.4,100,500,,,,,,355
7920,-57,-99,87,8.1,100,500,,,,,,356
7960,-57,-99,89,7,100,500,,,,,,358
8000,-57,-99,88,7.5,100,500,,,,,,0
8040,-58,-99,89,7.4,100,500,,,,,,2
8080,-57,-98,88,7.3,100,500,,,,,,4
8120,-57,-95,88,6.8,100,500,,,,,,5
8160,-58,-97,89,7.3,100,500,,,,,,7
8200,-59,-94,88,7.2,100,500,,,,,,9
8240,-59,-94,87,8,100,500,,,,,,11
8280,-58,-93,88,7,100,500,,,,,,13
8320,-59,-95,88,6.8,100,500,,,,,,14
8360,-58,-94,87,7.4,100,500,,,,,,16
8400,-58,-96,86,7.6,100,500,,,,,,18
8440,-60,-93,86,6.9,100,500,,,,,,20
8480,-58,-95,87,6.7,100,500,,,,,,22
8520,-58,-95,87,6.8,100,500,,,,,,23
8560,-60,-91,87,6.9,100,500,,,,,,25
8600,-59,-91,86,7.1,100,500,,,,,,27
8640,-59,-91,86,6.3,100,500,,,,,,29
8680,-60,-94,87,7,100,500,,,,,,31
8720,-59,-93,87,7,100,500,,,,,,32
8760,-59,-92,88,6.2,100,500,,,,,,34
8800,-58,-91,86,6.6,100,500,,,,,,36
8840,-58,-94,88,7.5,100,500,,,,,,38
8880,-59,-94,88,7,100,500,,,,,,40
8920,-58,-93,88,7.1,100,500,,,,,,41
8960,-59,-95,87,6.5,100,500,,,,,,43
9000,-60,-94,86,7,100,500,,,,,,45
9040,-59,-94,87,7.2,100,500,,,,,,47
9080,-58,-92,88,6.7,100,500,,,,,,49
9120,-59,-94,87,6.2,100,500,,,,,,50
9160,-58,-95,88,6.6,100,500,,,,,,52
9200,-115,-113,0,5.8,100,500,,,,,,54
9240,-118,-113,0,6.1,100,500,,,,,,56
9280,-117,-115,0,6.5,100,500,,,,,,58
9320,-115,-116,0,6.3,100,500,,,,,,59
9360,-118,-114,0,6.6,100,500,,,,,,61
9400,-57,-99,89,6.5,100,500,,,,,,63
9440,-58,-98,88,6.1,100,500,,,,,,65
9480,-58,-98,88,6.2,100,500,,,,,,67
9520,-57,-99,88,6.1,100,500,,,,,,68
9560,-57,-97,88,6.1,100,500,,,,,,70
9600,-58,-96,90,5.7,100,500,,,,,,72
9640,-58,-98,88,5,100,500,,,,,,74
9680,-58,-98,89,5.9,100,500,,,,,,76
9720,-56,-99,89,4.9,100,500,,,,,,77
9760,-57,-98,90,6.2,100,500,,,,,,79
9800,-56,-99,90,6.1,100,500,,,,,,81
9840,-56,-99,89,4.7,100,500,,,,,,83
9880,-57,-99,91,5.6,100,500,,,,,,85
9920,-56,-98,90,5.6,100,500,,,,,,86
9960,-56,-99,91,6,100,500,,,,,,88
10000,-57,-99,90,4.4,100,500,,,,,,90
10040,-57,-99,91,5.7,100,500,,,,,,92
10080,-56,-99,91,4.8,100,500,,,,,,94
10120,-55,-99,90,5.7,100,500,,,,,,95
10160,-55,-99,91,5.1,100,500,,,,,,97
10200,-56,-99,91,5.5,100,500,,,,,,99
10240,-54,-99,91,4.7,100,500,,,,,,101
10280,-55,-99,91,5.2,100,500,,,,,,103
10320,-56,-99,92,4.9,100,500,,,,,,104
10360,-54,-99,92,4.1,100,500,,,,,,106
10400,-54,-99,91,5.5,100,500,,,,,,108
10440,-54,-99,92,5.4,100,500,,,,,,110
10480,-55,-99,91,4.7,100,500,,,,,,112
10520,-55,-98,92,4.8,100,500,,,,,,113
10560,-55,-99,93,5.2,100,500,,,,,,115
10600,-54,-99,92,4.5,100,500,,,,,,117
10640,-55,-97,93,4.3,100,500,,,,,,119
10680,-53,-99,91,4.6,100,500,,,,,,121
10720,-53,-98,93,4.1,100,500,,,,,,122
10760,-54,-99,93,3.9,100,500,,,,,,124
10800,-53,-99,92,4.4,100,500,,,,,,126
10840,-53,-97,94,3.8,100,500,,,,,,128
10880,-53,-97,93,4.7,100,500,,,,,,130
10920,-53,-98,92,3.8,100,500,,,,,,131
10960,-54,-94,92,4.4,100,500,,,,,,133
11000,-54,-95,92,4.6,100,500,,,,,,135
11040,-54,-98,93,4.9,100,500,,,,,,137
11080,-54,-96,93,3.9,100,500,,,,,,139
11120,-53,-93,92,4,100,500,,,,,,140
11160,-53,-96,93,3.8,100,500,,,,,,142
11200,-53,-92,92,4.4,100,500,,,,,,144
11240,-53,-96,94,4,100,500,,,,,,146
11280,-52,-92,93,4.4,100,500,,,,,,148
11320,-54,-94,94,4.4,100,500,,,,,,149
11360,-53,-91,93,4.4,100,500,,,,,,151
11400,-52,-94,94,4.6,100,500,,,,,,153
11440,-52,-95,92,5.2,100,500,,,,,,155
11480,-53,-91,94,4,100,500,,,,,,157
11520,-54,-93,93,4.2,100,500,,,,,,158
11560,-53,-95,92,4.1,100,500,,,,,,160
11600,-54,-92,93,5.3,100,500,,,,,,162
11640,-53,-94,93,5.5,100,500,,,,,,164
11680,-54,-91,91,4.3,100,500,,,,,,166
11720,-54,-95,92,4.6,100,500,,,,,,167
11760,-53,-95,91,5,100,500,,,,,,169
11800,-53,-96,92,4.7,100,500,,,,,,171
11840,-54,-96,91,4.5,100,500,,,,,,173
