ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-58,-90,94,6.2,100,250,,,,,,0
40,-58,-93,94,6.5,100,250,,,,,,1
80,-58,-91,94,6,100,250,,,,,,3
120,-58,-89,94,5.9,100,250,,,,,,4
160,-58,-89,93,6.8,100,250,,,,,,6
200,-58,-90,94,6.1,100,250,,,,,,7
240,-57,-92,94,5.6,100,250,,,,,,8
280,-57,-89,94,6.4,100,250,,,,,,10
320,-57,-88,95,6.3,100,250,,,,,,11
360,-57,-89,94,6.2,100,250,,,,,,13
400,-56,-92,96,7.1,100,250,,,,,,14
440,-56,-90,95,7.3,100,250,,,,,,15
480,-56,-90,95,6.4,100,250,,,,,,17
520,-56,-89,96,7.4,100,250,,,,,,18
560,-56,-92,95,6.4,100,250,,,,,,20
600,-55,-88,95,6.6,100,250,,,,,,21
640,-57,-89,94,6.7,100,250,,,,,,22
680,-56,-88,95,7.3,100,250,,,,,,24
720,-56,-93,96,6.3,100,250,,,,,,25
760,-56,-89,96,6.9,100,250,,,,,,27
800,-55,-92,96,6.5,100,250,,,,,,28
840,-56,-92,96,7.6,100,250,,,,,,29
880,-55,-93,97,7.3,100,250,,,,,,31
920,-54,-92,97,6.5,100,250,,,,,,32
960,-56,-91,96,7.3,100,250,,,,,,34
1000,-55,-93,96,6.8,100,250,,,,,,35
1040,-56,-94,96,6.9,100,250,,,,,,36
1080,-55,-95,96,7.6,100,250,,,,,,38
1120,-55,-93,96,6.9,100,250,,,,,,39
1160,-54,-94,97,6.8,100,250,,,,,,41
1200,-55,-94,96,7.9,100,250,,,,,,42
1240,-54,-93,96,7.8,100,150,,,,,,43
1280,-54,-94,97,8.2,100,500,,,,,,45
1320,-55,-96,96,7.6,100,250,,,,,,46
1360,-55,-95,97,7.9,100,500,,,,,,48
1400,-55,-97,95,6.7,100,150,,,,,,49
1440,-56,-98,95,8,100,250,,,,,,50
1480,-56,-96,95,7.5,100,150,,,,,,52
1520,-56,-99,96,7.8,100,500,,,,,,53
1560,-55,-99,95,8.3,100,250,,,,,,55
1600,-54,-98,95,8,100,500,,,,,,56
1640,-54,-96,96,7.2,100,150,,,,,,57
1680,-55,-98,95,8,100,250,,,,,,59
1720,-55,-97,95,7.2,100,150,,,,,,60
1760,-55,-98,96,6.9,100,500,,,,,,62
1800,-56,-97,96,6.9,100,250,,,,,,63
1840,-55,-99,95,6.8,100,500,,,,,,64
1880,-56,-97,96,6.7,100,150,,,,,,66
1920,-56,-99,96,7.3,100,250,,,,,,67
1960,-56,-98,95,7.1,100,150,,,,,,69
2000,-56,-95,93,8,100,500,,,,,,70
2040,-57,-97,95,6.7,100,250,,,,,,71
2080,-57,-96,94,7.2,100,500,,,,,,73
2120,-56,-95,94,7.8,100,150,,,,,,74
2160,-56,-97,95,6.5,100,250,,,,,,76
2200,-58,-94,93,7.5,100,150,,,,,,77
2240,-57,-95,93,6.6,100,500,,,,,,78
2280,-58,-94,93,6.8,100,250,,,,,,80
2320,-57,-97,93,7,100,500,,,,,,81
2360,-57,-95,92,7.1,100,150,,,,,,83
2400,-57,-92,92,6.6,100,250,,,,,,84
2440,-57,-95,92,7.7,100,150,,,,,,85
2480,-57,-96,91,6.9,100,500,,,,,,87
2520,-59,-93,93,6.7,100,250,,,,,,88
2560,-58,-95,92,6.7,100,500,,,,,,90
2600,-59,-95,93,6.6,100,150,,,,,,91
2640,-59,-93,91,6.2,100,250,,,,,,92
2680,-58,-91,92,6.4,100,150,,,,,,94
2720,-59,-93,93,7.3,100,500,,,,,,95
2760,-58,-91,91,6.6,100,250,,,,,,97
2800,-59,-93,91,6.8,100,500,,,,,,98
2840,-59,-90,91,6,100,150,,,,,,99
2880,-59,-89,90,6.9,100,250,,,,,,101
2920,-59,-93,91,6.2,100,150,,,,,,102
2960,-60,-92,92,6.6,100,500,,,,,,104
3000,-59,-88,91,6.7,100,250,,,,,,105
3040,-60,-91,91,5.7,100,500,,,,,,106
3080,-61,-89,90,5.5,100,150,,,,,,108
3120,-59,-91,90,6.6,100,250,,,,,,109
3160,-61,-91,90,6.2,100,150,,,,,,111
3200,-60,-90,90,6.7,100,500,,,,,,112
3240,-60,-91,89,6.2,100,250,,,,,,113
3280,-61,-90,90,6.4,100,500,,,,,,115
3320,-61,-92,89,6.3,100,150,,,,,,116
3360,-60,-92,91,6.1,100,250,,,,,,118
3400,-61,-89,89,6.3,100,150,,,,,,119
3440,-61,-90,91,5.2,100,500,,,,,,120
3480,-60,-90,89,6.3,100,250,,,,,,122
3520,-60,-92,89,5.7,100,500,,,,,,123
3560,-61,-90,91,5,100,150,,,,,,125
3600,-60,-90,91,5.5,100,250,,,,,,126
3640,-61,-94,90,6.1,100,150,,,,,,127
3680,-60,-91,91,5,100,500,,,,,,129
3720,-61,-95,89,5.5,100,250,,,,,,130
3760,-62,-93,90,5.2,100,500,,,,,,132
3800,-62,-91,90,5.8,100,150,,,,,,133
3840,-61,-93,89,5.3,100,250,,,,,,134
3880,-61,-95,89,5.3,100,150,,,,,,136
3920,-62,-94,89,5.4,100,500,,,,,,137
3960,-60,-97,90,4.6,100,250,,,,,,139
4000,-62,-94,90,5.4,100,500,,,,,,140
4040,-61,-96,89,5.3,100,150,,,,,,141
4080,-61,-94,90,4.1,100,250,,,,,,143
4120,-60,-98,92,4,100,150,,,,,,144
4160,-60,-98,91,5.5,100,500,,,,,,146
4200,-60,-94,91,4,100,250,,,,,,147
4240,-61,-96,90,4.9,100,500,,,,,,148
4280,-60,-97,91,4.5,100,150,,,,,,150
4320,-61,-99,91,4.3,100,250,,,,,,151
4360,-61,-99,90,4.2,100,150,,,,,,153
4400,-60,-97,92,4.6,100,500,,,,,,154
4440,-60,-96,92,4,100,250,,,,,,155
4480,-61,-99,91,4.7,100,500,,,,,,157
4520,-59,-99,91,4.1,100,150,,,,,,158
4560,-59,-98,93,4.1,100,250,,,,,,160
4600,-59,-97,93,4.8,100,150,,,,,,161
4640,-58,-99,93,4.8,100,500,,,,,,162
4680,-59,-98,93,4.5,100,250,,,,,,164
4720,-60,-97,91,4.7,100,500,,,,,,165
4760,-60,-96,93,5.1,100,150,,,,,,167
4800,-59,-96,92,4.8,100,250,,,,,,168
4840,-59,-98,92,4.5,100,150,,,,,,169
4880,-58,-96,93,5.1,100,500,,,,,,171
4920,-58,-96,94,5.3,100,250,,,,,,172
4960,-58,-96,94,4.2,100,500,,,,,,174
5000,-59,-98,94,5.1,100,150,,,,,,175
5040,-58,-98,95,4.1,100,250,,,,,,176
5080,-58,-95,94,4.4,100,150,,,,,,178
5120,-57,-97,93,4.4,100,500,,,,,,179
5160,-58,-93,93,5.1,100,250,,,,,,181
5200,-120,-120,0,5.3,100,500,,,,,,182
5240,-121,-115,0,5,100,150,,,,,,183
5280,-115,-118,0,4.3,100,250,,,,,,185
5320,-115,-119,0,5.3,100,150,,,,,,186
5360,-56,-95,96,4.2,100,500,,,,,,188
5400,-58,-94,95,4.7,100,250,,,,,,189
5440,-57,-94,94,4.1,100,500,,,,,,190
5480,-56,-95,96,5.3,100,150,,,,,,192
5520,-56,-90,94,5.4,100,250,,,,,,193
5560,-56,-92,96,5.8,100,150,,,,,,195
5600,-57,-92,95,4.3,100,500,,,,,,196
5640,-56,-93,96,5.8,100,250,,,,,,197
5680,-55,-91,96,5,100,500,,,,,,199
5720,-56,-92,95,5,100,150,,,,,,200
5760,-55,-90,95,4.5,100,250,,,,,,202
5800,-56,-90,96,5,100,150,,,,,,203
5840,-56,-88,95,4.6,100,500,,,,,,204
5880,-55,-91,95,5.4,100,250,,,,,,206
5920,-55,-89,95,6.2,100,500,,,,,,207
5960,-55,-91,96,4.9,100,150,,,,,,209
6000,-55,-91,97,5.1,100,250,,,,,,210
6040,-56,-90,96,5.2,100,150,,,,,,211
6080,-56,-88,96,6.3,100,500,,,,,,213
6120,-56,-90,95,5.6,100,250,,,,,,214
6160,-54,-91,97,5.6,100,500,,,,,,216
6200,-56,-89,95,5.7,100,150,,,,,,217
6240,-55,-91,97,6.2,100,250,,,,,,218
6280,-55,-93,96,6.4,100,150,,,,,,220
6320,-56,-90,97,6.2,100,500,,,,,,221
6360,-55,-91,96,6.1,100,250,,,,,,223
6400,-54,-92,96,5.7,100,500,,,,,,224
6440,-55,-92,95,5.8,100,150,,,,,,225
6480,-56,-92,96,6.3,100,250,,,,,,227
6520,-55,-91,95,6.5,100,150,,,,,,228
6560,-55,-93,95,6.9,100,500,,,,,,230
6600,-55,-95,96,5.7,100,250,,,,,,231
6640,-54,-94,95,7.3,100,500,,,,,,232
6680,-56,-94,96,6.2,100,150,,,,,,234
6720,-56,-94,95,6.8,100,250,,,,,,235
6760,-55,-93,94,7.1,100,150,,,,,,237
6800,-56,-95,95,6.4,100,500,,,,,,238
6840,-55,-95,95,6.7,100,250,,,,,,239
6880,-55,-93,95,6.1,100,500,,,,,,241
6920,-55,-95,96,7.2,100,150,,,,,,242
6960,-56,-99,94,7.2,100,250,,,,,,244
7000,-55,-95,94,6.8,100,150,,,,,,245
7040,-57,-97,93,7.7,100,500,,,,,,246
7080,-56,-99,93,7,100,250,,,,,,248
7120,-56,-99,93,7.2,100,500,,,,,,249
7160,-57,-99,93,6.6,100,150,,,,,,251
7200,-56,-97,94,6.7,100,250,,,,,,252
7240,-56,-99,93,6.4,100,150,,,,,,253
7280,-58,-99,94,6.7,100,500,,,,,,255
7320,-58,-97,93,6.6,100,250,,,,,,256
7360,-57,-99,93,6.6,100,500,,,,,,258
7400,-58,-97,94,7.2,100,150,,,,,,259
7440,-57,-97,92,7.2,100,250,,,,,,260
7480,-57,-99,93,6.8,100,150,,,,,,262
7520,-58,-95,92,7,100,500,,,,,,263
7560,-58,-97,92,8,100,250,,,,,,265
7600,-58,-99,93,8.2,100,500,,,,,,266
7640,-59,-98,92,7.1,100,150,,,,,,267
7680,-59,-99,92,8,100,250,,,,,,269
7720,-58,-98,93,7.3,100,150,,,,,,270
7760,-58,-98,90,8.2,100,500,,,,,,272
7800,-60,-97,92,7.9,100,250,,,,,,273
7840,-58,-95,91,7,100,500,,,,,,274
7880,-59,-97,92,8,100,150,,,,,,276
7920,-58,-98,91,8,100,250,,,,,,277
7960,-60,-93,90,7.6,100,150,,,,,,279
8000,-61,-95,91,7.4,100,500,,,,,,280
8040,-60,-92,92,7.6,100,250,,,,,,281
8080,-60,-93,91,7.2,100,500,,,,,,283
8120,-59,-95,90,7.9,100,150,,,,,,284
8160,-60,-92,91,6.7,100,250,,,,,,286
8200,-61,-93,89,8,100,150,,,,,,287
8240,-61,-91,89,7.2,100,500,,,,,,288
8280,-60,-93,90,8.1,100,250,,,,,,290
8320,-60,-94,89,8.1,100,500,,,,,,291
8360,-60,-92,90,8,100,150,,,,,,293
8400,-61,-92,90,8,100,250,,,,,,294
8440,-61,-89,89,7.4,100,150,,,,,,295
8480,-61,-90,89,6.6,100,500,,,,,,297
8520,-60,-91,89,7.5,100,250,,,,,,298
8560,-61,-90,91,7.3,100,500,,,,,,300
8600,-61,-91,89,6.7,100,150,,,,,,301
8640,-61,-89,89,7.4,100,250,,,,,,302
8680,-62,-91,91,7.7,100,150,,,,,,304
8720,-60,-91,91,6.3,100,500,,,,,,305
8760,-60,-88,91,6.5,100,250,,,,,,307
8800,-60,-92,90,7.1,100,500,,,,,,308
8840,-60,-91,89,7.1,100,150,,,,,,309
8880,-61,-89,91,6.6,100,250,,,,,,311
8920,-61,-90,91,7,100,150,,,,,,312
8960,-60,-91,91,7.4,100,500,,,,,,314
9000,-60,-92,89,6.8,100,250,,,,,,315
9040,-62,-90,90,6.2,100,500,,,,,,316
