ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-61,-91,93,5.8,250,250,,,,,,0
40,-61,-88,91,5.8,250,250,,,,,,1
80,-62,-88,92,5.8,250,250,,,,,,2
120,-61,-90,93,6.9,250,250,,,,,,4
160,-61,-89,92,6.2,250,250,,,,,,5
200,-61,-89,92,6.2,250,250,,,,,,6
240,-61,-88,93,6.9,250,250,,,,,,7
280,-60,-90,91,6.6,250,250,,,,,,8
320,-61,-88,93,6.7,250,250,,,,,,10
360,-60,-90,93,6.4,250,250,,,,,,11
400,-60,-89,93,7.1,250,250,,,,,,12
440,-60,-90,92,6.9,250,250,,,,,,13
480,-60,-89,94,6.4,250,250,,,,,,14
520,-59,-91,93,6.1,250,250,,,,,,16
560,-61,-89,93,7.3,250,250,,,,,,17
600,-60,-92,95,6.3,250,250,,,,,,18
640,-60,-90,95,6.2,250,250,,,,,,19
680,-60,-90,94,6.7,250,250,,,,,,20
720,-60,-89,95,7.1,250,250,,,,,,22
760,-59,-93,95,6.5,250,250,,,,,,23
800,-60,-93,93,6.4,250,250,,,,,,24
840,-59,-91,95,6.6,250,500,,,,,,25
880,-60,-92,93,7.2,250,150,,,,,,26
920,-59,-94,95,7,250,500,,,,,,28
960,-59,-94,94,6.8,250,250,,,,,,29
1000,-59,-90,95,6.9,250,150,,,,,,30
1040,-58,-93,93,6.8,250,250,,,,,,31
1080,-59,-95,93,6.7,250,500,,,,,,32
1120,-60,-93,93,7.4,250,150,,,,,,34
1160,-59,-92,95,7.3,250,500,,,,,,35
1200,-60,-96,95,7.2,250,250,,,,,,36
1240,-59,-94,94,6.9,250,150,,,,,,37
1280,-59,-94,95,7.9,250,250,,,,,,38
1320,-60,-96,94,8.1,250,500,,,,,,40
1360,-58,-95,95,7.8,250,150,,,,,,41
1400,-58,-98,93,8.1,250,500,,,,,,42
1440,-60,-95,93,7.7,250,250,,,,,,43
1480,-60,-94,94,7.9,250,150,,,,,,44
1520,-60,-97,93,6.8,250,250,,,,,,46
1560,-58,-96,94,7.5,250,500,,,,,,47
1600,-59,-97,93,6.8,250,150,,,,,,48
1640,-59,-95,94,6.8,250,500,,,,,,49
1680,-60,-97,93,7.7,250,250,,,,,,50
1720,-59,-96,92,7.8,250,150,,,,,,52
1760,-59,-95,93,7.9,250,250,,,,,,53
1800,-60,-98,92,7.7,250,500,,,,,,54
1840,-61,-99,93,7.6,250,150,,,,,,55
1880,-60,-97,92,8.1,250,500,,,,,,56
1920,-61,-96,94,7.4,250,250,,,,,,58
1960,-59,-96,92,6.8,250,150,,,,,,59
2000,-61,-95,93,7.4,250,250,,,,,,60
2040,-61,-99,93,7.7,250,500,,,,,,61
2080,-60,-95,93,7.4,250,150,,,,,,62
2120,-60,-94,92,7.4,250,500,,,,,,64
2160,-61,-97,92,7.2,250,250,,,,,,65
2200,-61,-95,91,6.6,250,150,,,,,,66
2240,-61,-97,93,7.9,250,250,,,,,,67
2280,-61,-97,92,7.2,250,500,,,,,,68
2320,-62,-95,92,7.2,250,150,,,,,,70
2360,-62,-93,92,7.8,250,500,,,,,,71
2400,-61,-95,91,6.3,250,250,,,,,,72
2440,-62,-95,90,7.5,250,150,,,,,,73
2480,-63,-91,91,6.6,250,250,,,,,,74
2520,-62,-93,91,6.6,250,500,,,,,,76
2560,-61,-94,90,7,250,150,,,,,,77
2600,-62,-93,90,6.8,250,500,,,,,,78
2640,-63,-93,90,6,250,250,,,,,,79
2680,-62,-94,89,6,250,150,,,,,,80
2720,-62,-93,89,6.8,250,250,,,,,,82
2760,-62,-91,90,6.7,250,500,,,,,,83
2800,-63,-93,89,6.1,250,150,,,,,,84
2840,-63,-89,90,7.1,250,500,,,,,,85
2880,-64,-89,88,5.7,250,250,,,,,,86
2920,-64,-91,89,5.7,250,150,,,,,,88
2960,-64,-92,89,6.9,250,250,,,,,,89
3000,-63,-87,88,6.7,250,500,,,,,,90
3040,-64,-89,89,6.9,250,150,,,,,,91
3080,-65,-90,89,6.5,250,500,,,,,,92
3120,-64,-91,89,6.4,250,250,,,,,,94
3160,-64,-87,90,6.4,250,150,,,,,,95
3200,-63,-90,87,5.4,250,250,,,,,,96
3240,-64,-87,88,5.4,250,500,,,,,,97
3280,-64,-87,88,5.1,250,150,,,,,,98
3320,-65,-89,88,6,250,500,,,,,,100
3360,-65,-91,89,5.1,250,250,,,,,,101
3400,-65,-91,87,5.2,250,150,,,,,,102
3440,-66,-90,89,5.6,250,250,,,,,,103
3480,-65,-89,88,6.2,250,500,,,,,,104
3520,-65,-89,88,4.9,250,150,,,,,,106
3560,-64,-91,89,5.4,250,500,,,,,,107
3600,-64,-88,88,4.6,250,250,,,,,,108
3640,-65,-92,88,5.9,250,150,,,,,,109
3680,-64,-91,87,5.4,250,250,,,,,,110
3720,-65,-93,88,5.4,250,500,,,,,,112
3760,-64,-92,88,5.5,250,150,,,,,,113
3800,-65,-94,89,4.4,250,500,,,,,,114
3840,-65,-94,88,5.2,250,250,,,,,,115
3880,-65,-95,88,5.3,250,150,,,,,,116
3920,-65,-93,88,5.1,250,250,,,,,,118
3960,-66,-93,87,5.2,250,500,,,,,,119
4000,-66,-93,88,4.2,250,150,,,,,,120
4040,-65,-94,89,4.8,250,500,,,,,,121
4080,-65,-95,87,5.2,250,250,,,,,,122
4120,-64,-93,88,5.4,250,150,,,,,,124
4160,-65,-95,88,4.6,250,250,,,,,,125
4200,-65,-98,89,4.1,250,500,,,,,,126
4240,-64,-95,89,5.3,250,150,,,,,,127
4280,-65,-94,89,4,250,500,,,,,,128
4320,-65,-97,90,4.9,250,250,,,,,,130
4360,-64,-95,89,4,250,150,,,,,,131
4400,-64,-98,89,4.6,250,250,,,,,,132
4440,-65,-97,89,4.9,250,500,,,,,,133
4480,-63,-99,90,5.2,250,150,,,,,,134
4520,-64,-99,89,3.9,250,500,,,,,,136
4560,-63,-98,89,4.4,250,250,,,,,,137
4600,-64,-95,91,5.3,250,150,,,,,,138
4640,-64,-98,89,4.9,250,250,,,,,,139
4680,-63,-98,91,4.9,250,500,,,,,,140
4720,-64,-97,90,3.8,250,150,,,,,,142
4760,-62,-97,90,5.1,250,500,,,,,,143
4800,-64,-99,91,4.7,250,250,,,,,,144
4840,-63,-96,90,4.8,250,150,,,,,,145
4880,-62,-97,90,5.2,250,250,,,,,,146
4920,-61,-94,91,3.8,250,500,,,,,,148
4960,-63,-94,90,3.9,250,150,,,,,,149
5000,-62,-95,92,4.5,250,500,,,,,,150
5040,-62,-97,93,5.2,250,250,,,,,,151
5080,-61,-95,92,4.5,250,150,,,,,,152
5120,-62,-95,91,4.6,250,250,,,,,,154
5160,-62,-92,92,5.4,250,500,,,,,,155
5200,-61,-92,91,4.8,250,150,,,,,,156
