ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-58,-98,88,5.3,100,250,,,,,,0
40,-56,-94,91,6.7,100,250,,,,,,1
80,-57,-96,91,5.5,100,250,,,,,,2
120,-56,-96,91,6.4,100,250,,,,,,3
160,-56,-96,91,5.6,100,250,,,,,,4
200,-57,-93,89,6.2,100,250,,,,,,5
240,-57,-95,91,6.5,100,250,,,,,,6
280,-56,-92,92,6.8,100,250,,,,,,7
320,-56,-94,91,7,100,250,,,,,,8
360,-56,-92,92,6.5,100,250,,,,,,9
400,-56,-92,90,7.1,100,250,,,,,,10
440,-55,-95,92,6.6,100,250,,,,,,11
480,-55,-94,90,6.3,100,250,,,,,,12
520,-56,-94,92,6.5,100,250,,,,,,13
560,-55,-92,91,6.5,100,250,,,,,,14
600,-56,-96,91,7.6,100,250,,,,,,15
640,-54,-97,92,7.4,100,250,,,,,,16
680,-55,-93,92,6.2,100,250,,,,,,17
720,-55,-97,92,6.3,100,250,,,,,,18
760,-54,-97,93,7.7,100,250,,,,,,19
800,-54,-95,91,6.4,100,250,,,,,,20
840,-54,-96,91,7.2,100,250,,,,,,21
880,-54,-97,92,7.1,100,250,,,,,,22
920,-53,-96,93,7.4,100,250,,,,,,23
960,-54,-98,92,7.8,100,250,,,,,,24
1000,-54,-98,91,7,100,250,,,,,,25
1040,-54,-98,93,6.6,100,250,,,,,,26
1080,-54,-97,93,7.4,100,250,,,,,,27
1120,-55,-98,93,7.9,100,250,,,,,,28
1160,-54,-97,93,7.8,100,250,,,,,,29
1200,-54,-99,92,8.1,100,250,,,,,,30
1240,-53,-99,93,7.6,100,250,,,,,,31
1280,-53,-99,91,7.7,100,250,,,,,,32
1320,-54,-98,93,7.1,100,250,,,,,,33
1360,-54,-99,92,7.8,100,250,,,,,,34
1400,-55,-99,93,7.8,100,250,,,,,,35
1440,-54,-99,93,7.5,100,250,,,,,,36
1480,-55,-99,92,8.2,100,250,,,,,,37
1520,-54,-99,91,7.3,100,250,,,,,,38
1560,-55,-99,91,8.3,100,250,,,,,,39
1600,-54,-99,92,7.2,100,250,,,,,,40
1640,-55,-99,92,8,100,250,,,,,,41
1680,-54,-99,91,7.3,100,250,,,,,,42
1720,-55,-99,92,6.9,100,250,,,,,,43
1760,-55,-99,90,7.3,100,250,,,,,,44
1800,-56,-99,92,6.8,100,250,,,,,,45
1840,-55,-99,91,6.8,100,250,,,,,,46
1880,-55,-99,90,8,100,250,,,,,,47
1920,-55,-99,92,7.5,100,250,,,,,,48
1960,-56,-99,90,8.1,100,250,,,,,,49
2000,-56,-99,90,6.9,100,250,,,,,,50
2040,-54,-99,89,7.2,100,250,,,,,,51
2080,-56,-99,89,7.5,100,250,,,,,,52
2120,-55,-99,90,7,100,250,,,,,,53
2160,-56,-98,91,7.9,100,250,,,,,,54
2200,-55,-99,89,7.3,100,250,,,,,,55
2240,-55,-99,89,7.6,100,250,,,,,,56
2280,-57,-99,89,7.6,100,250,,,,,,57
2320,-56,-98,89,7.3,100,250,,,,,,58
2360,-55,-97,89,6.8,100,250,,,,,,59
2400,-56,-99,89,7.6,100,250,,,,,,60
2440,-57,-96,89,7.3,100,250,,,,,,61
2480,-57,-97,89,6.4,100,250,,,,,,62
2520,-57,-99,89,6.5,100,250,,,,,,63
2560,-58,-98,88,7.4,100,250,,,,,,64
2600,-58,-96,89,7,100,250,,,,,,65
2640,-58,-98,88,5.9,100,250,,,,,,66
2680,-57,-97,89,7.2,100,250,,,,,,67
2720,-57,-94,88,6.2,100,250,,,,,,68
2760,-57,-97,89,6.8,100,250,,,,,,69
2800,-58,-94,88,7.1,100,250,,,,,,70
2840,-57,-94,86,6.6,100,250,,,,,,71
2880,-58,-94,87,6.1,100,250,,,,,,72
2920,-59,-95,87,6.8,100,250,,,,,,73
2960,-59,-93,87,5.6,100,250,,,,,,74
3000,-59,-93,86,6.8,100,250,,,,,,75
3040,-59,-94,88,6.4,100,250,,,,,,76
3080,-60,-96,86,6,100,250,,,,,,77
3120,-59,-96,87,6.3,100,250,,,,,,78
3160,-58,-94,86,6.6,100,250,,,,,,79
3200,-60,-92,87,5.7,100,250,,,,,,80
3240,-59,-94,87,6.1,100,250,,,,,,81
3280,-59,-95,86,5.4,100,250,,,,,,82
3320,-60,-92,87,5.6,100,250,,,,,,83
3360,-59,-96,87,5.8,100,250,,,,,,84
3400,-59,-94,87,5.7,100,250,,,,,,85
3440,-59,-96,86,6,100,250,,,,,,86
3480,-60,-94,86,6.1,100,250,,,,,,87
3520,-61,-96,87,5.7,100,250,,,,,,88
3560,-61,-97,87,5.8,100,250,,,,,,89
3600,-59,-97,86,5.3,100,250,,,,,,90
3640,-60,-95,86,5.7,100,250,,,,,,91
3680,-59,-96,86,5.9,100,250,,,,,,92
3720,-59,-97,87,5.3,100,250,,,,,,93
3760,-59,-97,86,5.8,100,250,,,,,,94
3800,-60,-98,85,4.6,100,250,,,,,,95
3840,-60,-97,85,5.1,100,250,,,,,,96
3880,-60,-97,87,5.3,100,250,,,,,,97
3920,-61,-98,85,4.8,100,250,,,,,,98
3960,-60,-99,86,4.3,100,250,,,,,,99
4000,-61,-97,86,4.6,100,250,,,,,,100
4040,-60,-97,86,4.3,100,150,,,,,,101
4080,-59,-99,87,4.8,100,500,,,,,,102
4120,-59,-98,87,5.1,100,250,,,,,,103
4160,-60,-99,87,5.3,100,500,,,,,,104
4200,-59,-99,88,4.1,100,150,,,,,,105
4240,-59,-99,88,4.2,100,250,,,,,,106
4280,-60,-99,87,5.2,100,150,,,,,,107
4320,-58,-99,86,3.8,100,500,,,,,,108
4360,-60,-99,87,3.8,100,250,,,,,,109
4400,-59,-99,88,4.5,100,500,,,,,,110
4440,-58,-99,88,4.2,100,150,,,,,,111
4480,-59,-99,87,4,100,250,,,,,,112
4520,-58,-99,87,5.2,100,150,,,,,,113
4560,-58,-99,87,4.7,100,500,,,,,,114
4600,-59,-99,89,4.2,100,250,,,,,,115
4640,-58,-99,88,4.9,100,500,,,,,,116
4680,-57,-99,89,3.7,100,150,,,,,,117
4720,-58,-99,88,4.4,100,250,,,,,,118
4760,-57,-99,88,5.1,100,150,,,,,,119
4800,-57,-99,88,4.6,100,500,,,,,,120
4840,-57,-99,88,5.2,100,250,,,,,,121
4880,-58,-99,88,5.3,100,500,,,,,,122
4920,-58,-99,90,3.9,100,150,,,,,,123
4960,-57,-99,89,5.3,100,250,,,,,,124
5000,-58,-99,90,3.8,100,150,,,,,,125
5040,-57,-99,91,4.7,100,500,,,,,,126
5080,-58,-99,90,4.7,100,250,,,,,,127
5120,-56,-98,91,4.9,100,500,,,,,,128
5160,-56,-97,91,4,100,150,,,,,,129
5200,-56,-99,90,4.4,100,250,,,,,,130
5240,-55,-97,91,5.2,100,150,,,,,,131
5280,-55,-99,92,5,100,500,,,,,,132
5320,-55,-99,90,4.3,100,250,,,,,,133
5360,-55,-97,92,5,100,500,,,,,,134
5400,-56,-96,90,5,100,150,,,,,,135
5440,-55,-94,91,5.4,100,250,,,,,,136
5480,-56,-98,91,4.9,100,150,,,,,,137
5520,-55,-98,91,4.5,100,500,,,,,,138
5560,-54,-94,92,4.6,100,250,,,,,,139
5600,-54,-96,92,4.8,100,500,,,,,,140
5640,-56,-93,92,5.1,100,150,,,,,,141
5680,-54,-96,90,5.8,100,250,,,,,,142
5720,-55,-96,92,4.6,100,150,,,,,,143
5760,-55,-92,92,5.8,100,500,,,,,,144
5800,-54,-96,91,5.1,100,250,,,,,,145
5840,-54,-94,92,5.7,100,500,,,,,,146
5880,-55,-94,93,4.8,100,150,,,,,,147
5920,-55,-93,93,4.9,100,250,,,,,,148
