ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-60,-95,94,5.5,100,250,,,,,,0
40,-60,-94,92,5.5,100,250,,,,,,2
80,-60,-95,93,6.4,100,250,,,,,,3
120,-59,-91,94,5.9,100,250,,,,,,5
160,-60,-93,93,5.9,100,250,,,,,,6
200,-59,-94,94,6.2,100,250,,,,,,8
240,-59,-92,94,6.7,100,250,,,,,,10
280,-60,-94,92,6.7,100,250,,,,,,11
320,-60,-94,94,6.1,100,250,,,,,,13
360,-60,-94,93,6.4,100,250,,,,,,14
400,-59,-93,95,6.3,100,250,,,,,,16
440,-59,-90,94,5.9,100,250,,,,,,18
480,-58,-94,95,7.1,100,250,,,,,,19
520,-58,-93,93,7.1,100,250,,,,,,21
560,-58,-91,95,6.1,100,250,,,,,,22
600,-58,-94,94,6.2,100,250,,,,,,24
640,-59,-94,94,6.8,100,250,,,,,,26
680,-58,-92,95,7.3,100,250,,,,,,27
720,-58,-91,94,7.5,100,250,,,,,,29
760,-58,-95,96,7.1,100,250,,,,,,30
800,-57,-92,94,7.2,100,250,,,,,,32
840,-57,-92,95,6.9,100,250,,,,,,34
880,-58,-95,96,7.1,100,250,,,,,,35
920,-57,-95,96,7.2,100,250,,,,,,37
960,-57,-94,95,6.5,100,250,,,,,,38
1000,-57,-97,95,7,100,250,,,,,,40
1040,-56,-94,95,6.7,100,250,,,,,,42
1080,-56,-96,94,7.8,100,250,,,,,,43
1120,-57,-96,95,6.9,100,250,,,,,,45
1160,-56,-97,96,7.5,100,250,,,,,,46
1200,-56,-96,94,7.6,100,250,,,,,,48
1240,-57,-96,96,7.2,100,250,,,,,,50
1280,-57,-99,94,7.8,100,250,,,,,,51
1320,-56,-98,94,7.6,100,250,,,,,,53
1360,-57,-96,94,7.8,100,250,,,,,,54
1400,-58,-97,96,7.9,100,250,,,,,,56
1440,-57,-97,95,7.6,100,250,,,,,,58
1480,-57,-99,95,8.1,100,250,,,,,,59
1520,-56,-97,94,7.9,100,250,,,,,,61
1560,-58,-99,94,7.1,100,250,,,,,,62
1600,-58,-99,93,7.8,100,250,,,,,,64
1640,-57,-99,94,8.2,100,250,,,,,,66
1680,-58,-99,95,7.5,100,250,,,,,,67
1720,-58,-98,94,7.3,100,250,,,,,,69
1760,-57,-99,95,6.8,100,250,,,,,,70
1800,-58,-99,94,7.3,100,250,,,,,,72
1840,-58,-99,93,7.2,100,250,,,,,,74
1880,-57,-99,94,7.3,100,250,,,,,,75
1920,-58,-98,95,7.5,100,250,,,,,,77
1960,-58,-99,93,7.4,100,250,,,,,,78
2000,-58,-99,93,7.9,100,250,,,,,,80
2040,-59,-98,93,7.4,100,250,,,,,,82
2080,-58,-98,94,7.5,100,250,,,,,,83
2120,-58,-98,93,7.2,100,250,,,,,,85
2160,-60,-99,92,7.5,100,250,,,,,,86
2200,-59,-98,92,6.9,100,250,,,,,,88
2240,-59,-99,93,7,100,250,,,,,,90
2280,-60,-97,93,7.4,100,250,,,,,,91
2320,-60,-97,91,7.2,100,250,,,,,,93
2360,-59,-98,92,6.5,100,250,,,,,,94
2400,-60,-95,93,6.9,100,250,,,,,,96
2440,-59,-96,93,6.6,100,250,,,,,,98
2480,-60,-95,92,6.5,100,250,,,,,,99
2520,-60,-94,92,6.6,100,250,,,,,,101
2560,-60,-97,91,7.2,100,250,,,,,,102
2600,-60,-92,90,6.9,100,250,,,,,,104
2640,-61,-93,90,6,100,250,,,,,,106
2680,-60,-93,90,7.4,100,250,,,,,,107
2720,-61,-94,90,6.5,100,250,,,,,,109
2760,-61,-95,91,5.9,100,250,,,,,,110
2800,-120,-120,0,5.8,100,250,,,,,,112
2840,-117,-118,0,6.8,100,250,,,,,,114
2880,-117,-118,0,6.7,100,250,,,,,,115
2920,-62,-93,90,6.3,100,250,,,,,,117
2960,-62,-90,90,7,100,250,,,,,,118
3000,-62,-91,89,6.8,100,250,,,,,,120
3040,-62,-92,89,6.7,100,250,,,,,,122
3080,-62,-91,88,5.5,100,250,,,,,,123
3120,-63,-91,90,6.4,100,250,,,,,,125
3160,-63,-94,90,6.5,100,250,,,,,,126
3200,-63,-92,89,6.4,100,250,,,,,,128
3240,-62,-93,90,5.7,100,250,,,,,,130
3280,-62,-94,89,6,100,250,,,,,,131
3320,-63,-94,88,5.8,100,250,,,,,,133
3360,-63,-91,89,5.5,100,250,,,,,,134
3400,-62,-90,88,5.5,100,250,,,,,,136
3440,-63,-91,90,5,100,250,,,,,,138
3480,-63,-92,90,6.2,100,250,,,,,,139
3520,-63,-93,90,6.1,100,250,,,,,,141
3560,-62,-95,90,5.6,100,250,,,,,,142
3600,-62,-96,90,5.7,100,250,,,,,,144
3640,-62,-94,89,5.8,100,250,,,,,,146
3680,-62,-94,90,4.9,100,250,,,,,,147
3720,-63,-95,90,4.6,100,250,,,,,,149
3760,-63,-93,89,5.6,100,250,,,,,,150
3800,-64,-97,90,4.5,100,250,,,,,,152
3840,-63,-93,89,5.1,100,250,,,,,,154
3880,-62,-97,90,4.5,100,250,,,,,,155
3920,-62,-98,90,5,100,250,,,,,,157
3960,-63,-97,90,4.8,100,250,,,,,,158
4000,-63,-98,89,4.4,100,250,,,,,,160
4040,-63,-98,88,4.6,100,250,,,,,,162
4080,-64,-97,90,5,100,250,,,,,,163
4120,-62,-98,89,5.2,100,250,,,,,,165
4160,-63,-96,91,5,100,250,,,,,,166
4200,-62,-98,90,4.1,100,250,,,,,,168
4240,-62,-99,90,4.7,100,250,,,,,,170
4280,-63,-99,91,5.4,100,250,,,,,,171
4320,-63,-97,90,4.3,100,250,,,,,,173
4360,-63,-99,91,3.9,100,250,,,,,,174
4400,-62,-99,90,5.4,100,250,,,,,,176
4440,-62,-99,91,5.3,100,250,,,,,,178
4480,-61,-99,92,4.6,100,250,,,,,,179
4520,-62,-99,90,4.5,100,250,,,,,,181
4560,-61,-99,91,5.3,100,250,,,,,,182
4600,-62,-98,92,3.9,100,250,,,,,,184
4640,-62,-98,92,4.1,100,250,,,,,,186
4680,-61,-99,91,4.3,100,250,,,,,,187
4720,-62,-99,91,4.9,100,250,,,,,,189
4760,-61,-99,92,5.1,100,250,,,,,,190
4800,-60,-99,93,3.8,100,250,,,,,,192
4840,-60,-99,91,4.2,100,250,,,,,,194
4880,-61,-99,92,4.4,100,250,,,,,,195
4920,-61,-99,93,4.6,100,250,,,,,,197
4960,-61,-97,93,3.8,100,250,,,,,,198
5000,-60,-99,92,4.2,100,250,,,,,,200
5040,-60,-97,93,4.1,100,250,,,,,,202
5080,-59,-96,92,4.6,100,250,,,,,,203
5120,-61,-99,94,4.8,100,250,,,,,,205
5160,-59,-97,92,4.7,100,250,,,,,,206
5200,-60,-97,93,5.4,100,250,,,,,,208
5240,-59,-97,93,5.2,100,250,,,,,,210
5280,-58,-96,95,4.4,100,250,,,,,,211
5320,-59,-97,94,4.9,100,250,,,,,,213
5360,-59,-97,94,4.4,100,250,,,,,,214
5400,-58,-97,94,4.1,100,250,,,,,,216
5440,-59,-97,93,5.5,100,250,,,,,,218
5480,-59,-96,93,4.2,100,250,,,,,,219
5520,-58,-96,95,4.3,100,250,,,,,,221
5560,-59,-91,94,4.9,100,250,,,,,,222
5600,-58,-91,94,5.8,100,250,,,,,,224
5640,-58,-92,95,4.9,100,250,,,,,,226
5680,-59,-95,95,4.4,100,250,,,,,,227
5720,-57,-94,95,5.1,100,250,,,,,,229
5760,-57,-92,96,4.7,100,250,,,,,,230
5800,-57,-95,94,5.9,100,250,,,,,,232
5840,-57,-93,94,5.8,100,250,,,,,,234
5880,-58,-91,95,6.1,100,250,,,,,,235
5920,-57,-92,95,5.7,100,250,,,,,,237
5960,-57,-92,95,5.5,100,250,,,,,,238
6000,-57,-93,95,5.3,100,250,,,,,,240
6040,-57,-93,94,6.1,100,250,,,,,,242
6080,-56,-94,96,5.2,100,250,,,,,,243
6120,-57,-93,95,6.2,100,250,,,,,,245
6160,-58,-91,96,5.9,100,250,,,,,,246
6200,-57,-94,94,6.5,100,250,,,,,,248
6240,-57,-93,95,5.4,100,250,,,,,,250
6280,-57,-93,95,6.4,100,250,,,,,,251
6320,-57,-93,95,5.8,100,250,,,,,,253
6360,-56,-96,95,6.9,100,250,,,,,,254
6400,-120,-121,0,5.6,100,250,,,,,,256
6440,-116,-117,0,6.5,100,250,,,,,,258
6480,-117,-120,0,6,100,250,,,,,,259
6520,-57,-93,96,6.6,100,250,,,,,,261
6560,-57,-93,96,5.7,100,250,,,,,,262
6600,-58,-98,95,5.7,100,250,,,,,,264
6640,-57,-96,95,6.9,100,250,,,,,,266
6680,-58,-94,95,5.9,100,250,,,,,,267
6720,-58,-98,94,7,100,250,,,,,,269
6760,-57,-97,94,6.5,100,250,,,,,,270
6800,-58,-96,94,6.7,100,250,,,,,,272
6840,-57,-97,94,7.2,100,250,,,,,,274
6880,-58,-98,94,6.3,100,250,,,,,,275
6920,-58,-97,93,6.3,100,250,,,,,,277
6960,-58,-99,93,7.2,100,250,,,,,,278
7000,-59,-96,93,7.6,100,250,,,,,,280
7040,-58,-96,94,6.2,100,250,,,,,,282
7080,-59,-99,93,7.2,100,250,,,,,,283
7120,-59,-98,93,7.7,100,250,,,,,,285
7160,-59,-99,93,7.3,100,250,,,,,,286
7200,-59,-99,93,7.7,100,250,,,,,,288
7240,-59,-99,92,7.7,100,250,,,,,,290
7280,-59,-98,92,7.7,100,250,,,,,,291
7320,-59,-99,92,7,100,250,,,,,,293
7360,-59,-99,92,7.5,100,250,,,,,,294
7400,-60,-99,93,6.8,100,250,,,,,,296
7440,-60,-98,92,8.1,100,250,,,,,,298
7480,-61,-99,92,7.3,100,250,,,,,,299
7520,-60,-99,92,8.1,100,250,,,,,,301
7560,-60,-99,92,7.8,100,250,,,,,,302
7600,-60,-99,92,6.7,100,250,,,,,,304
7640,-61,-99,91,7,100,250,,,,,,306
7680,-60,-98,92,7.7,100,250,,,,,,307
7720,-60,-99,91,7.9,100,250,,,,,,309
7760,-61,-96,92,7.3,100,250,,,,,,310
7800,-61,-96,91,7.8,100,250,,,,,,312
