ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-64,-66,89,6.7,100,500,,,,,,
40,-65,-67,87,6.7,100,500,,,,,,
80,-65,-68,88,6.8,100,500,,,,,,
120,-65,-69,88,6.7,100,500,,,,,,
160,-64,-66,88,6.7,100,500,,,,,,
200,-65,-67,87,6.7,100,500,,,,,,
240,-65,-67,88,7,100,500,,,,,,
280,-64,-66,88,6.8,100,500,,,,,,
320,-64,-66,88,6.7,100,500,,,,,,
360,-65,-67,89,6.7,100,500,,,,,,
400,-65,-67,88,6.5,100,500,,,,,,
440,-65,-68,88,6.9,100,500,,,,,,
480,-66,-69,87,6.6,100,500,,,,,,
520,-66,-67,87,6.7,100,500,,,,,,
560,-66,-67,88,6.7,100,500,,,,,,
600,-64,-67,88,6.8,100,500,,,,,,
640,-65,-66,88,6.7,100,500,,,,,,
680,-64,-66,87,6.5,100,500,,,,,,
720,-66,-68,87,6.5,100,500,,,,,,
760,-65,-67,89,6.8,100,500,,,,,,
800,-65,-66,88,6.5,100,500,,,,,,
840,-65,-68,89,7,100,500,,,,,,
880,-65,-68,88,6.5,100,500,,,,,,
920,-65,-67,88,6.6,100,500,,,,,,
960,-64,-66,87,6.6,100,500,,,,,,
1000,-64,-66,88,6.7,100,500,,,,,,
1040,-65,-68,87,6.6,100,500,,,,,,
1080,-66,-68,87,7,100,500,,,,,,
1120,-64,-67,88,6.8,100,500,,,,,,
1160,-67,-68,87,6.7,100,500,,,,,,
1200,-64,-66,88,6.9,100,500,,,,,,
1240,-66,-68,88,6.5,100,500,,,,,,
1280,-66,-69,88,6.7,100,500,,,,,,
1320,-66,-68,88,6.7,100,500,,,,,,
1360,-66,-67,88,6.6,100,500,,,,,,
1400,-64,-67,87,6.4,100,500,,,,,,
1440,-66,-68,88,6.7,100,500,,,,,,
1480,-65,-67,88,6.8,100,500,,,,,,
1520,-64,-67,89,6.5,100,500,,,,,,
1560,-64,-66,88,6.6,100,500,,,,,,
1600,-66,-67,87,6.7,100,500,,,,,,
1640,-65,-67,88,6.9,100,500,,,,,,
1680,-65,-67,88,6.9,100,500,,,,,,
1720,-64,-65,88,6.7,100,500,,,,,,
1760,-65,-67,87,6.8,100,500,,,,,,
1800,-66,-66,87,6.6,100,500,,,,,,
1840,-65,-68,87,6.8,100,500,,,,,,
1880,-65,-67,89,6.6,100,500,,,,,,
1920,-65,-66,89,7,100,500,,,,,,
1960,-65,-67,89,6.3,100,500,,,,,,
2000,-65,-66,89,7,100,500,,,,,,
2040,-65,-67,88,6.7,100,500,,,,,,
2080,-66,-68,88,6.6,100,500,,,,,,
2120,-65,-66,88,6.7,100,500,,,,,,
2160,-65,-67,88,6.5,100,500,,,,,,
2200,-65,-66,89,6.8,100,500,,,,,,
2240,-66,-67,88,6.8,100,500,,,,,,
2280,-66,-68,88,6.6,100,500,,,,,,
2320,-65,-66,89,6.4,100,500,,,,,,
2360,-65,-66,88,6.5,100,500,,,,,,
2400,-66,-67,88,6.8,100,500,,,,,,
2440,-64,-67,88,6.9,100,500,,,,,,
2480,-65,-66,88,6.8,100,500,,,,,,
2520,-66,-68,88,7,100,500,,,,,,
2560,-65,-68,90,6.6,100,500,,,,,,
2600,-64,-65,88,6.6,100,500,,,,,,
2640,-66,-68,87,6.6,100,500,,,,,,
2680,-64,-66,88,6.9,100,500,,,,,,
2720,-65,-67,89,6.6,100,500,,,,,,
2760,-64,-67,88,6.7,100,500,,,,,,
2800,-65,-67,87,6.6,100,500,,,,,,
2840,-65,-69,88,6.6,100,500,,,,,,
2880,-66,-68,88,6.6,100,500,,,,,,
2920,-64,-65,88,6.8,100,500,,,,,,
2960,-64,-66,89,6.8,100,500,,,,,,
3000,-64,-68,89,6.8,100,500,,,,,,
3040,-66,-67,88,6.6,100,500,,,,,,
3080,-65,-67,88,6.5,100,500,,,,,,
3120,-65,-68,88,6.7,100,500,,,,,,
3160,-66,-67,88,6.4,100,500,,,,,,
3200,-67,-70,88,6.6,100,500,,,,,,
3240,-65,-66,87,6.3,100,500,,,,,,
3280,-65,-66,87,6.6,100,500,,,,,,
3320,-66,-68,87,6.3,100,500,,,,,,
3360,-66,-68,87,6.5,100,500,,,,,,
3400,-65,-67,88,6.5,100,500,,,,,,
3440,-66,-69,87,6.4,100,500,,,,,,
3480,-67,-68,87,6.3,100,500,,,,,,
3520,-66,-68,85,6.8,100,500,,,,,,
3560,-66,-68,86,6.5,100,500,,,,,,
3600,-65,-68,87,6,100,500,,,,,,
3640,-67,-68,85,6.1,100,500,,,,,,
3680,-66,-68,86,6.4,100,500,,,,,,
3720,-68,-69,85,6.2,100,500,,,,,,
3760,-65,-67,84,6.2,100,500,,,,,,
3800,-65,-69,85,6,100,500,,,,,,
3840,-66,-68,84,6,100,500,,,,,,
3880,-67,-67,84,6,100,500,,,,,,
3920,-68,-71,84,6,100,500,,,,,,
3960,-68,-71,82,5.7,100,500,,,,,,
4000,-67,-70,83,5.7,100,500,,,,,,
4040,-67,-70,83,5.7,100,500,,,,,,
4080,-67,-71,82,5.8,100,500,,,,,,
4120,-68,-71,81,5.5,100,500,,,,,,
4160,-69,-71,81,5.4,100,500,,,,,,
4200,-69,-71,80,5.5,100,500,,,,,,
4240,-68,-71,81,5.4,100,500,,,,,,
4280,-68,-71,81,5.4,100,500,,,,,,
4320,-69,-71,80,5.1,100,500,,,,,,
4360,-70,-72,79,5.5,100,500,,,,,,
4400,-70,-73,80,5,100,500,,,,,,
4440,-71,-71,79,4.9,100,500,,,,,,
4480,-71,-72,79,5,100,500,,,,,,
4520,-72,-73,79,4.9,100,500,,,,,,
4560,-70,-72,78,5.1,100,500,,,,,,
4600,-71,-72,78,4.9,100,500,,,,,,
4640,-71,-72,77,4.8,100,500,,,,,,
4680,-72,-73,77,4.7,100,500,,,,,,
4720,-71,-72,75,4.8,100,500,,,,,,
4760,-70,-72,75,4.6,100,500,,,,,,
4800,-73,-74,75,4.6,100,500,,,,,,
4840,-73,-76,75,4.5,100,500,,,,,,
4880,-72,-74,75,4.5,100,500,,,,,,
4920,-73,-74,74,4.2,100,500,,,,,,
4960,-74,-76,73,4.2,100,500,,,,,,
5000,-73,-74,73,4.5,100,500,,,,,,
5040,-73,-75,73,3.9,100,500,,,,,,
5080,-74,-77,71,4.1,100,500,,,,,,
5120,-74,-77,71,3.7,100,500,,,,,,
5160,-74,-76,72,3.5,100,500,,,,,,
5200,-74,-75,71,3.7,100,500,,,,,,
5240,-76,-79,70,3.6,100,500,,,,,,
5280,-75,-76,68,3.6,100,500,,,,,,
5320,-75,-77,69,3.2,100,500,,,,,,
5360,-77,-79,69,3.6,100,500,,,,,,
5400,-76,-77,68,3.6,100,500,,,,,,
5440,-76,-78,67,3.2,100,500,,,,,,
5480,-77,-79,68,3.1,100,500,,,,,,
5520,-78,-80,66,3.1,100,500,,,,,,
5560,-77,-80,65,2.8,100,500,,,,,,
5600,-78,-80,65,2.9,100,500,,,,,,
5640,-79,-82,63,2.5,100,500,,,,,,
5680,-78,-78,64,2.8,100,500,,,,,,
5720,-79,-81,64,2.5,100,500,,,,,,
5760,-79,-80,63,2.4,100,500,,,,,,
5800,-79,-80,62,2.3,100,500,,,,,,
5840,-80,-83,62,2.1,100,500,,,,,,
5880,-80,-83,61,2.4,100,500,,,,,,
5920,-79,-80,60,2.1,100,500,,,,,,
5960,-79,-81,60,2,100,500,,,,,,
6000,-80,-84,60,1.8,100,500,,,,,,
6040,-80,-82,59,1.7,100,500,,,,,,
6080,-82,-84,58,1.9,100,500,,,,,,
6120,-81,-82,58,1.7,100,500,,,,,,
6160,-82,-83,57,1.3,100,500,,,,,,
6200,-83,-84,57,1.2,100,500,,,,,,
6240,-82,-85,56,1.2,100,500,,,,,,
6280,-83,-84,55,0.8,100,500,,,,,,
6320,-82,-83,54,1,100,500,,,,,,
6360,-83,-85,53,1,100,500,,,,,,
6400,-85,-87,53,0.9,100,500,,,,,,
6440,-84,-86,52,0.8,100,500,,,,,,
6480,-84,-88,52,0.7,100,500,,,,,,
6520,-85,-87,51,0.4,100,500,,,,,,
6560,-84,-85,50,0.5,100,500,,,,,,
6600,-86,-88,50,0.4,100,500,,,,,,
6640,-86,-86,49,0.1,100,500,,,,,,
6680,-87,-89,49,0.2,100,500,,,,,,
6720,-87,-90,48,-0.1,100,500,,,,,,
6760,-86,-88,47,-0.3,100,500,,,,,,
6800,-87,-88,46,-0.7,100,500,,,,,,
6840,-88,-90,46,-0.4,100,500,,,,,,
6880,-88,-90,45,-0.4,100,500,,,,,,
6920,-89,-92,44,-0.3,100,500,,,,,,
6960,-90,-93,44,-0.7,100,500,,,,,,
7000,-88,-91,43,-0.9,100,500,,,,,,
7040,-90,-93,42,-0.9,100,500,,,,,,
7080,-90,-92,41,-1.4,100,500,,,,,,
7120,-90,-92,41,-1.3,100,500,,,,,,
7160,-93,-94,39,-1.3,100,500,,,,,,
7200,-92,-93,39,-1.4,100,500,,,,,,
7240,-90,-92,38,-1.6,100,500,,,,,,
7280,-92,-94,38,-1.7,100,500,,,,,,
7320,-93,-95,36,-1.8,100,500,,,,,,
7360,-92,-95,36,-1.7,100,500,,,,,,
7400,-93,-95,35,-2.4,100,500,,,,,,
7440,-94,-97,35,-2.2,100,500,,,,,,
7480,-94,-95,34,-2.5,100,500,,,,,,
7520,-94,-98,33,-2.8,100,500,,,,,,
7560,-97,-99,32,-2.8,100,500,,,,,,
7600,-95,-98,32,-2.6,100,500,,,,,,
7640,-97,-99,31,-2.9,100,500,,,,,,
7680,-97,-99,30,-3.2,100,500,,,,,,
7720,-97,-99,29,-3.2,100,500,,,,,,
7760,-97,-99,28,-3.5,100,500,,,,,,
7800,-98,-99,27,-3.2,100,500,,,,,,
7840,-99,-101,26,-3.4,100,500,,,,,,
7880,-98,-101,25,-3.5,100,500,,,,,,
7920,-99,-100,25,-3.7,100,500,,,,,,
7960,-100,-103,24,-4.1,100,500,,,,,,
8000,-101,-102,23,-3.8,100,500,,,,,,
8040,-100,-101,23,-4.3,100,500,,,,,,
8080,-102,-103,22,-4.2,100,500,,,,,,
8120,-101,-103,21,-4.8,100,500,,,,,,
8160,-102,-104,20,-4.5,100,500,,,,,,
8200,-100,-104,19,-4.8,100,500,,,,,,
8240,-102,-104,18,-5.1,100,500,,,,,,
8280,-103,-105,17,-5.2,100,500,,,,,,
8320,-103,-104,17,-5.1,100,500,,,,,,
