ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-74,-75,95,6.5,250,50,,,,,,
40,-72,-75,96,6.3,250,50,,,,,,
80,-74,-75,96,6.3,250,50,,,,,,
120,-73,-75,96,6.2,250,50,,,,,,
160,-72,-74,96,6.2,250,50,,,,,,
200,-73,-74,96,6.3,250,50,,,,,,
240,-73,-75,95,6.4,250,50,,,,,,
280,-73,-76,95,6.6,250,50,,,,,,
320,-73,-75,97,6.2,250,50,,,,,,
360,-73,-75,96,6.2,250,50,,,,,,
400,-73,-75,96,6.3,250,50,,,,,,
440,-72,-74,96,6.5,250,50,,,,,,
480,-73,-75,96,6.1,250,50,,,,,,
520,-73,-74,96,6.2,250,50,,,,,,
560,-72,-74,96,6.2,250,50,,,,,,
600,-72,-74,96,6.2,250,50,,,,,,
640,-73,-75,97,6.5,250,50,,,,,,
680,-72,-76,96,6.2,250,50,,,,,,
720,-73,-75,96,6.2,250,50,,,,,,
760,-73,-75,96,6.2,250,50,,,,,,
800,-73,-76,97,6.4,250,50,,,,,,
840,-74,-75,96,6.5,250,50,,,,,,
880,-74,-76,96,6.3,250,50,,,,,,
920,-73,-75,97,6.1,250,50,,,,,,
960,-73,-76,96,6.4,250,50,,,,,,
1000,-73,-75,96,6.3,250,50,,,,,,
1040,-73,-76,96,6.5,250,50,,,,,,
1080,-73,-76,96,6.3,250,50,,,,,,
1120,-73,-74,96,6.2,250,50,,,,,,
1160,-73,-75,96,6.2,250,50,,,,,,
1200,-73,-75,97,6.3,250,50,,,,,,
1240,-73,-76,97,6.3,250,50,,,,,,
1280,-73,-75,97,6.6,250,50,,,,,,
1320,-73,-75,95,6.2,250,50,,,,,,
1360,-74,-76,96,6.3,250,50,,,,,,
1400,-73,-75,97,6.3,250,50,,,,,,
1440,-73,-75,96,6.4,250,50,,,,,,
1480,-73,-75,97,6.4,250,50,,,,,,
1520,-73,-75,96,6.1,250,50,,,,,,
1560,-73,-75,96,6.2,250,50,,,,,,
1600,-73,-75,96,6.2,250,50,,,,,,
1640,-72,-74,95,6.3,250,50,,,,,,
1680,-73,-76,96,6.2,250,50,,,,,,
1720,-73,-74,96,6.4,250,50,,,,,,
1760,-73,-76,95,6.3,250,50,,,,,,
1800,-73,-74,96,6.6,250,50,,,,,,
1840,-73,-75,96,6,250,50,,,,,,
1880,-74,-76,96,6.3,250,50,,,,,,
1920,-72,-74,96,6.4,250,50,,,,,,
1960,-74,-76,96,6.1,250,50,,,,,,
2000,-73,-76,96,6.4,250,50,,,,,,
2040,-73,-75,96,6.2,250,50,,,,,,
2080,-73,-75,95,6.1,250,50,,,,,,
2120,-73,-75,95,6.3,250,50,,,,,,
2160,-73,-74,96,6.6,250,50,,,,,,
2200,-74,-75,96,6.6,250,50,,,,,,
2240,-73,-75,96,6.1,250,50,,,,,,
2280,-74,-75,96,6.4,250,50,,,,,,
2320,-73,-76,96,6.3,250,50,,,,,,
2360,-73,-75,95,6.2,250,50,,,,,,
2400,-73,-75,96,6.3,250,50,,,,,,
2440,-74,-76,96,6.3,250,50,,,,,,
2480,-73,-75,96,6.2,250,50,,,,,,
2520,-73,-74,96,6.1,250,50,,,,,,
2560,-73,-75,95,6.3,250,50,,,,,,
2600,-73,-75,96,6.4,250,50,,,,,,
2640,-74,-76,96,6.2,250,50,,,,,,
2680,-73,-74,95,6.4,250,50,,,,,,
2720,-72,-75,96,6.4,250,50,,,,,,
2760,-73,-75,96,6.3,250,50,,,,,,
2800,-73,-75,95,6.3,250,50,,,,,,
2840,-73,-74,96,6.1,250,50,,,,,,
2880,-74,-75,96,6.2,250,50,,,,,,
2920,-72,-74,96,6.3,250,50,,,,,,
2960,-73,-74,95,6.3,250,50,,,,,,
3000,-73,-76,96,6.5,250,50,,,,,,
3040,-73,-76,96,6.5,250,50,,,,,,
3080,-73,-75,96,6.1,250,50,,,,,,
3120,-73,-76,95,6.2,250,50,,,,,,
3160,-74,-75,96,6.4,250,50,,,,,,
3200,-73,-75,96,6.1,250,50,,,,,,
3240,-73,-75,96,6.2,250,50,,,,,,
3280,-73,-75,95,6.6,250,50,,,,,,
3320,-74,-76,96,6.3,250,50,,,,,,
3360,-73,-74,95,6.4,250,50,,,,,,
3400,-73,-75,96,6.5,250,50,,,,,,
3440,-74,-75,97,6.4,250,50,,,,,,
3480,-74,-77,96,6.4,250,50,,,,,,
3520,-73,-76,95,6.2,250,50,,,,,,
3560,-73,-75,96,5.8,250,50,,,,,,
3600,-73,-75,94,6,250,50,,,,,,
3640,-74,-76,95,6.1,250,50,,,,,,
3680,-74,-76,93,5.9,250,50,,,,,,
3720,-74,-76,92,5.7,250,50,,,,,,
3760,-74,-76,93,5.5,250,50,,,,,,
3800,-74,-76,92,5.6,250,50,,,,,,
