ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-74,-77,98,4.8,250,500,,,,,,
40,-74,-76,98,5,250,500,,,,,,
80,-74,-77,99,5,250,500,,,,,,
120,-73,-75,98,4.9,250,500,,,,,,
160,-74,-76,97,5.2,250,500,,,,,,
200,-75,-77,99,5.1,250,500,,,,,,
240,-75,-78,99,4.7,250,500,,,,,,
280,-73,-74,99,5,250,500,,,,,,
320,-73,-75,97,4.9,250,500,,,,,,
360,-75,-77,99,5,250,500,,,,,,
400,-73,-75,98,5.1,250,500,,,,,,
440,-74,-76,97,5.1,250,500,,,,,,
480,-74,-76,98,5.2,250,500,,,,,,
520,-73,-76,98,4.9,250,500,,,,,,
560,-74,-77,99,5,250,500,,,,,,
600,-74,-76,98,5,250,500,,,,,,
640,-75,-76,98,5.1,250,500,,,,,,
680,-74,-76,99,4.9,250,500,,,,,,
720,-73,-75,97,4.9,250,500,,,,,,
760,-74,-76,98,4.9,250,500,,,,,,
800,-74,-75,98,5,250,500,,,,,,
840,-74,-76,98,4.9,250,500,,,,,,
880,-74,-75,98,4.9,250,500,,,,,,
920,-73,-75,98,4.9,250,500,,,,,,
960,-74,-77,97,5,250,500,,,,,,
1000,-75,-77,98,5,250,500,,,,,,
1040,-74,-76,97,5,250,500,,,,,,
1080,-74,-76,97,5.1,250,500,,,,,,
1120,-74,-76,98,5.1,250,500,,,,,,
1160,-74,-75,99,5.1,250,500,,,,,,
1200,-74,-76,97,5.2,250,500,,,,,,
1240,-74,-77,98,5.1,250,500,,,,,,
1280,-74,-76,97,5,250,500,,,,,,
1320,-73,-76,97,5.1,250,500,,,,,,
1360,-74,-75,98,5.1,250,500,,,,,,
1400,-74,-76,99,5,250,500,,,,,,
1440,-75,-77,97,5,250,500,,,,,,
1480,-75,-77,97,4.9,250,500,,,,,,
1520,-74,-77,98,5,250,500,,,,,,
1560,-75,-78,98,4.9,250,500,,,,,,
1600,-74,-75,98,4.7,250,500,,,,,,
1640,-74,-76,98,5.2,250,500,,,,,,
1680,-75,-76,97,4.9,250,500,,,,,,
1720,-73,-75,98,5,250,500,,,,,,
1760,-74,-77,98,4.9,250,500,,,,,,
1800,-74,-76,97,4.9,250,500,,,,,,
1840,-74,-77,98,5,250,500,,,,,,
1880,-74,-75,98,4.8,250,500,,,,,,
1920,-74,-76,99,5.2,250,500,,,,,,
1960,-74,-75,97,5,250,500,,,,,,
2000,-74,-76,99,4.8,250,500,,,,,,
2040,-74,-75,98,4.9,250,500,,,,,,
2080,-74,-76,99,4.8,250,500,,,,,,
2120,-74,-75,98,4.8,250,500,,,,,,
2160,-74,-76,98,5.2,250,500,,,,,,
2200,-74,-75,97,4.8,250,500,,,,,,
2240,-74,-76,98,4.9,250,500,,,,,,
2280,-75,-78,98,5.1,250,500,,,,,,
2320,-74,-76,98,5.1,250,500,,,,,,
2360,-74,-76,99,4.8,250,500,,,,,,
2400,-75,-77,99,5.3,250,500,,,,,,
2440,-74,-76,98,5.3,250,500,,,,,,
2480,-75,-76,98,5,250,500,,,,,,
2520,-73,-74,97,5.2,250,500,,,,,,
2560,-74,-76,99,5.3,250,500,,,,,,
2600,-73,-75,99,5,250,500,,,,,,
2640,-73,-76,98,5,250,500,,,,,,
2680,-75,-77,98,5.1,250,500,,,,,,
2720,-75,-77,98,4.9,250,500,,,,,,
2760,-74,-76,99,5,250,500,,,,,,
2800,-75,-77,98,5.4,250,500,,,,,,
2840,-74,-76,99,5.2,250,500,,,,,,
2880,-74,-76,99,5.1,250,500,,,,,,
2920,-74,-76,98,5.1,250,500,,,,,,
2960,-74,-76,99,5.1,250,500,,,,,,
3000,-75,-77,98,4.9,250,500,,,,,,
3040,-75,-76,98,5.2,250,500,,,,,,
3080,-74,-76,97,4.8,250,500,,,,,,
3120,-75,-77,98,4.8,250,500,,,,,,
3160,-73,-75,99,5.1,250,500,,,,,,
3200,-74,-76,99,5,250,500,,,,,,
3240,-75,-77,98,5.1,250,500,,,,,,
3280,-74,-76,99,5,250,500,,,,,,
3320,-74,-75,97,4.8,250,500,,,,,,
3360,-75,-76,99,4.8,250,500,,,,,,
3400,-75,-76,98,5.1,250,500,,,,,,
3440,-74,-75,97,4.9,250,500,,,,,,
3480,-74,-76,98,5,250,500,,,,,,
3520,-74,-76,96,4.9,250,500,,,,,,
3560,-73,-75,97,5,250,500,,,,,,
3600,-74,-76,98,4.7,250,500,,,,,,
3640,-75,-78,96,4.8,250,500,,,,,,
3680,-75,-76,97,4.8,250,500,,,,,,
3720,-74,-76,98,4.8,250,500,,,,,,
3760,-74,-76,97,5,250,500,,,,,,
3800,-75,-77,97,4.7,250,500,,,,,,
3840,-74,-76,98,4.6,250,500,,,,,,
3880,-75,-78,97,4.6,250,500,,,,,,
