ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-61,-63,87,6.9,250,500,,,,,,
40,-61,-63,87,6.6,250,500,,,,,,
80,-61,-63,88,6.4,250,500,,,,,,
120,-61,-64,87,6.5,250,500,,,,,,
160,-61,-63,88,6.6,250,500,,,,,,
200,-61,-63,89,6.7,250,500,,,,,,
240,-61,-63,89,6.4,250,500,,,,,,
280,-61,-63,89,6.8,250,500,,,,,,
320,-61,-63,88,6.7,250,500,,,,,,
360,-61,-63,88,6.6,250,500,,,,,,
400,-61,-63,89,6.3,250,500,,,,,,
440,-61,-63,88,6.6,250,500,,,,,,
480,-61,-63,87,6.4,250,500,,,,,,
520,-61,-63,88,6.4,250,500,,,,,,
560,-61,-63,89,6.7,250,500,,,,,,
600,-61,-63,87,6.4,250,500,,,,,,
640,-61,-63,89,6.2,250,500,,,,,,
680,-61,-63,88,6.6,250,500,,,,,,
720,-61,-63,87,6.5,250,500,,,,,,
760,-61,-63,88,6.8,250,500,,,,,,
800,-61,-63,89,6.7,250,500,,,,,,
840,-61,-63,88,6.7,250,500,,,,,,
880,-61,-63,88,6.4,250,500,,,,,,
920,-61,-63,88,6.2,250,500,,,,,,
960,-61,-63,89,6.3,250,500,,,,,,
1000,-61,-63,89,6.8,250,500,,,,,,
1040,-61,-63,88,6.4,250,500,,,,,,
1080,-61,-63,88,6.5,250,500,,,,,,
1120,-61,-63,87,6.3,250,500,,,,,,
1160,-61,-63,88,6.6,250,500,,,,,,
1200,-61,-63,89,6.6,250,500,,,,,,
1240,-61,-63,88,6.4,250,500,,,,,,
1280,-61,-63,88,6.5,250,500,,,,,,
1320,-61,-63,88,6.8,250,500,,,,,,
1360,-61,-64,89,6.6,250,500,,,,,,
1400,-61,-63,88,6.5,250,500,,,,,,
1440,-61,-64,89,6.7,250,500,,,,,,
1480,-61,-63,88,6.7,250,500,,,,,,
1520,-61,-63,88,6.6,250,500,,,,,,
1560,-61,-63,88,6.8,250,500,,,,,,
1600,-61,-63,88,6.5,250,500,,,,,,
1640,-61,-63,87,6.5,250,500,,,,,,
1680,-61,-63,87,6.4,250,500,,,,,,
1720,-61,-63,89,6.5,250,500,,,,,,
1760,-61,-63,87,6.3,250,500,,,,,,
1800,-61,-63,88,6.6,250,500,,,,,,
1840,-61,-63,88,6.6,250,500,,,,,,
1880,-61,-63,87,6.2,250,500,,,,,,
1920,-61,-63,88,6.3,250,500,,,,,,
1960,-61,-63,87,6.5,250,500,,,,,,
2000,-61,-63,87,6.5,250,500,,,,,,
2040,-61,-63,88,6.3,250,500,,,,,,
2080,-61,-63,87,6.7,250,500,,,,,,
2120,-61,-63,88,6.7,250,500,,,,,,
2160,-61,-63,86,6.6,250,500,,,,,,
2200,-61,-63,87,6.3,250,500,,,,,,
2240,-61,-63,89,6.7,250,500,,,,,,
2280,-61,-63,88,6.7,250,500,,,,,,
2320,-61,-63,88,6.9,250,500,,,,,,
2360,-61,-63,88,6.4,250,500,,,,,,
2400,-61,-63,87,6.6,250,500,,,,,,
2440,-61,-63,88,6.8,250,500,,,,,,
2480,-61,-63,89,6.4,250,500,,,,,,
2520,-61,-63,89,6.2,250,500,,,,,,
2560,-61,-63,90,6.6,250,500,,,,,,
2600,-61,-63,87,6.9,250,500,,,,,,
2640,-61,-64,88,6.5,250,500,,,,,,
