ts,rssi1,rssi2,link_quality,snr,tx_power,packet_rate,lat,lon,alt,sats,ground_speed,heading
0,-64,-66,90,5.1,250,150,,,,,,
40,-64,-66,90,5.5,250,150,,,,,,
80,-64,-65,91,5.6,250,150,,,,,,
120,-64,-67,90,5.1,250,150,,,,,,
160,-64,-66,90,5.6,250,150,,,,,,
200,-64,-66,90,5.5,250,150,,,,,,
240,-64,-66,90,5.6,250,150,,,,,,
280,-64,-66,91,5.2,250,150,,,,,,
320,-64,-66,91,5.1,250,150,,,,,,
360,-64,-66,89,5.7,250,150,,,,,,
400,-64,-66,90,5.3,250,150,,,,,,
440,-64,-66,90,5.3,250,150,,,,,,
480,-64,-66,89,5.3,250,150,,,,,,
520,-65,-66,90,5.2,250,150,,,,,,
560,-65,-66,91,5.3,250,150,,,,,,
600,-64,-66,91,5.3,250,150,,,,,,
640,-64,-66,90,5.2,250,150,,,,,,
680,-64,-66,90,5.3,250,150,,,,,,
720,-64,-66,90,5.3,250,150,,,,,,
760,-64,-66,90,5.6,250,150,,,,,,
800,-64,-66,90,5.4,250,150,,,,,,
840,-64,-66,90,5.3,250,150,,,,,,
880,-64,-66,90,5.3,250,150,,,,,,
920,-64,-65,90,5.3,250,150,,,,,,
960,-64,-66,89,5.7,250,150,,,,,,
1000,-64,-67,90,5.5,250,150,,,,,,
1040,-64,-66,90,5.1,250,150,,,,,,
1080,-64,-65,91,5.3,250,150,,,,,,
1120,-64,-66,90,5,250,150,,,,,,
1160,-64,-66,89,5.4,250,150,,,,,,
1200,-64,-67,90,5.6,250,150,,,,,,
1240,-64,-66,89,5.2,250,150,,,,,,
1280,-64,-67,90,5.4,250,150,,,,,,
1320,-64,-66,90,5.6,250,150,,,,,,
1360,-64,-66,90,5.3,250,150,,,,,,
1400,-63,-66,91,5.5,250,150,,,,,,
1440,-64,-66,90,5.5,250,150,,,,,,
1480,-64,-65,89,5.3,250,150,,,,,,
1520,-64,-66,90,5.4,250,150,,,,,,
1560,-64,-67,90,5.3,250,150,,,,,,
1600,-64,-66,90,5.5,250,150,,,,,,
1640,-64,-66,90,5.6,250,150,,,,,,
1680,-64,-66,89,5.3,250,150,,,,,,
1720,-64,-66,90,5.5,250,150,,,,,,
1760,-64,-66,90,5.6,250,150,,,,,,
1800,-64,-66,89,5.2,250,150,,,,,,
1840,-64,-67,90,5.3,250,150,,,,,,
1880,-64,-66,89,5.6,250,150,,,,,,
1920,-63,-65,90,5.3,250,150,,,,,,
1960,-64,-66,90,5.6,250,150,,,,,,
2000,-64,-66,90,5,250,150,,,,,,
2040,-64,-66,90,5.6,250,150,,,,,,
2080,-64,-66,90,5.3,250,150,,,,,,
2120,-64,-67,90,5.2,250,150,,,,,,
2160,-64,-66,90,5.4,250,150,,,,,,
2200,-64,-66,90,5.4,250,150,,,,,,
2240,-64,-67,90,5.3,250,150,,,,,,
2280,-64,-67,90,5.4,250,150,,,,,,
2320,-64,-66,90,5.5,250,150,,,,,,
2360,-64,-66,90,5.5,250,150,,,,,,
2400,-64,-66,90,5,250,150,,,,,,
2440,-64,-66,90,5.4,250,150,,,,,,
2480,-64,-67,90,5.4,250,150,,,,,,
2520,-64,-66,91,5.3,250,150,,,,,,
2560,-64,-66,90,5.4,250,150,,,,,,
2600,-64,-66,90,5.2,250,150,,,,,,
2640,-64,-66,90,5.1,250,150,,,,,,
2680,-64,-66,90,5.5,250,150,,,,,,
2720,-64,-66,90,5.4,250,150,,,,,,
2760,-64,-66,89,5.2,250,150,,,,,,
2800,-64,-66,90,5.1,250,150,,,,,,
2840,-64,-66,90,5.3,250,150,,,,,,
2880,-64,-66,90,5.1,250,150,,,,,,
2920,-64,-66,90,5.7,250,150,,,,,,
2960,-64,-66,90,5.5,250,150,,,,,,
3000,-64,-66,90,5.1,250,150,,,,,,
3040,-64,-66,89,5.7,250,150,,,,,,
3080,-64,-66,90,5.3,250,150,,,,,,
3120,-64,-66,91,5.3,250,150,,,,,,
3160,-64,-66,90,5.2,250,150,,,,,,
3200,-64,-66,91,5.3,250,150,,,,,,
3240,-64,-65,90,5.3,250,150,,,,,,
3280,-64,-66,90,5.5,250,150,,,,,,
3320,-64,-66,90,5.4,250,150,,,,,,
3360,-64,-65,90,5.3,250,150,,,,,,
3400,-64,-65,90,5.5,250,150,,,,,,
3440,-64,-66,90,5,250,150,,,,,,
3480,-64,-66,89,5.4,250,150,,,,,,
3520,-64,-66,90,5.2,250,150,,,,,,
3560,-64,-66,90,5.2,250,150,,,,,,
3600,-64,-66,89,5.2,250,150,,,,,,
3640,-64,-66,90,5.6,250,150,,,,,,
3680,-64,-66,90,5,250,150,,,,,,
3720,-64,-67,90,5.2,250,150,,,,,,
3760,-63,-65,91,5.7,250,150,,,,,,
3800,-64,-66,90,5.6,250,150,,,,,,
3840,-63,-65,90,5.3,250,150,,,,,,
3880,-64,-66,90,5.3,250,150,,,,,,
3920,-64,-67,90,5.3,250,150,,,,,,
3960,-65,-67,90,5.4,250,150,,,,,,
